n,candidate,office,election_year,source_filing,document_id,stated_total_contributions,stated_total_expenditures
1,Joe Hatch,County Council,,raw/clerk_legacy/08_joehatch_jan31.pdf,d1c1aaf7,1500.00,2745.75
2,Jim Bradley,County Council,2004,raw/clerk_legacy/bradley_january312005.pdf,f12f3ba3,1520.00,1212.38
3,James M Winder,Sheriff,2006,raw/clerk_legacy/08_jwinder_jan31.pdf,d999a099,33464.04,4296.47
4,David Wilde,County Council,2008,raw/clerk_legacy/08_dwilde_jan31.pdf,3abae122,7.34,-0.00
5,Ben McAdams,Mayor,2010,raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,64e40e76,51374.00,11942.50
6,Jim Bradley,County Council,2012,raw/clerk_legacy/Bradley_J_12_April_Interim_Amend_CntyCncl_AtLrgC_R.pdf,e2a072a4,3000.00,259.74
7,Mary Bishop,Recorder,2014,raw/clerk_legacy/BishopM_2014_April.pdf,9fa1d4aa,4160.00,2817.43
8,Lee Gardner,Assessor,2020,raw/clerk_legacy/lgardner_june202006amend.pdf,217aa8a4,5346.08,591.47
9,Joe Hatch,County Council,,raw/clerk_legacy/jhatch_jan3106.pdf,69c420fb,500.00,566.24
10,Joe Hatch,County Council,2004,raw/clerk_legacy/hatch_january312005.pdf,289fef21,6700.00,7268.73
11,Jeff S. Allen,County Council,2006,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,9075.00,3998.05
12,Jim Bradley,County Council,2008,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,4052.39,6838.20
13,Calvin J. Noyce,County Council,2010,raw/clerk_legacy/CNoyce_12_Final_CntyCncl1_Redacted.pdf,aa64824e,520.00,461.17
14,Jim Bradley,County Council,2012,raw/clerk_legacy/Bradley_J_12_April_Interim_CntyCncl_AtLrgC_Redacte.pdf,c7c7567e,3000.00,0.00
15,Mary Bishop,Recorder,2014,raw/clerk_legacy/Bishop_M_Recorder_June14.pdf,39998d1a,1450.00,366.04
16,Rob Latham,District Attorney,2020,raw/clerk_legacy/rlatham_june202006amend.pdf,6edc810e,865.82,985.27
17,Joe Hatch,County Council,,raw/clerk_legacy/joehatch_april506amendment.pdf,b66d9548,5725.00,1275.68
18,Michael Jensen,County Council,2004,raw/clerk_legacy/jensen_january312005.pdf,2145469a,1400.00,2043.85
19,Janice Auger,County Council,2006,raw/clerk_legacy/20_june_auger_janice06.pdf,3d07b3af,19875.85,19435.13
20,Jani Iwamoto,County Council,2008,raw/clerk_legacy/08_jiwamoto_april7.pdf,ee991932,10070.00,271.28
21,Sim Gill,District Attorney,2010,raw/clerk_legacy/Gill_S_10_Sept_DA_Redacted.pdf,cc04f0b6,65325.11,73782.12
22,Jim Bradley,County Council,2012,raw/clerk_legacy/Bradley_J_12_Final_CouncilC_Redacted.pdf,622005c3,6350.00,13514.52
23,Mary Bishop,Recorder,2014,raw/clerk_legacy/Bishop_Mary_Recorder_Oct14.pdf,dbbf9294,1875.00,1855.36
24,Joe Hatch,County Council,,raw/clerk_legacy/joehatch_september1506amendment.pdf,c50cce42,7175.00,1906.00
25,Jennifer Wilson,County Council,2004,raw/clerk_legacy/jwilson_january312005.pdf,ca6e1fd8,9695.00,18363.81
26,Jim Bradley,County Council,2006,raw/clerk_legacy/20_june_bradley_jim06.pdf,adfcf1a3,14691.51,2323.06
27,Jani Iwamoto,County Council,2008,raw/clerk_legacy/08_jiwamoto_cojunereport.pdf,0d921dc1,24742.77,20201.22
28,Randy Horiuchi,County Council,2010,raw/clerk_legacy/Horiuchi_R_10_Final_Amended_Redacted.pdf,f47866a4,5500.00,6400.00
29,Jim Bradley,County Council,2012,raw/clerk_legacy/Bradley_J_12_June_Interim_CntyCncl_AtLrgC_Redacted.pdf,b6859fae,2364.00,4117.35
30,Mary Bishop,Recorder,2014,raw/clerk_legacy/Bishop_Mary_Recorder_Sept.pdf,a5e8390c,3675.00,5345.16
