meeting_id,body_id,meeting_date,title,source_file
1,2,2020-02-12,Alta Town Council — Regular Meeting 2020-02-12,minutes/2020/2020-02-10/2020-02-12_2020_2_12_tc_minutes_approved.md
2,2,2020-03-11,Alta Town Council — Regular Meeting 2020-03-11,minutes/2020/2020-03-09/2020-03-11_2020_3_11_tc_minutes_approved.md
3,2,2020-04-08,Alta Town Council — Regular Meeting 2020-04-08,minutes/2020/2020-04-06/2020-04-08_2020_4_8_minutes_approved.md
4,2,2020-05-06,Alta Town Council — Regular Meeting 2020-05-06,pmn_backfill/text/pmn_council_2020-05-06_618395.txt
5,2,2020-06-17,Alta Town Council — Regular Meeting 2020-06-17,pmn_backfill/text/pmn_council_2020-06-17_618397.txt
6,2,2020-07-08,Alta Town Council — Regular Meeting 2020-07-08,minutes/2020/2020-07-06/2020-07-08_2020_7_8_alta_town_council_minutes_final_approved.md
7,2,2020-08-12,Alta Town Council — Regular Meeting 2020-08-12,minutes/2020/2020-08-10/2020-08-12_08_12_20_alta_town_council_minutes_approved.md
8,2,2020-10-14,Alta Town Council — Regular Meeting 2020-10-14,minutes/2020/2020-10-12/2020-10-14_2020_10_14_tc_minutes_approved.md
9,2,2020-11-12,Alta Town Council — Work Session Meeting 2020-11-12,minutes/2020/2020-11-09/2020-11-12_2020_11_12_alta_town_council_mgt_work_session_minutes_approved.md
10,2,2020-12-09,Alta Town Council — Regular Meeting 2020-12-09,minutes/2020/2020-12-07/2020-12-09_2020_12_9_tc_minutes_approved.md
11,2,2021-01-13,Alta Town Council — Regular Meeting 2021-01-13,minutes/2021/2021-01-11/2021-01-13_2021_1_13_tc_minutes_approved.md
12,2,2021-02-10,Alta Town Council — Regular Meeting 2021-02-10,minutes/2021/2021-02-08/2021-02-10_2021_2_10_tc_minutes_approved.md
13,2,2021-04-14,Alta Town Council — Regular Meeting 2021-04-14,minutes/2021/2021-04-12/2021-04-14_2021_4_14_alta_town_council_minutes_approved.md
14,2,2021-05-12,Alta Town Council — Regular Meeting 2021-05-12,minutes/2021/2021-05-10/2021-05-12_05_12_21_tc_minutes_approved.md
15,2,2021-06-16,Alta Town Council — Regular Meeting 2021-06-16,minutes/2021/2021-06-14/2021-06-16_06_16_21_tc_meeting_minutes_approved.md
16,2,2021-06-30,Alta Town Council — Special Meeting 2021-06-30,minutes/2021/2021-06-28/2021-06-30_06_30_21_tc_special_meeting_minutes_approved.md
17,2,2021-07-14,Alta Town Council — Regular Meeting 2021-07-14,minutes/2021/2021-07-12/2021-07-14_07_14_21_tc_meeting_minutes_approved.md
18,2,2021-08-11,Alta Town Council — Regular Meeting 2021-08-11,minutes/2021/2021-08-09/2021-08-11_08_11_21_tc_minutes_approved.md
19,2,2021-09-08,Alta Town Council — Regular Meeting 2021-09-08,minutes/2021/2021-09-06/2021-09-08_09_08_21_tc_meeting_minutes_final.md
20,2,2021-09-29,Alta Town Council — Regular Meeting 2021-09-29,minutes/2021/2021-09-27/2021-09-29_2021_9_29_minutes_final.md
21,2,2021-11-10,Alta Town Council — Regular Meeting 2021-11-10,minutes/2021/2021-11-08/2021-11-10_21_11_10_tc_meeting_minutes_final.md
22,2,2021-12-08,Alta Town Council — Regular Meeting 2021-12-08,minutes/2021/2021-12-06/2021-12-08_12_8_21_tc_meeting_minutes_approved.md
23,2,2022-01-12,Alta Town Council — Regular Meeting 2022-01-12,minutes/2022/2022-01-10/2022-01-12_1_12_22_tc_meeting_minutes_approved.md
24,2,2022-01-26,Alta Town Council — Regular Meeting 2022-01-26,minutes/2022/2022-01-24/2022-01-26_22_1_26_tc_meeting_minutes_approved.md
25,2,2022-02-09,Alta Town Council — Regular Meeting 2022-02-09,minutes/2022/2022-02-07/2022-02-09_22_2_9_tc_meeting_minutes_approved.md
26,2,2022-03-09,Alta Town Council — Regular Meeting 2022-03-09,minutes/2022/2022-03-07/2022-03-09_22_3_9_tc_meeting_minutes.md
27,1,2022-04-13,Alta Town Council — Regular Meeting 2022-04-13,minutes/2022/2022-04-11/2022-04-13_22_4_13_tc_meeting_minutes_approved.md
28,2,2022-04-13,Alta Town Council — Regular Meeting 2022-04-13,minutes/2022/2022-04-11/2022-04-13_22_4_13_tc_meeting_minutes_approved.md
29,2,2022-05-11,Alta Town Council — Regular Meeting 2022-05-11,minutes/2022/2022-05-09/2022-05-11_22_5_11_tc_meeting_minutes_approved.md
30,2,2022-06-15,Alta Town Council — Regular Meeting 2022-06-15,minutes/2022/2022-06-13/2022-06-15_22_6_15_tc_meeting_minutes_approved.md
31,2,2022-07-13,Alta Town Council — Regular Meeting 2022-07-13,minutes/2022/2022-07-11/2022-07-13_22_7_13_tc_meeting_minutes_approved.md
32,2,2022-08-10,Alta Town Council — Regular Meeting 2022-08-10,minutes/2022/2022-08-08/2022-08-10_22_8_10_tc_meeting_minutes_approved_w_exha.md
33,2,2022-09-14,Alta Town Council — Regular Meeting 2022-09-14,minutes/2022/2022-09-12/2022-09-14_22_9_14_tc_meeting_minutes_approved.md
34,2,2022-10-12,Alta Town Council — Regular Meeting 2022-10-12,minutes/2022/2022-10-10/2022-10-12_22_10_12_tc_meeting_minutes_approved.md
