vote_id,motion_id,person_id,vote_value
1,5,2,Nay
2,5,6,Aye
3,5,7,Aye
4,5,12,Aye
5,5,16,Aye
6,7,6,Abstain
7,17,2,Nay
8,17,6,Abstain
9,17,7,Abstain
10,17,12,Aye
11,17,16,Nay
12,18,12,Abstain
13,23,2,Aye
14,23,6,Aye
15,23,7,Aye
16,23,12,Abstain
17,23,16,Nay
18,27,6,Aye
19,27,7,Aye
20,27,12,Nay
21,27,16,Aye
22,56,2,Aye
23,56,6,Aye
24,56,7,Aye
25,56,12,Abstain
26,56,16,Abstain
27,58,2,Nay
28,58,6,Nay
29,58,7,Nay
30,58,12,Aye
31,58,16,Aye
32,73,2,Aye
33,73,6,Aye
34,73,7,Aye
35,73,12,Aye
36,73,16,Abstain
37,75,2,Aye
38,75,6,Aye
39,75,7,Nay
40,75,12,Aye
41,75,16,Aye
42,76,2,Nay
43,76,6,Nay
44,76,7,Nay
45,76,12,Aye
46,76,16,Aye
47,94,2,Aye
48,94,6,Aye
49,94,7,Aye
50,94,12,Nay
51,94,16,Nay
52,101,7,Abstain
53,105,2,Aye
54,105,6,Aye
55,105,7,Aye
56,105,12,Nay
57,105,16,Nay
58,117,2,Aye
59,117,6,Aye
60,117,12,Aye
61,117,16,Aye
62,119,2,Aye
63,119,6,Nay
64,119,12,Nay
65,119,16,Aye
66,125,2,Nay
67,125,6,Nay
68,125,12,Aye
69,125,16,Aye
70,128,2,Nay
71,128,6,Aye
72,128,7,Aye
73,128,12,Aye
74,128,16,Aye
75,129,2,Nay
76,129,6,Aye
77,129,7,Aye
78,129,12,Aye
79,129,16,Aye
80,130,2,Aye
81,130,6,Nay
82,130,7,Aye
83,130,12,Aye
84,130,16,Aye
85,138,2,Aye
86,138,6,Aye
87,138,7,Aye
88,138,12,Nay
89,138,16,Aye
90,140,2,Aye
91,140,6,Aye
92,140,7,Aye
93,140,12,Nay
94,140,16,Nay
95,145,2,Aye
96,145,6,Aye
97,145,7,Aye
98,145,12,Nay
99,168,3,Aye
100,168,6,Aye
101,168,9,Aye
102,168,15,Aye
103,169,1,Aye
104,169,6,Aye
105,169,9,Aye
106,169,15,Aye
107,169,16,Aye
108,170,1,Nay
109,170,6,Nay
110,170,9,Nay
111,170,15,Nay
112,170,16,Nay
113,171,1,Aye
114,171,6,Aye
115,171,9,Aye
116,171,15,Aye
117,171,16,Aye
118,172,1,Aye
119,172,6,Aye
120,172,9,Aye
121,172,15,Aye
122,172,16,Aye
123,173,1,Aye
124,173,6,Aye
125,173,9,Aye
126,173,15,Aye
127,173,16,Aye
128,174,1,Aye
129,174,6,Aye
130,174,9,Aye
131,174,15,Aye
132,174,16,Aye
133,176,6,Aye
134,176,9,Aye
135,176,15,Aye
136,176,16,Aye
137,177,1,Aye
138,177,6,Aye
139,177,9,Aye
140,177,15,Aye
141,177,16,Aye
142,178,1,Aye
143,178,6,Aye
144,178,9,Aye
145,178,15,Aye
146,178,16,Aye
147,179,1,Aye
148,179,6,Aye
149,179,9,Aye
150,179,15,Aye
151,179,16,Aye
152,180,1,Aye
153,180,6,Aye
154,180,9,Aye
155,180,15,Aye
156,180,16,Aye
157,182,6,Aye
158,182,9,Aye
159,182,15,Aye
160,182,16,Aye
161,183,1,Aye
162,183,6,Aye
163,183,9,Aye
164,183,15,Aye
165,183,16,Aye
166,185,1,Aye
167,185,6,Aye
168,185,9,Aye
169,185,15,Aye
170,185,16,Aye
171,186,1,Aye
172,186,6,Aye
173,186,9,Aye
174,186,15,Aye
175,186,16,Aye
176,187,1,Aye
177,187,6,Aye
178,187,9,Aye
179,187,15,Aye
180,187,16,Nay
181,188,1,Aye
182,188,6,Aye
183,188,9,Aye
184,188,15,Aye
185,188,16,Aye
186,189,1,Aye
187,189,6,Aye
188,189,9,Aye
189,189,15,Aye
190,189,16,Aye
191,190,1,Aye
192,190,6,Aye
193,190,9,Aye
194,190,15,Aye
195,190,16,Aye
196,197,1,Aye
197,197,6,Aye
198,197,9,Aye
199,197,16,Aye
200,200,1,Aye
201,200,9,Nay
202,200,15,Aye
203,200,16,Nay
204,203,1,Nay
205,203,6,Aye
206,203,9,Aye
207,203,15,Aye
208,203,16,Aye
209,204,1,Aye
210,204,6,Nay
211,204,9,Nay
212,204,15,Aye
213,204,16,Aye
214,210,1,Aye
215,210,6,Aye
216,210,9,Aye
217,210,15,Aye
218,210,16,Aye
219,211,1,Aye
220,211,6,Aye
221,211,9,Aye
222,211,15,Aye
223,211,16,Aye
224,212,1,Aye
225,212,6,Aye
226,212,9,Aye
227,212,15,Aye
228,212,16,Aye
229,213,1,Aye
230,213,6,Aye
231,213,9,Aye
232,213,15,Aye
233,213,16,Aye
234,216,1,Aye
235,216,6,Aye
236,216,9,Aye
237,216,15,Aye
238,216,16,Aye
239,217,1,Aye
240,217,6,Aye
241,217,9,Aye
242,217,15,Aye
243,217,16,Aye
244,228,9,Aye
245,228,15,Aye
246,250,6,Aye
247,250,9,Aye
248,250,15,Aye
249,250,16,Aye
250,252,6,Aye
251,252,9,Aye
252,252,15,Aye
253,252,16,Aye
254,253,6,Aye
255,253,9,Aye
256,253,15,Aye
257,253,16,Aye
258,254,6,Aye
259,254,9,Aye
260,254,15,Aye
261,254,16,Aye
262,255,6,Aye
263,255,9,Aye
264,255,15,Aye
265,255,16,Aye
266,256,6,Aye
267,256,9,Aye
268,256,15,Aye
269,256,16,Aye
270,257,6,Aye
271,257,9,Aye
272,257,15,Aye
273,257,16,Aye
274,258,6,Aye
275,258,9,Aye
276,258,15,Aye
277,258,16,Aye
278,266,6,Aye
279,266,9,Aye
280,266,15,Aye
281,266,16,Aye
282,268,6,Aye
283,268,9,Aye
284,268,15,Aye
285,268,16,Aye
286,270,9,Aye
287,270,15,Aye
288,270,16,Aye
289,271,9,Aye
290,271,15,Aye
291,271,16,Aye
292,274,1,Aye
293,274,6,Aye
294,274,9,Aye
295,274,15,Aye
296,274,16,Aye
297,282,1,Aye
298,282,6,Aye
299,282,9,Aye
300,282,15,Aye
301,282,16,Aye
302,284,1,Aye
303,284,6,Aye
304,284,9,Aye
305,284,15,Aye
306,284,16,Aye
307,285,1,Aye
308,285,6,Aye
309,285,9,Aye
310,285,15,Aye
311,285,16,Aye
312,286,1,Aye
313,286,6,Aye
314,286,9,Aye
315,286,15,Aye
316,286,16,Aye
317,291,1,Aye
318,291,4,Aye
319,291,6,Aye
320,291,9,Aye
321,291,15,Aye
322,292,1,Aye
323,292,4,Aye
324,292,6,Aye
325,292,9,Aye
326,292,15,Aye
327,293,1,Aye
328,293,4,Aye
329,293,6,Aye
330,293,9,Aye
331,293,15,Aye
332,294,1,Aye
333,294,4,Aye
334,294,6,Aye
335,294,9,Aye
336,294,15,Aye
337,295,1,Aye
338,295,4,Aye
339,295,6,Aye
340,295,15,Aye
341,299,1,Aye
342,299,4,Aye
343,299,6,Aye
344,299,9,Aye
345,299,15,Aye
346,300,1,Aye
347,300,6,Aye
348,300,9,Aye
349,300,15,Aye
350,300,16,Aye
351,302,1,Aye
352,302,4,Aye
353,302,6,Aye
354,302,9,Aye
355,302,15,Aye
356,307,1,Aye
357,307,4,Aye
358,307,6,Aye
359,307,9,Aye
360,307,15,Aye
361,308,1,Aye
362,308,4,Aye
363,308,6,Aye
364,308,9,Aye
365,308,15,Aye
366,309,1,Aye
367,309,4,Aye
368,309,6,Aye
369,309,9,Aye
370,309,15,Aye
371,310,1,Aye
372,310,4,Aye
373,310,6,Aye
374,310,9,Aye
375,310,15,Aye
376,315,1,Aye
377,315,4,Aye
378,315,6,Aye
379,315,9,Aye
380,315,15,Aye
381,316,4,Aye
382,316,6,Aye
383,316,9,Aye
384,316,15,Aye
385,324,1,Aye
386,324,4,Aye
387,324,6,Aye
388,324,9,Aye
389,324,15,Aye
390,325,1,Aye
391,325,4,Aye
392,325,6,Aye
393,325,9,Aye
394,325,15,Aye
395,326,1,Aye
396,326,4,Aye
397,326,6,Aye
398,326,9,Aye
399,326,15,Aye
400,327,1,Aye
401,327,4,Aye
402,327,6,Aye
403,327,9,Aye
404,327,15,Aye
405,328,1,Aye
406,328,4,Aye
407,328,6,Aye
408,328,9,Aye
409,328,15,Aye
410,329,1,Aye
411,329,4,Aye
412,329,6,Aye
413,329,9,Aye
414,329,15,Aye
415,330,1,Aye
416,330,4,Aye
417,330,6,Aye
418,330,9,Aye
419,330,15,Aye
420,331,1,Aye
421,331,4,Aye
422,331,6,Aye
423,331,9,Aye
424,331,15,Aye
425,332,1,Aye
426,332,4,Aye
427,332,6,Aye
428,332,9,Aye
429,332,15,Aye
430,336,1,Aye
431,336,4,Aye
432,336,6,Aye
433,336,9,Aye
434,336,15,Aye
435,340,1,Aye
436,340,4,Aye
437,340,6,Aye
438,340,9,Aye
439,340,15,Aye
440,344,1,Aye
441,344,4,Aye
442,344,6,Aye
443,344,9,Aye
444,344,15,Aye
445,347,1,Aye
446,347,4,Aye
447,347,6,Aye
448,347,9,Aye
449,347,15,Aye
450,348,1,Aye
451,348,4,Aye
452,348,6,Aye
453,348,9,Aye
454,348,15,Aye
455,349,1,Aye
456,349,4,Aye
457,349,6,Aye
458,349,9,Aye
459,349,15,Aye
460,353,1,Aye
461,353,4,Aye
462,353,6,Aye
463,353,9,Aye
464,354,1,Aye
465,354,4,Aye
466,354,6,Aye
467,354,9,Aye
468,355,1,Aye
469,355,4,Aye
470,355,6,Aye
471,355,9,Aye
472,356,1,Aye
473,356,4,Aye
474,356,6,Aye
475,356,9,Aye
476,358,1,Aye
477,358,4,Aye
478,358,6,Aye
479,358,9,Aye
480,358,15,Aye
481,362,1,Aye
482,362,4,Aye
483,362,6,Aye
484,362,9,Aye
485,362,15,Aye
486,363,1,Aye
487,363,4,Aye
488,363,6,Aye
489,363,9,Aye
490,363,15,Aye
491,365,1,Aye
492,365,4,Aye
493,365,6,Aye
494,365,9,Aye
495,365,15,Aye
496,367,1,Aye
497,367,4,Aye
498,367,6,Aye
499,367,9,Aye
500,367,15,Aye
501,371,4,Aye
502,371,9,Aye
503,371,15,Aye
504,372,1,Aye
505,372,4,Aye
506,372,9,Aye
507,372,15,Aye
508,373,1,Aye
509,373,4,Aye
510,373,9,Aye
511,373,15,Aye
512,375,4,Aye
513,375,6,Aye
514,375,9,Aye
515,375,15,Aye
516,377,1,Aye
517,377,4,Aye
518,377,9,Aye
519,377,15,Aye
520,381,4,Aye
521,381,6,Aye
522,382,4,Aye
523,382,6,Aye
524,382,9,Aye
525,382,15,Aye
526,383,4,Aye
527,383,6,Aye
528,383,9,Aye
529,383,15,Aye
530,388,1,Aye
531,388,4,Aye
532,388,9,Aye
533,388,15,Aye
534,389,1,Aye
535,389,4,Aye
536,389,9,Aye
537,389,15,Aye
538,390,1,Aye
539,390,4,Aye
540,390,9,Aye
541,390,15,Aye
542,399,1,Aye
543,399,4,Aye
544,399,6,Aye
545,399,9,Aye
546,399,15,Aye
547,400,1,Aye
548,400,4,Aye
549,400,6,Aye
550,400,9,Aye
551,400,15,Aye
552,401,1,Aye
553,401,4,Aye
554,401,6,Aye
555,401,9,Aye
556,401,15,Aye
557,402,1,Aye
558,402,4,Aye
559,402,6,Aye
560,402,9,Aye
561,402,15,Aye
562,403,1,Aye
563,403,4,Aye
564,403,6,Aye
565,403,9,Aye
566,403,15,Aye
567,404,1,Aye
568,404,4,Aye
569,404,6,Aye
570,404,9,Aye
571,404,15,Aye
572,405,1,Aye
573,405,4,Aye
574,405,6,Aye
575,405,9,Aye
576,405,15,Aye
577,406,1,Aye
578,406,4,Aye
579,406,6,Aye
580,406,9,Aye
581,406,15,Aye
582,411,1,Aye
583,411,4,Aye
584,411,6,Aye
585,411,9,Aye
586,411,15,Aye
587,412,1,Aye
588,412,4,Aye
589,412,6,Aye
590,412,9,Aye
591,412,15,Aye
592,413,1,Aye
593,413,4,Aye
594,413,6,Aye
595,413,9,Aye
596,413,15,Aye
597,414,1,Aye
598,414,4,Aye
599,414,6,Aye
600,414,9,Aye
601,414,15,Aye
602,415,1,Aye
603,415,4,Aye
604,415,6,Aye
605,415,9,Aye
606,415,15,Aye
607,417,1,Aye
608,417,4,Aye
609,417,6,Aye
610,417,9,Aye
611,417,15,Aye
612,418,1,Aye
613,418,4,Aye
614,418,6,Aye
615,418,9,Aye
616,418,15,Aye
617,423,1,Aye
618,423,4,Aye
619,423,6,Aye
620,423,9,Aye
621,423,15,Aye
622,427,1,Aye
623,427,4,Aye
624,427,6,Aye
625,427,9,Aye
626,427,15,Aye
627,431,1,Aye
628,431,4,Aye
629,431,6,Aye
630,431,9,Aye
631,431,15,Aye
632,434,1,Aye
633,434,4,Aye
634,434,6,Aye
635,434,9,Aye
636,434,15,Aye
637,435,1,Aye
638,435,4,Aye
639,435,6,Aye
640,435,9,Aye
641,435,15,Aye
642,436,1,Aye
643,436,4,Aye
644,436,6,Aye
645,436,9,Aye
646,436,15,Aye
647,437,1,Aye
648,437,4,Aye
649,437,6,Aye
650,437,9,Aye
651,437,15,Aye
652,439,1,Aye
653,439,4,Aye
654,439,6,Aye
655,439,9,Aye
656,439,15,Aye
657,442,1,Aye
658,442,6,Aye
659,442,9,Aye
660,442,15,Aye
661,443,1,Aye
662,443,6,Aye
663,443,9,Aye
664,443,15,Aye
665,446,1,Aye
666,446,3,Aye
667,446,4,Aye
668,446,15,Aye
669,448,1,Aye
670,448,3,Aye
671,448,4,Aye
672,448,15,Aye
673,450,1,Aye
674,450,3,Abstain
675,450,4,Aye
676,450,6,Aye
677,450,15,Aye
678,453,1,Aye
679,453,3,Aye
680,453,4,Aye
681,453,6,Aye
682,453,15,Aye
683,456,1,Aye
684,456,3,Aye
685,456,6,Aye
686,456,15,Aye
687,461,1,Aye
688,461,3,Aye
689,461,4,Aye
690,461,6,Aye
691,461,15,Aye
692,462,1,Aye
693,462,3,Aye
694,462,4,Aye
695,462,6,Aye
696,462,15,Aye
697,463,1,Aye
698,463,3,Aye
699,463,4,Aye
700,463,6,Aye
701,463,15,Aye
