year,election_type,office,district,contest,precinct,candidate,votes,suppressed
2021,municipal general,Council,At-Large,Town of Alta Council At-Large,ALT001,JOHN BYRNE,73,False
2021,municipal general,Council,At-Large,Town of Alta Council At-Large,ALT001,CAROLYN ANCTIL,59,False
2021,municipal general,Council,At-Large,Town of Alta Council At-Large,ALT001,MARGARET E. BOURKE,53,False
2021,municipal general,Mayor,,Town of Alta Mayor,ALT001,ROGER BOURKE,85,False
2023,municipal general,Council,At-Large,Town of Alta Council At-Large,ALT001,ELISE MORGAN,56,False
2023,municipal general,Council,At-Large,Town of Alta Council At-Large,ALT001,DAN SCHILLING,38,False
2023,municipal general,Council,At-Large,Town of Alta Council At-Large,ALT001,SHERIDAN J. DAVIS,38,False
2023,municipal general,Council,At-Large,Town of Alta Council At-Large,ALT002,ELISE MORGAN,10,False
2023,municipal general,Council,At-Large,Town of Alta Council At-Large,ALT002,DAN SCHILLING,13,False
2023,municipal general,Council,At-Large,Town of Alta Council At-Large,ALT002,SHERIDAN J. DAVIS,4,False
