stem,bytes,chars,status
561743_2020-1-8_TC_Agenda,219618,2867,extracted
561745_2020-1-8-ConsentAgenda,861809,88576,extracted
562103_2020-1-8_TC_Agenda,219618,2867,extracted
562111_2020-1-8-ConsentAgenda,861809,88576,extracted
561747_TOA_Presentation_1.8.20-final,874957,3752,extracted
561749_Staff_report_regarding_amended_budget,106419,4029,extracted
562105_TOA_Presentation_1.8.20-final,874957,3752,extracted
562113_Staff_report_regarding_amended_budget,106419,4029,extracted
562123_2019-12_UFA_memo_to_Mayor_Sondak,197195,9128,extracted
562125_2019-12-30_Memo_to_Town_Council_re_UFA,147772,13832,extracted
562107_ACVB_6-30-19_Compilation_-_Signed_1,132395,21868,extracted
562109_December_2019_Alta_Chamber_Website_Summary_1,84883,38305,extracted
562115_2020-R-1_Amending_budgets_for_2019-2020_DRAFT,63690,1047,extracted
562117_19-20_Jan_proposed_budget_amendments,119970,55650,extracted
562119_2019-12-30_Planning_Commission_Appointment,80464,4267,extracted
562121_Danya_Lee_Rumore_CV_Academic_February_2019,160320,24565,extracted
562127_2020-1-CommunityCenterReportandRFP,399517,19490,extracted
573885_2020-2-12_TC_Agenda,216772,2907,extracted
573887_2020-2-12_Consent_Agenda,1303758,104406,extracted
573805_2020-2-12_Business_Licensing_Memo_Peak_Law,192302,9515,extracted
573795_2020-R-3_Resolution_Honoring_Our_Public_Safety_Professionals,77752,3672,extracted
573799_Summary_of_Zoning_Ord_changes_for_2.12.2020_meeting,80220,1468,extracted
573801_TOA_Zoning_Code_cumulative_redline2.5.20,433700,181107,extracted
573803_Ordinance_supporting_Land_Use_Amendments_TOA_2.12.2020,94485,3657,extracted
573807_2020-R-2_Planning_Commission_Membership,102810,1770,extracted
583077_2020-3-10_TC_Agenda,207675,2294,extracted
583081_2020-3-11_Consent_Agenda,1602785,87955,extracted
583689_2020-3-11_TC_Agenda_Amended,220668,2862,extracted
585067_2020-3-11-COVID-19-Memo,255323,5455,extracted
583227_2020-R-4_Dog_Resolution_DRAFT_1,646259,3450,extracted
583229_2020-O-1_Ordinance-supporting-Land-Use-Amendments-TOA-jhg,91704,3826,extracted
583231_TOA_Zoning_Code_cumulative_redline_3.3.20,435201,181241,extracted
583233_UFSA_boundary_adjustment_process,202847,15909,extracted
585065_CWC_call_for_ideas,226729,4673,extracted
