date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,1,DISCUSSION AND POSSIBLE ACTION TO ADOPT RESOLUTION 2025-R-6 APPOINTING PAUL : ’ MOXLEY TO THE ALTA PLANNING COMMISSION,Appointment,APPROVED (4-0),Dan Schilling,Elise Morgan,Carolyn Anctil,Aye,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,1,DISCUSSION AND POSSIBLE ACTION TO ADOPT RESOLUTION 2025-R-6 APPOINTING PAUL : ’ MOXLEY TO THE ALTA PLANNING COMMISSION,Appointment,APPROVED (4-0),Dan Schilling,Elise Morgan,Dan Schilling,Aye,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,1,DISCUSSION AND POSSIBLE ACTION TO ADOPT RESOLUTION 2025-R-6 APPOINTING PAUL : ’ MOXLEY TO THE ALTA PLANNING COMMISSION,Appointment,APPROVED (4-0),Dan Schilling,Elise Morgan,John Byrne,Aye,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,1,DISCUSSION AND POSSIBLE ACTION TO ADOPT RESOLUTION 2025-R-6 APPOINTING PAUL : ’ MOXLEY TO THE ALTA PLANNING COMMISSION,Appointment,APPROVED (4-0),Dan Schilling,Elise Morgan,Roger Bourke,Aye,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,2,"APPROVAL OF MARCH 12, 2025 ALTA TOWN COUNCIL MEETING MINUTES, APRIL 2, 2025 | SPECIAL ALTA TOWN COUNCIL MEETING MINUTES, MARCH STAFF AND FINANCE REPORTS",Consent/Minutes,APPROVED,Elise Morgan,Dan Schilling,,,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,3,"FACILITIES MASTER PLAN UPDATE, CHRIS CAWLEY",Land-Use/Zoning,APPROVED,Dan Schilling,Elise Morgan,,,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,4,DISCUSSION AND POSSIBLE ACTION TO ADOPT THE MUNICIPAL WASTEWATER PLANNING PROGRAM REPORT FOR 2024 :,Other,APPROVED,Elise Morgan,Dan Schilling,,,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,5,DISCUSSION AND POSSIBLE ACTION TO ADOPT RESOLUTION 2025-R-7 UPDATING THE | BUDGET COMMITTEE CHARTER !,Budget/Finance,APPROVED (2-0),Dan Schilling,Elise Morgan,Dan Schilling,Aye,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,5,DISCUSSION AND POSSIBLE ACTION TO ADOPT RESOLUTION 2025-R-7 UPDATING THE | BUDGET COMMITTEE CHARTER !,Budget/Finance,APPROVED (2-0),Dan Schilling,Elise Morgan,Elise Morgan,Aye,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,6,DISCUSSION AND POSSIBLE ACTION TO ADOPT RESOLUTION 2025-R-8 REGARDING : FIREWORKS RESTRICTIONS,Resolution,APPROVED (4-0),Dan Schilling,Roger Bourke,Dan Schilling,Aye,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,6,DISCUSSION AND POSSIBLE ACTION TO ADOPT RESOLUTION 2025-R-8 REGARDING : FIREWORKS RESTRICTIONS,Resolution,APPROVED (4-0),Dan Schilling,Roger Bourke,Elise Morgan,Aye,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,6,DISCUSSION AND POSSIBLE ACTION TO ADOPT RESOLUTION 2025-R-8 REGARDING : FIREWORKS RESTRICTIONS,Resolution,APPROVED (4-0),Dan Schilling,Roger Bourke,John Byrne,Aye,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,6,DISCUSSION AND POSSIBLE ACTION TO ADOPT RESOLUTION 2025-R-8 REGARDING : FIREWORKS RESTRICTIONS,Resolution,APPROVED (4-0),Dan Schilling,Roger Bourke,Roger Bourke,Aye,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,7,DISCUSSION AND POSSIBLE ACTION TO COMMENCE A CLOSED MEETING TO DISCUSS A,Procedural/Administrative,APPROVED (4-0),Dan Schilling,Roger Bourke,Dan Schilling,Aye,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,7,DISCUSSION AND POSSIBLE ACTION TO COMMENCE A CLOSED MEETING TO DISCUSS A,Procedural/Administrative,APPROVED (4-0),Dan Schilling,Roger Bourke,Elise Morgan,Aye,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,7,DISCUSSION AND POSSIBLE ACTION TO COMMENCE A CLOSED MEETING TO DISCUSS A,Procedural/Administrative,APPROVED (4-0),Dan Schilling,Roger Bourke,John Byrne,Aye,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,7,DISCUSSION AND POSSIBLE ACTION TO COMMENCE A CLOSED MEETING TO DISCUSS A,Procedural/Administrative,APPROVED (4-0),Dan Schilling,Roger Bourke,Roger Bourke,Aye,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
2025-04-09,2025,Alta Town Council — Regular Meeting 2025-04-09,Council,8,"adjourn, and Elise Morgan",Procedural/Administrative,APPROVED,Dan Schilling,Elise Morgan,,,minutes/2025/2025-04-07/2025-04-09_2025_4_9_town_council_meeting_minutes_approved.md,minutes
