week_ending,period_start,n_comments,n_meetings,n_motions,n_contested,meeting_types
2020-02-12,2020-02-06,0,1,3,0,2020_2_12_tc_minutes_approved
2020-03-11,2020-03-05,0,1,5,2,2020_3_11_tc_minutes_approved
2020-04-08,2020-04-02,0,1,5,0,2020_4_8_minutes_approved
2020-05-06,2020-04-30,0,0,6,2,
2020-06-17,2020-06-11,0,0,12,2,
2020-07-08,2020-07-02,0,1,4,0,2020_7_8_alta_town_council_minutes_final_approved
2020-08-12,2020-08-06,0,1,5,0,08_12_20_alta_town_council_minutes_approved
2020-10-14,2020-10-08,0,1,5,0,2020_10_14_tc_minutes_approved
2020-11-18,2020-11-12,0,1,3,0,2020_11_12_alta_town_council_mgt_work_session_minutes_approved
2020-12-09,2020-12-03,0,1,2,0,2020_12_9_tc_minutes_approved
2021-01-06,2020-12-31,0,1,0,0,2021_1_5_tc_minutes_approved
2021-01-13,2021-01-07,0,1,10,2,2021_1_13_tc_minutes_approved
2021-02-10,2021-02-04,0,1,4,0,2021_2_10_tc_minutes_approved
2021-04-14,2021-04-08,0,1,8,0,2021_4_14_alta_town_council_minutes_approved
2021-05-12,2021-05-06,0,1,5,3,05_12_21_tc_minutes_approved
2021-06-16,2021-06-10,0,1,21,1,06_16_21_tc_meeting_minutes_approved
2021-06-30,2021-06-24,0,1,5,1,06_30_21_tc_special_meeting_minutes_approved
2021-07-14,2021-07-08,0,1,3,1,07_14_21_tc_meeting_minutes_approved
2021-08-11,2021-08-05,0,1,8,0,08_11_21_tc_minutes_approved
2021-09-08,2021-09-02,0,1,13,2,09_08_21_tc_meeting_minutes_final
2021-09-29,2021-09-23,0,1,4,3,2021_9_29_minutes_final
2021-11-10,2021-11-04,0,1,10,2,21_11_10_tc_meeting_minutes_final
2021-12-08,2021-12-02,0,1,7,1,12_8_21_tc_meeting_minutes_approved
2022-01-12,2022-01-06,0,1,5,0,1_12_22_tc_meeting_minutes_approved
2022-01-26,2022-01-20,0,1,3,0,22_1_26_tc_meeting_minutes_approved
2022-02-09,2022-02-03,0,1,3,0,22_2_9_tc_meeting_minutes_approved
2022-03-09,2022-03-03,0,1,8,0,22_3_9_tc_meeting_minutes
2022-04-13,2022-04-07,0,1,8,1,22_4_13_tc_meeting_minutes_approved
2022-05-11,2022-05-05,0,1,6,0,22_5_11_tc_meeting_minutes_approved
2022-06-15,2022-06-09,0,1,12,1,22_6_15_tc_meeting_minutes_approved
2022-07-13,2022-07-07,0,1,2,0,22_7_13_tc_meeting_minutes_approved
2022-08-10,2022-08-04,0,1,3,0,22_8_10_tc_meeting_minutes_approved_w_exha
2022-09-14,2022-09-08,0,1,3,1,22_9_14_tc_meeting_minutes_approved
2022-10-12,2022-10-06,0,1,4,2,22_10_12_tc_meeting_minutes_approved
2022-12-14,2022-12-08,0,1,9,0,2022_12_14_tc_meeting_minutes_approved
2023-01-11,2023-01-05,0,1,4,0,2023_1_11_tc_meeting_minutes_approved
2023-02-08,2023-02-02,0,1,3,0,2023_2_8_tc_meeting_minutes_approved
2023-03-01,2023-02-23,0,1,1,0,2023_2_23_tc_meeting_minutes_approved
2023-03-08,2023-03-02,0,1,6,0,2023_3_8_tc_meeting_minutes_approved
2023-04-12,2023-04-06,0,1,7,0,2023_4_12_tc_meeting_minutes_approved
2023-05-10,2023-05-04,0,1,8,0,2023_5_10_tc_meeting_minutes_approved
2023-06-07,2023-06-01,0,1,1,0,2023_6_7_tc_meeting_minutes_draft
2023-06-21,2023-06-15,0,1,17,0,2023_6_21_tc_meeting_minutes_work_session_public_hearings_approved
2023-07-12,2023-07-06,0,1,2,0,2023_7_12_tc_meeting_minutes_approved
2023-08-09,2023-08-03,0,1,9,0,2023_8_9_tc_meeting_minutes_approved
2023-09-13,2023-09-07,0,1,4,0,2023_9_13_tc_meeting_minutes_approved
2023-10-11,2023-10-05,0,1,3,0,2023_10_11_tc_meeting_minutes_approved
2023-12-13,2023-12-07,0,1,8,0,2023_12_13_tc_meeting_minutes_approved
2024-01-10,2024-01-04,0,1,9,0,2024_1_10_tc_meeting_minutes_approved
2024-01-17,2024-01-11,0,1,0,0,2024_1_11_retreat_meeting_minutes_approved
2024-02-14,2024-02-08,0,1,7,0,2024_2_14_council_meeting_minutes_approved
2024-03-06,2024-02-29,0,1,1,0,2024_3_5_special_alta_town_council_meeting_minutes_approved
2024-03-13,2024-03-07,0,1,0,0,2024_3_13_alta_council_meeting_minutes_approved
2024-04-10,2024-04-04,0,1,8,0,2024_4_10_alta_council_meeting_minutes_approved
2024-05-08,2024-05-02,0,1,5,0,2024_5_8_alta_town_council_meeting_minutes_approved
2024-06-26,2024-06-20,0,1,17,0,2024_6_20_town_council_meeting_minutes_approved
2024-07-10,2024-07-04,0,1,3,0,2024_7_10_town_council_meeting_minutes_approved
2024-08-14,2024-08-08,0,0,4,0,
2024-11-13,2024-11-07,0,1,9,0,2024_11_13_alta_town_council_mgt_minutes_approved
2024-12-11,2024-12-05,0,1,7,0,2024_12_11_alta_council_meeting_minutes_approved
2025-01-08,2025-01-02,0,1,3,0,2025_1_8_town_council_minutes_approved
2025-01-15,2025-01-09,0,1,0,0,2025_1_9_town_council_retreat_minutes_approved
2025-02-12,2025-02-06,0,1,4,0,2025_2_12_town_council_minutes_approved
2025-02-19,2025-02-13,0,1,2,0,2025_2_14_emergency_town_council_minutes_approved
2025-03-05,2025-02-27,0,1,2,0,2025_3_4_special_council_meeting_minutes_approved
2025-03-12,2025-03-06,0,1,6,0,2025_3_12_alta_town_council_meeting_public_hearing_meeting_minutes_app
2025-04-02,2025-03-27,0,1,2,0,2025_4_2_special_alta_council_meeting_minutes_approved
2025-04-09,2025-04-03,0,1,8,0,2025_4_9_town_council_meeting_minutes_approved
2025-04-16,2025-04-10,0,1,1,0,2025_4_15_special_town_council_meeting_minutes_approved
2025-04-30,2025-04-24,0,1,0,0,2025_4_24_alta_special_council_meeting_minutes_approved
2025-05-14,2025-05-08,0,1,6,0,2025_5_14_alta_town_council_meeting_minutes_approved
2025-06-04,2025-05-29,0,1,2,0,2025_6_4_alta_special_council_meeting_minutes_approved
2025-06-18,2025-06-12,0,1,14,0,2025_6_18_alta_council_meeting_minutes_approved
2025-08-13,2025-08-07,0,1,13,0,2025_8_13_alta_town_council_minutes_approved
2025-09-10,2025-09-04,0,2,5,0,2025_9_10_alta_town_council_minutes_approved; 2025_9_4_strategic_planning_retreat_minutes_approved
2025-10-08,2025-10-02,0,1,3,0,2025_10_8_alta_town_council_minutes_approved
2025-11-12,2025-11-06,0,1,10,0,2025_11_12_alta_town_council_meeting_minutes_approved
2025-12-10,2025-12-04,0,2,7,0,2025_12_10_alta_town_council_meeting_minutes_approved; 2025_12_9_special_town_council_meeting_minutes_approved
2026-01-14,2026-01-08,0,1,4,0,2026_1_14_alta_town_council_meeting_minutes_approved
2026-02-11,2026-02-05,0,1,3,1,2026_2_11_alta_town_council_meeting_minutes_approved
2026-03-04,2026-02-26,0,1,2,0,2026_3_4_special_alta_town_council_meeting_minutes_approved
