referral_id,confidence,match_method,primary_body,related_body,gap_days,related_application_id,related_date,related_title,primary_application_id,primary_date,primary_title,shared_address,subject_score,note
30,medium,subject,Council,PlanningCommission,35,331,2020-05-20,"Legislative Items 5. PUBLIC HEARING, CONSIDERATION, AND RECOMMENDATION on_a Proposed Zoning Text Amendment Application to Amend Title 11-2-2 Definition of “Funeral Home” to Include_a Crematorium. _ Howland Partners, Applicant. (Application 2020-22). Staff Presenter, Jennifer Robison. Mrs. Robison reported that the applicant would like to develop a crematorium in conjunction with the proposed funeral home; however, the current definition of “Funeral Home” in Title 11-2-2 does not allow for such a facility. The definition would apply to any zone in which a funeral home is allowed. She enumerated",52,2020-06-24,"5. PUBLIC HEARING – Reconsideration and Vote on Ordinance Number 2020-11, Amending Title 11-2-2 Definition of “Funeral Home” to Include Cremation Facilities, Howland Partners, Applicant, Staff Presenter, Grant Crowell. Mr. Crowell presented the staff report and reviewed the history of the above item and identified the definition of a funeral home. Mayor Timothy opened the public hearing. There were no public comments. The public hearing was closed. Mr. Sheeran reported that the language in the ordinance is satisfactory and should not present an issue. 5 BLUFFDALE CITY COUNCIL LOCAL BUILDING AU",,0.153,
265,medium,subject,Council,PlanningCommission,70,511,2025-09-03,Commissioner Griffis moved to forward a NEGATIVE recommendation to the City Council for the proposed Amendment of Section 11.80.060 R-SL Senior Living Zone. Commissioner Flynn seconded the motion,306,2025-11-12,"Council Member Crockett moved to APPROVE Ordinance 2025-26 — An Ordinance Amending Bluffdale City Code Section 11.80.060 R-SL Senior Living Zone to Allow Basements in Dwellings within the Zone, along with Other Ministerial Changes. Council Member Wilding seconded the motion. Vote on the Motion: Council Member Austin-Yes, Council Member Aston-Yes, Council Member Wilding-Yes, Council Member Crockett-Yes, Council Member Lord-Yes",,0.202,
23,medium,subject,Council,PlanningCommission,7,331,2020-05-20,"Legislative Items 5. PUBLIC HEARING, CONSIDERATION, AND RECOMMENDATION on_a Proposed Zoning Text Amendment Application to Amend Title 11-2-2 Definition of “Funeral Home” to Include_a Crematorium. _ Howland Partners, Applicant. (Application 2020-22). Staff Presenter, Jennifer Robison. Mrs. Robison reported that the applicant would like to develop a crematorium in conjunction with the proposed funeral home; however, the current definition of “Funeral Home” in Title 11-2-2 does not allow for such a facility. The definition would apply to any zone in which a funeral home is allowed. She enumerated",40,2020-05-27,"4. PUBLIC HEARING – Consideration and Vote on a Proposed Zoning Text Amendment to Amend Title 11-2-2 Definition of “Funeral Home” to Include a Crematorium, Howland Partners, Applicant, Staff Presenter, Jennifer Robison. Mr. Crowell presented a change to the definition of “funeral home” to clarify that cremations may be conducted at funeral homes. Mayor Timothy asked if the language should specify that a 7 BLUFFDALE CITY COUNCIL MEETING MINUTES Wednesday, May 27, 2020 cremation facility is allowed in a funeral home rather than referring to the cremation process. City Attorney, Todd Sheeran was ",,0.241,
40,medium,subject,Council,PlanningCommission,21,349,2020-10-07,"Legislative Items 4. PUBLIC HEARING, CONSIDERATION, AND RECOMMENDATION on a City- Initiated Text Amendment Application to Amend Section 11.90.030.060 of the Bluffdale City Land Use Ordinance, Revising the Setback Requirements in the Heavy BLUFFDALE CJTY PLANNING COMMJSSJON MEETING MINUTES Wednesday, October 7, 2020 Commercial (HC) Zone. City of Bluffdale, Applicant. (Application 2020-49). Staff Presenter, Grant Crowell. C ity Planner/Economic Development Director, Grant Crowell, presented the staff report and identified the changes to the numbering system in the City Code. He displayed the Zon",69,2020-10-28,"5. PUBLIC HEARING – Consideration and Vote on Ordinance 2020-24, a City- Initiated Text Amendment Application to Amend Section 11.90.030.060 of the Bluffdale City Land Use Ordinance, Revising the Setback Requirements in Heavy Commercial Zone (HC) Zone, City of Bluffdale, Applicant. (Application 2020-49), Staff Presenter, Grant Crowell. Mr. Crowell reported that during the City Council Economic Development Work Session, there were project ideas related to the revitalization of one of the industrial park areas near 855 West. The City’s current setback requirements in the Heavy Commercial (HC) Zo",,0.27,
251,medium,subject,Council,RDA,-287,295,2025-03-26,"Board Member Aston moved to APPROVE RDA Resolution 2025-28 - Adopting a Budget Adjustment for the 2025 Fiscal Year Budget. Board Member Wilding seconded the motion. Vote on the Motion: Board Member Aston-Yes, Board Member Wilding-Yes, Board 26 BLUFFDALE CITY COUNCIL AND REDEVELOPMENT AGENCY BOARD MEETING MINUTES Wednesday, March 26,2025 Member Hall-Yes, Chair Crockett-Yes, Board Member Lord-Yes, Board Member Austin- Yes",262,2024-06-12,"Council Member Aston moved to APPROVE Ordinance 2024-15-Proposed Amendments to the Biuffdale City Zoning Map(to RC Zone)and General Plan Use Map (to Commercial Land Use) for 0.89 acres located at 600 West 14600 South. Council Member Austin seconded the motion. Vote on the motion: Council Member Lord-Yes,Council Member Austin-Yes, Council Member Aston-Yes, Council Member Wilding-Yes, Council Member Crockett-Yes",,0.31,
253,medium,subject,Council,RDA,-287,295,2025-03-26,"Board Member Aston moved to APPROVE RDA Resolution 2025-28 - Adopting a Budget Adjustment for the 2025 Fiscal Year Budget. Board Member Wilding seconded the motion. Vote on the Motion: Board Member Aston-Yes, Board Member Wilding-Yes, Board 26 BLUFFDALE CITY COUNCIL AND REDEVELOPMENT AGENCY BOARD MEETING MINUTES Wednesday, March 26,2025 Member Hall-Yes, Chair Crockett-Yes, Board Member Lord-Yes, Board Member Austin- Yes",264,2024-06-12,"Council Member Aston moved to APPROVE Resolution 2024-45 — Adopting a Final Operating Budget for the Fire and Police Protection Fund for the 2024-2025 Fiscal Year, as Amended to Remove the Tax Increase and Add the Proposed Fee. Council Member Lord seconded the motion. Vote on the motion: Council Member Crockett-Yes, Council Member Lord-Yes, 37 BLUFFDALE CITY COUNCIL, LOCAL BUILDING AUTHORITY,AND REDEVELOPMENT AGENCY BOARD MEETING MINUTES Wednesday,June 12,2024 Council Member Austin-No, Council Member Aston-Yes, Council Member Wilding-Yes",,0.31,
252,medium,subject,Council,RDA,-287,295,2025-03-26,"Board Member Aston moved to APPROVE RDA Resolution 2025-28 - Adopting a Budget Adjustment for the 2025 Fiscal Year Budget. Board Member Wilding seconded the motion. Vote on the Motion: Board Member Aston-Yes, Board Member Wilding-Yes, Board 26 BLUFFDALE CITY COUNCIL AND REDEVELOPMENT AGENCY BOARD MEETING MINUTES Wednesday, March 26,2025 Member Hall-Yes, Chair Crockett-Yes, Board Member Lord-Yes, Board Member Austin- Yes",263,2024-06-12,"Council Member Austin moved to APPROVE Resolution 2024-42-Adopting the Final Tax Rate for Utah County for the Purpose ofLevying Taxes within the City of Bluffdale General Fund for the Fiscal Year 2024-2025. Council Member Aston seconded the motion. Vote on the motion: 14 BLUFFDALE CITY COUNCIL, LOCAL BUILDING AUTHORITY,AND REDEVELOPMENT AGENCY BOARD MEETING MINUTES Wednesday,June 12,2024 Council Member Aston-Yes, Council Member Wilding-Yes, Council Member Crockett-Yes, Council Member Lord-Yes,Council Member Austin-Yes",,0.318,
12,medium,subject,Council,RDA,-77,56,2020-06-24,"3. Adjournment. The LBA Meeting adjourned at 9:41 p.m. BLUFFDALE CITY REDEVELOPMENT AGENCY BOARD MEETING RDA Chair, Dave Kallas, assumed the Chair and called the meeting to order at 9:41 p.m. 1. Roll Call. All Members of the RDA Board were present. 12 BLUFFDALE CITY COUNCIL LOCAL BUILDING AUTHORITY OF THE CITY OF BLUFFDALE BOARD REDEVELOPMENT AGENCY BOARD COMBINED MEETING MINUTES Wednesday, June 24, 2020 2. PUBLIC HEARING - Consideration and Vote on Resolution Number 2020-06, a Resolution Adopting a Final Budget for the 2010-2020 Fiscal Year Budget, Staff Presenters, Bruce Kartchner and Stepha",28,2020-04-08,"LOCAL BUILDING AUTHORITY OF THE CITY OF BLUFFDALE BOARD MEETING 1. Roll Call, Invocation, Pledge of Allegiance. All Members of the City Council were present. 2. PUBLIC HEARING- Consideration and vote on a resolution adopting the Tentative Budget for the 2020-2021 Fiscal Year and establishing the Time and Place for the Public Hearing on the Final Budget for the 2020-2021 Fiscal Year, staff presenters, 11 BLUFFDALE CITY COUNCIL, LOCAL BUILDING AUTHORITY OF THE CITY OF BLUFFDALE BOARD REDEVELOPMENT AGENCY BOARD COMBINED MEETING MINUTES Wednesday, April 8, 2020 Bruce Kartchner and Stephanie Thayer",,0.327,
262,medium,subject,Council,RDA,168,295,2025-03-26,"Board Member Aston moved to APPROVE RDA Resolution 2025-28 - Adopting a Budget Adjustment for the 2025 Fiscal Year Budget. Board Member Wilding seconded the motion. Vote on the Motion: Board Member Aston-Yes, Board Member Wilding-Yes, Board 26 BLUFFDALE CITY COUNCIL AND REDEVELOPMENT AGENCY BOARD MEETING MINUTES Wednesday, March 26,2025 Member Hall-Yes, Chair Crockett-Yes, Board Member Lord-Yes, Board Member Austin- Yes",303,2025-09-10,"Council Member Lord moved to APPROVE Ordinance 2025-20 — Approving the Proposed Text Amendment to Increase the Allowed Lot Coverage in the R-1-43 Zone, as amended to increase the Allowed Lot Coverage from 30% to 40% (Application 2025-31). Council Member Aston seconded the motion. Vote on the Motion: Council Member Aston-Yes, Council Member Wilding-Yes, Council Member Crockett-Yes, Council Member Lord-Yes, Council Member Austin-Yes",,0.329,
101,medium,subject,Council,RDA,-322,191,2022-05-11,"3. LBA Discussion. 26 BLUFFDALE CITY COUNCIL, LOCAL BUILDING AUTHORITY, AND REDEVELOPMENT AGENCY BOARD MEETING MINUTES Wednesday, May 11, 2022 There were no fmther discussions. 4. Adiournment. Mark Hales moved to ADJOURN the Local Building Authority Meeting. Wendy Aston seconded the motion",125,2021-06-23,"The City Council was in C losed Meeting from 9:00 p.m. to 9:59 p.m. 16 BLUFFDALE CITY COUNCIL, LOCAL BUILDING AUTHORITY OF THE CITY OF BLUFFDALE BOARD REDEVELOPMENT AGENCY BOARD COMBINED MEETING MINUTES Wednesday, June 23, 2021 Wendy Aston moved to adjourn the Closed Meeting. Mark Hales seconded the motion",,0.33,
