referral_id,primary_application_id,primary_body,related_application_id,related_body,match_method,confidence,shared_address,subject_score,primary_date,related_date,gap_days,note
1,20,Council,19,RDA,subject,medium,,0.781,2020-02-26,2020-02-26,0,
2,31,Council,324,PlanningCommission,address+subject,high,13975 s 2700 w,0.583,2020-04-22,2020-04-15,7,
3,32,Council,325,PlanningCommission,address+subject,high,14135 s loumis,0.729,2020-04-22,2020-04-15,7,
4,34,Council,328,PlanningCommission,address+subject,high,13912 s 2700 w,0.23,2020-05-13,2020-05-06,7,
5,35,Council,328,PlanningCommission,address,low,13912 s 2700 w,0.521,2020-05-13,2020-05-06,7,
6,35,Council,329,PlanningCommission,address+subject,high,13912 s 2700 w,0.595,2020-05-13,2020-05-06,7,
7,40,Council,331,PlanningCommission,subject,medium,,0.241,2020-05-27,2020-05-20,7,
8,41,Council,331,PlanningCommission,subject,medium,,0.638,2020-05-27,2020-05-20,7,
9,51,Council,335,PlanningCommission,subject,medium,,0.723,2020-06-24,2020-06-17,7,
10,52,Council,331,PlanningCommission,subject,medium,,0.153,2020-06-24,2020-05-20,35,
11,61,Council,341,PlanningCommission,address+subject,high,2877 w 15000 s,0.228,2020-08-26,2020-08-19,7,
12,62,Council,336,PlanningCommission,subject,medium,,0.507,2020-08-26,2020-06-17,70,
13,64,Council,338,PlanningCommission,subject,medium,,0.642,2020-08-26,2020-07-15,42,
14,66,Council,338,PlanningCommission,subject,medium,,0.688,2020-09-09,2020-07-15,56,
15,69,Council,349,PlanningCommission,subject,medium,,0.27,2020-10-28,2020-10-07,21,
16,73,Council,351,PlanningCommission,address+subject,high,955 w 14730 s,0.513,2020-11-18,2020-11-04,14,
17,81,Council,359,PlanningCommission,address+subject,high,13975 s 2700 w,0.247,2021-01-27,2020-12-02,56,
18,82,Council,359,PlanningCommission,address+subject,high,13975 s 2700 w,0.238,2021-01-27,2020-12-02,56,
19,84,Council,359,PlanningCommission,address,low,13975 s 2700 w,0.167,2021-02-10,2020-12-02,70,
20,90,Council,359,PlanningCommission,address+subject,high,13975 s 2700 w,0.276,2021-02-24,2020-12-02,84,
21,91,Council,359,PlanningCommission,address,low,13975 s 2700 w,0.176,2021-02-24,2020-12-02,84,
22,94,Council,368,PlanningCommission,subject,medium,,0.663,2021-03-24,2021-03-17,7,
23,107,Council,376,PlanningCommission,subject,medium,,0.852,2021-05-26,2021-04-21,35,
24,107,Council,379,PlanningCommission,subject,medium,,0.72,2021-05-26,2021-05-05,21,
25,107,Council,381,PlanningCommission,subject,medium,,0.748,2021-05-26,2021-05-19,7,
26,128,Council,386,PlanningCommission,address+subject,high,15228 s porter rockwell,0.964,2021-07-14,2021-07-07,7,
27,128,Council,387,PlanningCommission,address+subject,high,15228 s porter rockwell,0.641,2021-07-14,2021-07-07,7,
28,142,Council,404,PlanningCommission,subject,medium,,0.66,2021-11-17,2021-11-03,14,
29,143,Council,399,PlanningCommission,subject,medium,,0.726,2021-11-17,2021-09-29,49,
