role_id,person_id,body_id,first_seen,last_seen,n_votes
1,1,1,2024-01-10,2026-06-10,92
2,1,2,2024-02-28,2026-06-10,11
3,1,4,2024-01-10,2026-06-10,19
4,11,1,2020-02-12,2023-12-14,350
5,11,2,2023-06-14,2023-06-14,1
6,11,4,2020-04-08,2023-12-13,28
7,12,3,2020-01-08,2026-06-03,248
8,13,4,2020-06-10,2021-12-08,7
9,15,3,2022-01-05,2026-06-03,140
10,19,1,2024-01-10,2026-06-24,93
11,19,2,2024-02-28,2026-06-10,12
12,19,4,2024-01-10,2026-06-10,19
13,26,3,2020-01-08,2021-04-07,32
14,28,1,2020-02-12,2023-12-13,339
15,28,2,2023-06-14,2023-06-14,1
16,28,4,2020-04-08,2023-12-13,25
17,29,3,2025-10-15,2026-06-03,11
18,30,3,2020-01-08,2023-01-18,110
19,34,3,2020-01-08,2026-06-03,239
20,38,1,2026-02-25,2026-06-24,10
21,38,2,2026-06-10,2026-06-10,1
22,38,4,2026-01-14,2026-06-10,3
23,40,1,2020-02-12,2023-12-14,352
24,40,2,2023-06-14,2023-06-14,1
25,40,4,2020-04-08,2023-12-13,27
26,41,3,2023-03-15,2025-07-02,52
27,42,1,2022-11-09,2025-05-14,2
28,42,2,2023-06-14,2026-06-10,11
29,42,4,2022-01-12,2026-06-10,34
30,44,3,2020-01-08,2021-12-01,97
31,45,1,2024-01-10,2026-06-24,95
32,45,2,2024-02-28,2026-06-10,12
33,45,4,2024-01-10,2026-06-10,18
34,48,3,2022-04-20,2026-06-03,113
35,50,1,2020-02-12,2025-10-08,441
36,50,2,2023-06-14,2025-06-25,12
37,50,4,2020-04-08,2025-12-10,44
38,51,3,2020-02-05,2026-05-20,213
39,55,1,2020-04-08,2026-06-24,419
40,55,2,2023-06-14,2026-06-10,13
41,55,4,2020-04-08,2026-06-10,46
