year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,ROD L. FLANIGAN,1175,28.88,1,True
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,BRUCE M. KARTCHNER,914,22.46,2,True
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,TROY E. CHISHOLM,717,17.62,3,True
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,MARTHA SPEED,614,15.09,4,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,DON T. WHITE,613,15.07,5,False
2007,municipal general,Council,At-Large,Bluffdale City Council At-Large,Write-in,36,0.88,6,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,MARTHA SPEED,330,15.51,1,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,BRUCE M. KARTCHNER,329,15.46,2,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,ROD L. FLANIGAN,277,13.02,3,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,TROY E CHISHOLM,249,11.7,4,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,JESSE KELLEY,228,10.71,5,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,DON T. WHITE,199,9.35,6,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,STEVEN LEVESQUE,158,7.42,7,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,TROY G. RICKS,123,5.78,8,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,HEIREANN THORNLEY,121,5.69,9,False
2007,municipal primary,Council,At-Large,Bluffdale City Council At-Large,PATI HOGLUND,114,5.36,10,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,ALAN JACKSON,809,29.07,1,True
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,NOELL NELSON,713,25.62,2,True
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,BILL MAXWELL,629,22.6,3,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,NANCY LORD,621,22.31,4,False
2009,municipal general,Council,At-Large,Bluffdale City Council At-Large,Write-in,11,0.4,5,False
2009,municipal general,Mayor,,Bluffdale City Mayor,DERK P. TIMOTHY,812,57.06,1,True
2009,municipal general,Mayor,,Bluffdale City Mayor,KIM E. FULLER,600,42.16,2,False
2009,municipal general,Mayor,,Bluffdale City Mayor,Write-in,11,0.77,3,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,BILL MAXWELL,342,16.77,1,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,NANCY LORD,325,15.94,2,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,ALAN JACKSON,296,14.52,3,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,NOELL NELSON,270,13.24,4,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,MORRIS R. CLARK,212,10.4,5,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,HERBERT D. WILLIAMS,184,9.02,6,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,J. LEE BERTOCH,161,7.9,7,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,DEBBIE A. HOLT,132,6.47,8,False
2009,municipal primary,Council,At-Large,Bluffdale City Council At-Large,TY T. NIELSEN,117,5.74,9,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,KIM E. FULLER,243,23.08,1,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,DERK P. TIMOTHY,240,22.79,2,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,BRUCE KARTCHNER,234,22.22,3,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,WAYNE M. MORTIMER,186,17.66,4,False
2009,municipal primary,Mayor,,Bluffdale City Mayor,CLAUDIA ANDERSON,150,14.25,5,False
2011,municipal general,Council,At-Large,Bluffdale City Council At-Large,HEATHER PEHRSON,796,29.79,1,True
2011,municipal general,Council,At-Large,Bluffdale City Council At-Large,BRUCE M. KARTCHNER,459,17.18,2,True
2011,municipal general,Council,At-Large,Bluffdale City Council At-Large,TY NIELSEN,366,13.7,3,True
2011,municipal general,Council,At-Large,Bluffdale City Council At-Large,CRAIG L. BRIGGS,358,13.4,4,False
2011,municipal general,Council,At-Large,Bluffdale City Council At-Large,C. NICK BERRY,336,12.57,5,False
2011,municipal general,Council,At-Large,Bluffdale City Council At-Large,TROY E. CHISHOLM,336,12.57,6,False
2011,municipal general,Council,At-Large,Bluffdale City Council At-Large,Write-in,21,0.79,7,False
