precinct,county,countyid,vista_id,seat_basis,district,intersect_frac
BLF001,Salt Lake,18,BLF001,At-Large,At-Large,0.993
BLF002,Salt Lake,18,BLF002,At-Large,At-Large,0.99
BLF003,Salt Lake,18,BLF003,At-Large,At-Large,1.0
BLF004,Salt Lake,18,BLF004,At-Large,At-Large,1.0
BLF005,Salt Lake,18,BLF005,At-Large,At-Large,1.0
BLF006,Salt Lake,18,BLF006,At-Large,At-Large,0.994
BLF007,Salt Lake,18,BLF007,At-Large,At-Large,1.0
BLF008,Salt Lake,18,BLF008,At-Large,At-Large,0.999
BLF009,Salt Lake,18,BLF009,At-Large,At-Large,1.0
BLF010,Salt Lake,18,BLF010,At-Large,At-Large,1.0
BLF011,Salt Lake,18,BLF011,At-Large,At-Large,1.0
BLF012,Salt Lake,18,BLF012,At-Large,At-Large,0.997
BLF013,Salt Lake,18,BLF013,At-Large,At-Large,0.984
25BL01,Utah,25,25BL01,At-Large,At-Large,0.986
25NW04,Utah,25,25NW04,At-Large,At-Large,0.027
