date,title,doc_type,source_url,retrieved_date,format,extraction_method,path,pages,repository,notes
2022-06-08,Bluffdale City General Plan (adopted June 8 2022),general_plan,https://www.bluffdale.gov/DocumentCenter/View/5049/Bluffdale-General-Plan,2026-07-12,text,pdftotext -layout,raw/bluffdale-general-plan.pdf,486,Bluffdale (bluffdale.gov DocumentCenter),Current adopted General Plan; land-use context. MIH is a General Plan element adopted/amended by separate ordinance (see mih_element rows). References prior 2017/2020 Long-Range Plan.
2022-09-14,Moderate Income Housing Element of the General Plan (2022),mih_element,https://www.bluffdale.gov/DocumentCenter/View/5099/2022-MIHE-of-the-General-Planpdf,2026-07-12,text,pdftotext -layout,raw/2022-mihe-general-plan.pdf,19,Bluffdale (bluffdale.gov DocumentCenter),Original HB 462 MIH Element; adopted in its entirety as the official MIH Element of the General Plan by Ordinance 2022-15 on 2022-09-14.
2022-09-14,"Ordinance 2022-15 — Adopting the Moderate Income Housing Element",mih_element,https://www.bluffdale.gov/DocumentCenter/View/8521/Ordinance-2022-15---Adopting-Moderate-Income-Housing-Element,2026-07-12,text,pdftotext -layout,raw/ordinance-2022-15-adopting-mihe.pdf,8,Bluffdale (bluffdale.gov DocumentCenter),Adopting ordinance for the 2022 MIH Element; PASSED 14 September 2022 per HB 462 (Utah Code 10-9a-403) Oct 1 2022 deadline.
2023-01-25,Moderate Income Housing Element of the General Plan (2022 — AMENDED),mih_element,https://www.bluffdale.gov/DocumentCenter/View/5393/2022-AMENDED-MIHE-of-the-General-Planpdf,2026-07-12,text,pdftotext -layout,raw/2022-amended-mihe-general-plan.pdf,18,Bluffdale (bluffdale.gov DocumentCenter),Amended MIH Element adopted by Ordinance 2023-04 on 2023-01-25. Supersedes the Sept 2022 version.
2023-01-25,"MIH Report — 2022 AMENDED — Ordinance 2023-04 (Final)",mih_element,https://www.bluffdale.gov/DocumentCenter/View/5394/MIH-Report---2022-AMENDED---Ordinance-2023-04-Finalpdf,2026-07-12,text,pdftotext -layout,raw/mih-report-2022-amended-ordinance-2023-04.pdf,27,Bluffdale (bluffdale.gov DocumentCenter),Final adopted amended MIH Element/report package accompanying Ordinance 2023-04 (25 Jan 2023 City Council). Longer companion to View/5393.
2024,2024 Moderate Income Housing Report (annual implementation report — city-filed copy),mih_annual_report,https://www.bluffdale.gov/DocumentCenter/View/6981/Bluffdale-Moderate-Income-Housing-Report-23-24,2026-07-12,text,pdftotext -layout,raw/bluffdale-mih-report-23-24.pdf,8,Bluffdale (bluffdale.gov DocumentCenter),City-published copy of Bluffdale's annual 10-9a-408 implementation report (reporting year 2023-24). The state-published copy is the hcd-24reports.pdf excerpt (pp 27-32).
2025-07-15,2025 Moderate Income Housing Report — Notice of Compliance (HCD letter),compliance_letter,https://www.bluffdale.gov/DocumentCenter/View/8677/2025-Moderate-Housing-Compliance-Letter,2026-07-12,text,pdftotext -layout,raw/2025-moderate-housing-compliance-letter.pdf,1,Bluffdale (bluffdale.gov DocumentCenter),"Utah DWS HCD letter (15 Jul 2025) finding Bluffdale's 2025 MIH report compliant with 10-9a-408; three strategies accepted; no fixed-guideway station."
2023,Bluffdale annual MIH report — 2023 statewide compilation (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/23reports.pdf,2026-07-12,text,pdftotext -layout,raw/hcd-23reports.pdf,28-37,Utah DWS HCD (jobs.utah.gov),"Bluffdale's 10-9a-408 annual report as published in the statewide 23reports.pdf compilation (1109 pp total). Bluffdale = physical pp 28-37 (printed 27-36; Bountiful starts p38). Sidecar: text/bluffdale-2023.txt (no neighbor bleed verified)."
2024,Bluffdale annual MIH report — 2024 statewide compilation (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/24reports.pdf,2026-07-12,text,pdftotext -layout,raw/hcd-24reports.pdf,27-32,Utah DWS HCD (jobs.utah.gov),"Bluffdale's 10-9a-408 annual report as published in the statewide 24reports.pdf compilation (1030 pp total). Bluffdale = physical pp 27-32 (Bountiful starts p33). Sidecar: text/bluffdale-2024.txt (no neighbor bleed). State copy of the city-filed View/6981."
2025,Bluffdale annual MIH report — 2025 statewide compilation (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/25reports.pdf,2026-07-12,text,pdftotext -layout,raw/hcd-25reports.pdf,30-38,Utah DWS HCD (jobs.utah.gov),"Bluffdale's 10-9a-408 annual report as published in the statewide 25reports.pdf compilation (1303 pp total). Bluffdale = physical pp 30-38 (Bountiful starts p39). Sidecar: text/bluffdale-2025.txt (no neighbor bleed). Reported by Planning Manager Caitlyn Tubbs; 3 strategies (matches the 2025 compliance letter)."
2021,Bluffdale SB 34 Municipal Progress Summary 2019-2021 (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/sb34.pdf,2026-07-12,text,pdftotext -layout,raw/hcd-sb34.pdf,6-7,Utah DWS HCD (jobs.utah.gov),"Bluffdale's SB 34 progress summary within the statewide sb34.pdf (199 pp total, covers 2019-2021; Bluffdale is summary #3, County: Salt Lake, WFRC AOG/MPO, 3 required items). Bluffdale = physical pp 6-7 (Bountiful starts p8). Sidecar: text/bluffdale-sb34-2019-2021.txt (no bleed)."
