date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2020-01-15,2020,"2020, City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,1,"a BLUFFDALE ~~ ES T . 1 848 ~~ BLUFFDALE CITY COUNCIL LOCAL BUILDING AUTHORITY OF THE CITY OF BLUFFDALE BOARD REDEVELOPMENT AGENCY BOARD COMBINED MEETING AGENDA Wednesday, January 15, 2020 Notice is hereby given that the Bluffdale City Co uncil, LBA & RDA will hold a com bined meeting Wednesday, Ja nuary 15, 2020 at t he Bluffdale City Hall, 2222 West 14400 South, Bluffdale, Utah scheduled to begin promptly at .6.;QO__n,.m_, o r as soon therea fter as possible. Notice is further given that access to this meeting by the Mayor and or City Council may be by electronic means via telephonic confere",Land-Use/Zoning,The motion passed with the unanimous consent of the Council,,,,,minutes/2020/2020-01-13/council_2020-01-15_706.md
2020-01-15,2020,"2020, City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,2,"Mayor Timothy reviewed Robert's Rules and noted that the procedure for voting will be changed from a roll call vote to a voice vote, except when a roll call vote is necessary. He also noted that 6 BLUFFDALE CITY COUNCIL, LOCAL BUILDING AUTHORITY OF THE CITY OF BLUFFDALE BOARD AND REDEVELOPMENT AGENCY BOARD COMBINED MEETING MINUTES Wednesday, January 15, 2020 the person leading the meeting can call for adjournment but a Council Member may request a vote to adjourn if they believe further discussion needs to take place. Mayor Timothy stated that with respect to the Consent Agenda, items can be p",Land-Use/Zoning,The motion passed with the unanimous consent of the Council,,,,,minutes/2020/2020-01-13/council_2020-01-15_706.md
2020-01-15,2020,"2020, City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,3,"6. PUBLIC HEARING - Consideration and Vote on an Amendment to the City of Bluffdale General Plan, Specifically an Update to the City-Wide Transportation Plan, City of Bluffdale, Applicant, Staff Presenter, Trevor Andra. Assistant City Engineer, Trevor Andra explained that in the work session DAI asked that the Transportation Plan be tabled. He and noted that he would still like to go through the plan. He reported that the Transportation Master Plan, Drinking Water Master Plan, and Storm Water Master Plan have all been updated. Mr. Andra explained that the plans were developed based on the Mast",Land-Use/Zoning,The motion passed with the unanimous consent of the Council,,,,,minutes/2020/2020-01-13/council_2020-01-15_706.md
2020-01-15,2020,"2020, City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,4,"7. Consideration and Vote on a Resolution Adopting a Storm Water Master Plan, Staff Presenter, Trevor Andra. Mr. Andra reported that the Storm Water Master Plan was prepared by Staff Engineer, Dan Tracer. Existing deficiencies were identified and projects were ranked according to priority. All of the projects will be funded by the City as capital projects and will not be eligible for impact fees. Mr. Andra reported that three storm drain projects have been completed so far and 13 have been identified at a total cost of $3,484,000.00. Mr. Andra outlined four main future capital projects that ar",Land-Use/Zoning,The motion passed with the unanimous consent of the Council,,,,,minutes/2020/2020-01-13/council_2020-01-15_706.md
2020-01-15,2020,"2020, City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,5,"8. Consideration and Vote on a Resolution Adopting the Drinking Water Master Plan, Staff Presenter, Trevor Andra. Mr. Andra invited Dr. Robert Sowby from Hansen Allen & Luce Engineers to speak about the Drinking Water Master Plan. Dr. Sowby stated that the differences between the 2017 plans and updated plans include growth projections based on land use and development plans rather than population projections as well as new locations of storage tanks and updates to the statutes and rules governing public water systems. He noted that approximately $21 million in improvements will be needed over ",Land-Use/Zoning,The motion passed with the unanimous consent of the Council,,,,,minutes/2020/2020-01-13/council_2020-01-15_706.md
2020-01-15,2020,"2020, City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,6,"9. Consideration and Vote on a Resolution Designating the Appointment of a Mayor Pro Tempore for 2020, Presenter, Mayor Derk Timothy. Mayor Timothy explained that a Mayor Pro Tempore needs to be designated to represent the Mayor and vote on behalf of the Mayor in the event he is unavailable. Mayor Timothy asked the Council to designate someone who is flexible and who will take the responsibility seriously. Dave Kallas moved to appoint Wendy Aston as Mayor Pro Tempore for 2020. Jeff Gaston seconded the motion",Appointment,The motion passed with the unanimous consent of the Council,,,,,minutes/2020/2020-01-13/council_2020-01-15_706.md
2020-01-15,2020,"2020, City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,7,"Mayor Timothy noted that if Council Members wish to abstain from a vote, they need to note their abstention, otherwise it will be assumed that they voted with the majority on the item. 10. Consideration and Vote on a Resolution Appointing Statutory Officers, City Treasurer, and City Recorder, Presenter, Mayor Derk Timothy. Mayor Timothy stated that statutory officers must be reappointed every time the City Council has an election. The current City Treasurer, Bruce Kartchner, and City Recorder, Wendy Deppe need to be reappointed. Mark Hales moved to reappoint the current City Treasurer and City",Appointment,The motion passed with the unanimous consent of the Council,,,,,minutes/2020/2020-01-13/council_2020-01-15_706.md
2020-01-15,2020,"2020, City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,8,"13 BLUFFDALE CITY COUNCIL, LOCAL BUILDING AUTHORITY OF THE CITY OF BLUFFDALE BOARD AND REDEVELOPMENT AGENCY BOARD COMBINED MEETING MINUTES Wednesday, January 15, 2020 11. Consideration and Vote on a Resolution Designating a Representative for the City of Bluffdale at the Association of Municipal Councils, Presenter, Mayor Derk Timothy. Mayor Timothy reported that a Council Member represents the City on the Association of Municipal Councils and Wendy Aston is the current representative. Wendy Aston suggested that someone else take the opportunity and noted that monthly meetings are held on the ",Land-Use/Zoning,The motion passed with the unanimous consent of the Council,,,,,minutes/2020/2020-01-13/council_2020-01-15_706.md
2020-01-15,2020,"2020, City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,9,"12. Consideration and Vote on a Resolution Appointing an Individual to Represent the City of Bluffdale on the South Salt Lake Valley Mosquito Abatement District Board, Presenter, Mayor Derk Timothy. Mayor Timothy asked Jeff Gaston to describe the representative duties of the Board. Council Member Gaston reported that the Board meets the first or second Monday of the month at Airport No. 2 for approximately one to three hours. A certain number of elected officials must be on the Board to vote on tax items. Mayor Timothy noted that there are enough elected officials on the board so anyone can vo",Appointment,The motion passed with the unanimous consent of the Council,,,,,minutes/2020/2020-01-13/council_2020-01-15_706.md
2020-01-15,2020,"2020, City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,10,"Mayor Timothy moved to appoint Dave Kallas as Chair, Mark Hales as Vice-Chair, and Mark Reid as the Secretary/Treasurer. Wendy Aston seconded the motion",Appointment,The motion passed with the unanimous consent of the Council,Timothy,,,,minutes/2020/2020-01-13/council_2020-01-15_706.md
2020-01-15,2020,"2020, City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",Council,11,"4. Adjournment. The RDA Meeting was adjourned. CONTINUATION OF BUSINESS MEETING 14. Mayor's Report. Mayor Timothy reported on the following: • He has been attending the Southwest Mayors Meetings where they have been holding visioning meetings with the help of Logan Simpson Design. • The Mayor provided a comparison of the number of lanes per 1,000 households among the Southwest cities and noted that Bluffdale has more than double the number of lanes compared to the other municipalities. He emphasized that it is very important for the City to maintain the roads at 60 RLS levels to avoid excessiv",Land-Use/Zoning,The motion passed with the unanimous consent of the Council,,,,,minutes/2020/2020-01-13/council_2020-01-15_706.md
