date,year,title,slug,path,source,source_url,format
2020-01-06,2020,"2020, City Council Special Meeting Agenda (PDF)",council_2020-01-06_702,minutes/2020/2020-01-06/council_2020-01-06_702.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01062020-702,text
2020-01-15,2020,"2020, City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",council_2020-01-15_706,minutes/2020/2020-01-13/council_2020-01-15_706.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01152020-706,text
2020-01-29,2020,"2020, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2020-01-29_709,minutes/2020/2020-01-27/council_2020-01-29_709.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01292020-709,text
2020-01-29,2020,"2020, City Council Regular Meeting Agenda and Packet PDF",council_2020-01-29_710,minutes/2020/2020-01-27/council_2020-01-29_710.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_01292020-710,text
2020-02-12,2020,"2020, ***AMENDED City Council Regular Meeting Agenda and Packet PDF",council_2020-02-12_714,minutes/2020/2020-02-10/council_2020-02-12_714.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_02122020-714,text
2020-02-12,2020,"2020, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2020-02-12_715,minutes/2020/2020-02-10/council_2020-02-12_715.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_02122020-715,text
2020-02-26,2020,"2020, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2020-02-26_724,minutes/2020/2020-02-24/council_2020-02-26_724.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_02262020-724,text
2020-02-26,2020,"2020, City Council, LBA & RDA Combined Meeting Agenda and Packet PDF",council_2020-02-26_725,minutes/2020/2020-02-24/council_2020-02-26_725.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_02262020-725,text
2020-03-11,2020,"2020, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2020-03-11_730,minutes/2020/2020-03-09/council_2020-03-11_730.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_03112020-730,text
2020-03-11,2020,"2020, City Council Regular Meeting Agenda and Packet PDF",council_2020-03-11_731,minutes/2020/2020-03-09/council_2020-03-11_731.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_03112020-731,text
2020-04-01,2020,"2020, City Council Electronic Meeting Agenda and Packet",council_2020-04-01_737,minutes/2020/2020-03-30/council_2020-04-01_737.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_04012020-737,text
2020-04-08,2020,"2020, City Council, LBA & RDA Combined Electronic Meeting Agenda and Packet",council_2020-04-08_739,minutes/2020/2020-04-06/council_2020-04-08_739.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_04082020-739,text
2020-04-22,2020,"2020, City Council Electronic Meeting Agenda PDF",council_2020-04-22_748,minutes/2020/2020-04-20/council_2020-04-22_748.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_04222020-748,text
2020-05-13,2020,"2020, City Council and Planning Commission Special Joint Electronic Meeting Agenda (PDF)",council_2020-05-13_754,minutes/2020/2020-05-11/council_2020-05-13_754.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05132020-754,text
2020-05-13,2020,"2020, City Council Electronic Meeting Agenda PDF",council_2020-05-13_755,minutes/2020/2020-05-11/council_2020-05-13_755.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05132020-755,text
2020-05-19,2020,"2020, City Council Special Electronic Meeting Agenda PDF",council_2020-05-19_763,minutes/2020/2020-05-18/council_2020-05-19_763.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05192020-763,text
2020-05-27,2020,"2020, City Council Regular Meeting Agenda PDF",council_2020-05-27_765,minutes/2020/2020-05-25/council_2020-05-27_765.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05272020-765,text
2020-05-29,2020,"2020, City Council Special Meeting Agenda PDF",council_2020-05-29_767,minutes/2020/2020-05-25/council_2020-05-29_767.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_05292020-767,text
2020-06-10,2020,"2020, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2020-06-10_775,minutes/2020/2020-06-08/council_2020-06-10_775.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06102020-775,text
2020-06-10,2020,"2020, AMENDED City Council, LBA & RDA Combined Meeting Agenda PDF",council_2020-06-10_776,minutes/2020/2020-06-08/council_2020-06-10_776.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06102020-776,text
2020-06-24,2020,"2020, ***AMENDED City Council, LBA & RDA Combined Meeting Agenda PDF",council_2020-06-24_781,minutes/2020/2020-06-22/council_2020-06-24_781.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_06242020-781,text
2020-07-13,2020,"2020, City Council Special Electronic Meeting Agenda PDF",council_2020-07-13_785,minutes/2020/2020-07-13/council_2020-07-13_785.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_07132020-785,text
2020-07-22,2020,"2020, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2020-07-22_788,minutes/2020/2020-07-20/council_2020-07-22_788.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_07222020-788,text
2020-07-22,2020,"2020, ***AMENDED City Council Regular Meeting Agenda PDF",council_2020-07-22_789,minutes/2020/2020-07-20/council_2020-07-22_789.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_07222020-789,text
2020-08-26,2020,"2020, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2020-08-26_800,minutes/2020/2020-08-24/council_2020-08-26_800.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_08262020-800,text
2020-08-26,2020,"2020, AMENDED City Council Regular Meeting Agenda PDF",council_2020-08-26_801,minutes/2020/2020-08-24/council_2020-08-26_801.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_08262020-801,text
2020-09-09,2020,"2020, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2020-09-09_807,minutes/2020/2020-09-07/council_2020-09-09_807.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_09092020-807,text
2020-09-09,2020,"2020, City Council Regular Meeting Agenda PDF",council_2020-09-09_808,minutes/2020/2020-09-07/council_2020-09-09_808.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_09092020-808,text
2020-09-23,2020,"2020, City Council Regular Meeting Agenda PDF",council_2020-09-23_811,minutes/2020/2020-09-21/council_2020-09-23_811.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_09232020-811,text
2020-10-28,2020,"2020, AMENDED City Council Regular Meeting Agenda PDF",council_2020-10-28_824,minutes/2020/2020-10-26/council_2020-10-28_824.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_10282020-824,text
2020-11-18,2020,"2020, City Council and Planning Commission Special Joint Meeting Agenda (PDF)",council_2020-11-18_830,minutes/2020/2020-11-16/council_2020-11-18_830.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_11182020-830,text
2020-11-18,2020,"2020, AMENDED City Council Regular Meeting Agenda PDF",council_2020-11-18_831,minutes/2020/2020-11-16/council_2020-11-18_831.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_11182020-831,text
2020-12-09,2020,"2020, City Council and Planning Commission Special Joint Electronic Meeting Agenda PDF",council_2020-12-09_840,minutes/2020/2020-12-07/council_2020-12-09_840.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_12092020-840,text
2020-12-09,2020,"2020, AMENDED City Council, LBA & RDA Combined Electronic Meeting Agenda PDF",council_2020-12-09_841,minutes/2020/2020-12-07/council_2020-12-09_841.md,civicplus,https://www.bluffdale.gov/AgendaCenter/ViewFile/Minutes/_12092020-841,text
