source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
minutes/2020/2020-01-13/council_2020-01-15_706.md,1,2020-01-15,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,medium
minutes/2020/2020-01-13/council_2020-01-15_706.md,2,2020-01-15,Council,Land-Use/Zoning,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,rule:proc-adjourn,high
minutes/2020/2020-01-13/council_2020-01-15_706.md,3,2020-01-15,Council,Land-Use/Zoning,Land-Use,General-Plan-Amendment,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,rule:lu-gpa,high
minutes/2020/2020-01-13/council_2020-01-15_706.md,4,2020-01-15,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,medium
minutes/2020/2020-01-13/council_2020-01-15_706.md,5,2020-01-15,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,high
minutes/2020/2020-01-13/council_2020-01-15_706.md,6,2020-01-15,Council,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,high
minutes/2020/2020-01-13/council_2020-01-15_706.md,7,2020-01-15,Council,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,high
minutes/2020/2020-01-13/council_2020-01-15_706.md,8,2020-01-15,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,medium
minutes/2020/2020-01-13/council_2020-01-15_706.md,9,2020-01-15,Council,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,high
minutes/2020/2020-01-13/council_2020-01-15_706.md,10,2020-01-15,Council,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,high
minutes/2020/2020-01-13/council_2020-01-15_706.md,11,2020-01-15,Council,Land-Use/Zoning,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,rule:proc-adjourn,high
minutes/2020/2020-01-13/council_2020-01-15_706.md,12,2020-01-15,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unknown,The motion passed w ith the unan imo us consent or the Council,crosswalk,high
minutes/2020/2020-01-27/council_2020-01-29_709.md,1,2020-01-29,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,medium
minutes/2020/2020-01-27/council_2020-01-29_710.md,1,2020-01-29,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,medium
minutes/2020/2020-01-27/council_2020-01-29_710.md,2,2020-01-29,Council,Procedural/Administrative,Procedural-Administrative,,procedural,unknown,,,,unknown,The motion died for lack of second,crosswalk,high
minutes/2020/2020-01-27/council_2020-01-29_710.md,3,2020-01-29,Council,Other,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council with one abstention,rule:proc-agenda,high
minutes/2020/2020-01-27/council_2020-01-29_710.md,4,2020-01-29,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,medium
minutes/2020/2020-01-27/council_2020-01-29_710.md,5,2020-01-29,Council,Land-Use/Zoning,Public-Hearing,,procedural,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,rule:ph-openclose,high
minutes/2020/2020-02-10/council_2020-02-12_714.md,1,2020-02-12,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,medium
minutes/2020/2020-02-10/council_2020-02-12_714.md,2,2020-02-12,Council,Appointment,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,rule:proc-agenda,high
minutes/2020/2020-02-10/council_2020-02-12_714.md,3,2020-02-12,Council,Land-Use/Zoning,Land-Use,General-Plan-Amendment,final-action,pass,3,1,,roll-call,The motion passed 3-to-1,rule:lu-gpa,high
minutes/2020/2020-02-10/council_2020-02-12_714.md,4,2020-02-12,Council,Contract/Purchase,Contract-Purchase,,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,medium
minutes/2020/2020-02-10/council_2020-02-12_714.md,5,2020-02-12,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed unanimously with the exception of Wendy Aston who was excused,crosswalk,medium
minutes/2020/2020-02-10/council_2020-02-12_714.md,6,2020-02-12,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Co uncil,crosswalk,high
minutes/2020/2020-02-24/council_2020-02-26_725.md,1,2020-02-26,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,medium
minutes/2020/2020-02-24/council_2020-02-26_725.md,2,2020-02-26,Council,Appointment,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,rule:proc-agenda,high
minutes/2020/2020-02-24/council_2020-02-26_725.md,3,2020-02-26,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,medium
minutes/2020/2020-02-24/council_2020-02-26_725.md,4,2020-02-26,Council,Land-Use/Zoning,Budget,,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,rule:budget,high
minutes/2020/2020-02-24/council_2020-02-26_725.md,5,2020-02-26,Council,Land-Use/Zoning,Budget,,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,rule:budget,high
minutes/2020/2020-02-24/council_2020-02-26_725.md,6,2020-02-26,LBA,Budget,Budget,,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the LBA Board,crosswalk,high
minutes/2020/2020-02-24/council_2020-02-26_725.md,7,2020-02-26,RDA,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the RDA Board,crosswalk,medium
minutes/2020/2020-02-24/council_2020-02-26_725.md,8,2020-02-26,RDA,Budget,Budget,,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the RDA Board,crosswalk,high
minutes/2020/2020-02-24/council_2020-02-26_725.md,9,2020-02-26,Council,Land-Use/Zoning,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,rule:proc-adjourn,high
minutes/2020/2020-02-24/council_2020-02-26_725.md,10,2020-02-26,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,medium
minutes/2020/2020-02-24/council_2020-02-26_725.md,11,2020-02-26,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,high
minutes/2020/2020-03-09/council_2020-03-11_731.md,1,2020-03-11,Council,Interlocal,Interlocal,,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,high
minutes/2020/2020-03-09/council_2020-03-11_731.md,2,2020-03-11,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,medium
minutes/2020/2020-03-09/council_2020-03-11_731.md,3,2020-03-11,Council,Resolution,Resolution,,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,high
minutes/2020/2020-03-09/council_2020-03-11_731.md,4,2020-03-11,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,high
minutes/2020/2020-03-09/council_2020-03-11_731.md,5,2020-03-11,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,high
minutes/2020/2020-03-09/council_2020-03-11_731.md,6,2020-03-11,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,high
minutes/2020/2020-03-30/council_2020-04-01_737.md,1,2020-04-01,Council,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,high
minutes/2020/2020-03-30/council_2020-04-01_737.md,2,2020-04-01,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,high
minutes/2020/2020-03-30/council_2020-04-01_737.md,3,2020-04-01,Council,Appointment,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,rule:proc-adjourn,high
minutes/2020/2020-03-30/council_2020-04-01_737.md,4,2020-04-01,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion passed with the unanimous consent of the Council,crosswalk,high
minutes/2020/2020-04-06/council_2020-04-08_739.md,1,2020-04-08,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,medium
minutes/2020/2020-04-06/council_2020-04-08_739.md,2,2020-04-08,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,medium
minutes/2020/2020-04-06/council_2020-04-08_739.md,3,2020-04-08,Council,Land-Use/Zoning,Budget,,final-action,pass,5,0,,roll-call,The motion passed unanimously,rule:budget,high
minutes/2020/2020-04-06/council_2020-04-08_739.md,4,2020-04-08,Council,Land-Use/Zoning,Budget,,final-action,pass,5,0,,roll-call,The motion passed unanimously,rule:budget,high
minutes/2020/2020-04-06/council_2020-04-08_739.md,5,2020-04-08,RDA,Budget,Budget,,final-action,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,high
minutes/2020/2020-04-06/council_2020-04-08_739.md,6,2020-04-08,Council,Land-Use/Zoning,Procedural-Administrative,,procedural,pass,5,0,,roll-call,The motion passed unanimously,rule:proc-adjourn,high
