date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2020-01-08,2020,"2020, January 8, 2020 Planning Commission Meeting Agenda and Packet",PlanningCommission,1,"BLUFFDALE - - ES T 1 848 - - BLUFFDALE CITY PLANNING COMMISSION MEETING AGENDA Wednesday, January 8, 2020 Notice is hereby given that the Bluffdale City Planning Commission w ill hold a public meeting Wednesday, January 8, 2020, at 6:30 PM at th e Bluffdale City Hall located at 2222 West 14400 South. Notice is furth er given th at access to this meeting by Plan ning Commissioners may be by electronic means via telephonic co nference call. The agenda forth is meeting is listed below. Please note that the meeting start time is ap proximat e and subject to change. PLANNING COMMISSION BUSINESS MEE",Land-Use/Zoning,The motion passed unanimously with two abstentions,,,Johnny Loomis Jr,Aye,minutes/2020/2020-01-06/pc_2020-01-08_703.md
2020-01-08,2020,"2020, January 8, 2020 Planning Commission Meeting Agenda and Packet",PlanningCommission,1,"BLUFFDALE - - ES T 1 848 - - BLUFFDALE CITY PLANNING COMMISSION MEETING AGENDA Wednesday, January 8, 2020 Notice is hereby given that the Bluffdale City Planning Commission w ill hold a public meeting Wednesday, January 8, 2020, at 6:30 PM at th e Bluffdale City Hall located at 2222 West 14400 South. Notice is furth er given th at access to this meeting by Plan ning Commissioners may be by electronic means via telephonic co nference call. The agenda forth is meeting is listed below. Please note that the meeting start time is ap proximat e and subject to change. PLANNING COMMISSION BUSINESS MEE",Land-Use/Zoning,The motion passed unanimously with two abstentions,,,Stephen Walston,Aye,minutes/2020/2020-01-06/pc_2020-01-08_703.md
2020-01-08,2020,"2020, January 8, 2020 Planning Commission Meeting Agenda and Packet",PlanningCommission,1,"BLUFFDALE - - ES T 1 848 - - BLUFFDALE CITY PLANNING COMMISSION MEETING AGENDA Wednesday, January 8, 2020 Notice is hereby given that the Bluffdale City Planning Commission w ill hold a public meeting Wednesday, January 8, 2020, at 6:30 PM at th e Bluffdale City Hall located at 2222 West 14400 South. Notice is furth er given th at access to this meeting by Plan ning Commissioners may be by electronic means via telephonic co nference call. The agenda forth is meeting is listed below. Please note that the meeting start time is ap proximat e and subject to change. PLANNING COMMISSION BUSINESS MEE",Land-Use/Zoning,The motion passed unanimously with two abstentions,,,Debbie Cragun,Aye,minutes/2020/2020-01-06/pc_2020-01-08_703.md
2020-01-08,2020,"2020, January 8, 2020 Planning Commission Meeting Agenda and Packet",PlanningCommission,1,"BLUFFDALE - - ES T 1 848 - - BLUFFDALE CITY PLANNING COMMISSION MEETING AGENDA Wednesday, January 8, 2020 Notice is hereby given that the Bluffdale City Planning Commission w ill hold a public meeting Wednesday, January 8, 2020, at 6:30 PM at th e Bluffdale City Hall located at 2222 West 14400 South. Notice is furth er given th at access to this meeting by Plan ning Commissioners may be by electronic means via telephonic co nference call. The agenda forth is meeting is listed below. Please note that the meeting start time is ap proximat e and subject to change. PLANNING COMMISSION BUSINESS MEE",Land-Use/Zoning,The motion passed unanimously with two abstentions,,,Kori Luker,Abstain,minutes/2020/2020-01-06/pc_2020-01-08_703.md
2020-01-08,2020,"2020, January 8, 2020 Planning Commission Meeting Agenda and Packet",PlanningCommission,1,"BLUFFDALE - - ES T 1 848 - - BLUFFDALE CITY PLANNING COMMISSION MEETING AGENDA Wednesday, January 8, 2020 Notice is hereby given that the Bluffdale City Planning Commission w ill hold a public meeting Wednesday, January 8, 2020, at 6:30 PM at th e Bluffdale City Hall located at 2222 West 14400 South. Notice is furth er given th at access to this meeting by Plan ning Commissioners may be by electronic means via telephonic co nference call. The agenda forth is meeting is listed below. Please note that the meeting start time is ap proximat e and subject to change. PLANNING COMMISSION BUSINESS MEE",Land-Use/Zoning,The motion passed unanimously with two abstentions,,,Holly Brown,Abstain,minutes/2020/2020-01-06/pc_2020-01-08_703.md
2020-01-08,2020,"2020, January 8, 2020 Planning Commission Meeting Agenda and Packet",PlanningCommission,2,"Alternate Planning Commissioner, Ulises Flynn, did not participate in the vote. Administrative Items 5. CONSIDER.A TION AND VOTE on a Plat Amendment Application (2019-51) for Independence at the Point Plat M-3 for Lot 782 and Parcels A and B, Located at BLUFFDALE CITY PLANNING COMMISSION MEETING MINUTES Wednesday, January 8, 2020 Approximately 15414 South Revolutionary Way. Kody McGregor, Applicant. Jennifer Robison, Staff Presenter. Senior City Plaimer, Je1mifer Robison presented the staff repo11 and stated that the lot is located at Independence at the Point and is designated as Lot 782 on P",Land-Use/Zoning,The motion passed unanimously,,,Kori Luker,Aye,minutes/2020/2020-01-06/pc_2020-01-08_703.md
2020-01-08,2020,"2020, January 8, 2020 Planning Commission Meeting Agenda and Packet",PlanningCommission,2,"Alternate Planning Commissioner, Ulises Flynn, did not participate in the vote. Administrative Items 5. CONSIDER.A TION AND VOTE on a Plat Amendment Application (2019-51) for Independence at the Point Plat M-3 for Lot 782 and Parcels A and B, Located at BLUFFDALE CITY PLANNING COMMISSION MEETING MINUTES Wednesday, January 8, 2020 Approximately 15414 South Revolutionary Way. Kody McGregor, Applicant. Jennifer Robison, Staff Presenter. Senior City Plaimer, Je1mifer Robison presented the staff repo11 and stated that the lot is located at Independence at the Point and is designated as Lot 782 on P",Land-Use/Zoning,The motion passed unanimously,,,Johnny Loomis Jr,Aye,minutes/2020/2020-01-06/pc_2020-01-08_703.md
2020-01-08,2020,"2020, January 8, 2020 Planning Commission Meeting Agenda and Packet",PlanningCommission,2,"Alternate Planning Commissioner, Ulises Flynn, did not participate in the vote. Administrative Items 5. CONSIDER.A TION AND VOTE on a Plat Amendment Application (2019-51) for Independence at the Point Plat M-3 for Lot 782 and Parcels A and B, Located at BLUFFDALE CITY PLANNING COMMISSION MEETING MINUTES Wednesday, January 8, 2020 Approximately 15414 South Revolutionary Way. Kody McGregor, Applicant. Jennifer Robison, Staff Presenter. Senior City Plaimer, Je1mifer Robison presented the staff repo11 and stated that the lot is located at Independence at the Point and is designated as Lot 782 on P",Land-Use/Zoning,The motion passed unanimously,,,Holly Brown,Aye,minutes/2020/2020-01-06/pc_2020-01-08_703.md
2020-01-08,2020,"2020, January 8, 2020 Planning Commission Meeting Agenda and Packet",PlanningCommission,2,"Alternate Planning Commissioner, Ulises Flynn, did not participate in the vote. Administrative Items 5. CONSIDER.A TION AND VOTE on a Plat Amendment Application (2019-51) for Independence at the Point Plat M-3 for Lot 782 and Parcels A and B, Located at BLUFFDALE CITY PLANNING COMMISSION MEETING MINUTES Wednesday, January 8, 2020 Approximately 15414 South Revolutionary Way. Kody McGregor, Applicant. Jennifer Robison, Staff Presenter. Senior City Plaimer, Je1mifer Robison presented the staff repo11 and stated that the lot is located at Independence at the Point and is designated as Lot 782 on P",Land-Use/Zoning,The motion passed unanimously,,,Stephen Walston,Aye,minutes/2020/2020-01-06/pc_2020-01-08_703.md
2020-01-08,2020,"2020, January 8, 2020 Planning Commission Meeting Agenda and Packet",PlanningCommission,2,"Alternate Planning Commissioner, Ulises Flynn, did not participate in the vote. Administrative Items 5. CONSIDER.A TION AND VOTE on a Plat Amendment Application (2019-51) for Independence at the Point Plat M-3 for Lot 782 and Parcels A and B, Located at BLUFFDALE CITY PLANNING COMMISSION MEETING MINUTES Wednesday, January 8, 2020 Approximately 15414 South Revolutionary Way. Kody McGregor, Applicant. Jennifer Robison, Staff Presenter. Senior City Plaimer, Je1mifer Robison presented the staff repo11 and stated that the lot is located at Independence at the Point and is designated as Lot 782 on P",Land-Use/Zoning,The motion passed unanimously,,,Debbie Cragun,Aye,minutes/2020/2020-01-06/pc_2020-01-08_703.md
