date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2023-11-08,2023,"2023, BLUFFDALE CITY COUNCIL- PLANNING COMMISSION Meeting Agenda 11-08-2023",Council,1,Council Member Gaston moved to ADJOURN the Work Session,Procedural/Administrative,The motion passed with the unanimous consent of the Council,Jeff Gaston,,,,minutes/2023/2023-11-06/council_2023-11-08_1308.md
2023-11-08,2023,"2023, BLUFFDALE CITY COUNCIL- PLANNING COMMISSION Meeting Agenda 11-08-2023",Council,2,"Council Member Hales moved to APPROVE Items 2.1, 2.2, and 2.3",Other,The motion passed with the unanimous consent of the Council,Mark Hales,,,,minutes/2023/2023-11-06/council_2023-11-08_1308.md
2023-11-08,2023,"2023, BLUFFDALE CITY COUNCIL- PLANNING COMMISSION Meeting Agenda 11-08-2023",Council,3,Council Member Hales moved to APPROVE the Consent Agenda,Procedural/Administrative,The motion passed with the unanimous consent of the Council,Mark Hales,,,,minutes/2023/2023-11-06/council_2023-11-08_1308.md
2023-11-08,2023,"2023, BLUFFDALE CITY COUNCIL- PLANNING COMMISSION Meeting Agenda 11-08-2023",Council,4,Council Member Hales moved to APPROVE Ordinance 2023-27- Community Garden Board Organization,Ordinance,The motion passed with the unanimous consent of the Council,Mark Hales,,Wendy Aston,Aye,minutes/2023/2023-11-06/council_2023-11-08_1308.md
2023-11-08,2023,"2023, BLUFFDALE CITY COUNCIL- PLANNING COMMISSION Meeting Agenda 11-08-2023",Council,4,Council Member Hales moved to APPROVE Ordinance 2023-27- Community Garden Board Organization,Ordinance,The motion passed with the unanimous consent of the Council,Mark Hales,,Dave Kallas,Aye,minutes/2023/2023-11-06/council_2023-11-08_1308.md
2023-11-08,2023,"2023, BLUFFDALE CITY COUNCIL- PLANNING COMMISSION Meeting Agenda 11-08-2023",Council,4,Council Member Hales moved to APPROVE Ordinance 2023-27- Community Garden Board Organization,Ordinance,The motion passed with the unanimous consent of the Council,Mark Hales,,Traci Crockett,Aye,minutes/2023/2023-11-06/council_2023-11-08_1308.md
2023-11-08,2023,"2023, BLUFFDALE CITY COUNCIL- PLANNING COMMISSION Meeting Agenda 11-08-2023",Council,4,Council Member Hales moved to APPROVE Ordinance 2023-27- Community Garden Board Organization,Ordinance,The motion passed with the unanimous consent of the Council,Mark Hales,,Mark Hales,Aye,minutes/2023/2023-11-06/council_2023-11-08_1308.md
2023-11-08,2023,"2023, BLUFFDALE CITY COUNCIL- PLANNING COMMISSION Meeting Agenda 11-08-2023",Council,4,Council Member Hales moved to APPROVE Ordinance 2023-27- Community Garden Board Organization,Ordinance,The motion passed with the unanimous consent of the Council,Mark Hales,,Jeff Gaston,Aye,minutes/2023/2023-11-06/council_2023-11-08_1308.md
2023-11-08,2023,"2023, BLUFFDALE CITY COUNCIL- PLANNING COMMISSION Meeting Agenda 11-08-2023",Council,5,Council Member Hales moved to APPROVE Resolution 2023-60 - Appointing Board Members to the Community Garden Board,Appointment,The motion passed with the unanimous consent of the Council,Mark Hales,,Wendy Aston,Aye,minutes/2023/2023-11-06/council_2023-11-08_1308.md
2023-11-08,2023,"2023, BLUFFDALE CITY COUNCIL- PLANNING COMMISSION Meeting Agenda 11-08-2023",Council,5,Council Member Hales moved to APPROVE Resolution 2023-60 - Appointing Board Members to the Community Garden Board,Appointment,The motion passed with the unanimous consent of the Council,Mark Hales,,Dave Kallas,Aye,minutes/2023/2023-11-06/council_2023-11-08_1308.md
2023-11-08,2023,"2023, BLUFFDALE CITY COUNCIL- PLANNING COMMISSION Meeting Agenda 11-08-2023",Council,5,Council Member Hales moved to APPROVE Resolution 2023-60 - Appointing Board Members to the Community Garden Board,Appointment,The motion passed with the unanimous consent of the Council,Mark Hales,,Traci Crockett,Aye,minutes/2023/2023-11-06/council_2023-11-08_1308.md
2023-11-08,2023,"2023, BLUFFDALE CITY COUNCIL- PLANNING COMMISSION Meeting Agenda 11-08-2023",Council,5,Council Member Hales moved to APPROVE Resolution 2023-60 - Appointing Board Members to the Community Garden Board,Appointment,The motion passed with the unanimous consent of the Council,Mark Hales,,Mark Hales,Aye,minutes/2023/2023-11-06/council_2023-11-08_1308.md
2023-11-08,2023,"2023, BLUFFDALE CITY COUNCIL- PLANNING COMMISSION Meeting Agenda 11-08-2023",Council,5,Council Member Hales moved to APPROVE Resolution 2023-60 - Appointing Board Members to the Community Garden Board,Appointment,The motion passed with the unanimous consent of the Council,Mark Hales,,Jeff Gaston,Aye,minutes/2023/2023-11-06/council_2023-11-08_1308.md
2023-11-08,2023,"2023, BLUFFDALE CITY COUNCIL- PLANNING COMMISSION Meeting Agenda 11-08-2023",Council,6,Council Member Hales moved to APPROVE Resolution 2023-57 — Authorizing the City Manager to Enter into an Agreement with Newman Construction to BuUd the 14400 South Reconstruction and Utilities Project,Contract/Purchase,The motion passed with the unanimous consent of the Council,Mark Hales,,Wendy Aston,Aye,minutes/2023/2023-11-06/council_2023-11-08_1308.md
