source_file,motion_no,member,date,claimed_values,resolution,reasoning
legislative/minutes/2021/2021-05-11_council.md,5,David Erickson,2021-05-11,Absent+Aye,Absent,"Committee-formation motion. The Aye line is labeled 'Aye: 5' but lists 6 names, erroneously appending 'David L. Erickson'; the 'Absent: Gina H Worthen, David Erickson' line is the deliberate record and matches EVERY other motion in this meeting (Aye:5 = Tidwell/Ward/Borup/Gunnell/Zilles, Erickson+Worthen absent throughout). Erickson was absent."
legislative/minutes/2021/2021-10-12_council.md,10,Gina H. Worthen,2021-10-12,Aye+Nay,Nay,"'Let the order expire' motion. The Aye line is labeled 'Aye: 6' but lists all 7 members (full-roster template); the deliberate dissent line is 'Nay: 1 Gina H. Worthen'. True tally 6-1; Worthen is the lone Nay."
legislative/minutes/2022/2022-05-26_servicearea1.md,1,Karl B. Ward,2022-05-26,Absent+Aye,Absent,"Service Area No.1 Resolution 2022-01. Aye line labeled 'Aye: 5' lists 6 names (template incl. Borup+Ward); the deliberate 'Absent: 2 Paul Borup, Karl Ward' line names the two absentees. Ward was absent. (Borup already resolves to Absent in the flat CSV — no contradiction row needed for him.)"
legislative/minutes/2022/2022-07-12_council.md,12,Paul Borup,2022-07-12,Abstain+Aye,Abstain,"'Waive the rules and deny the rezone' motion. Aye line labeled 'Aye: 5' lists Borup among the ayes, but the deliberate 'Abstain: 1 Paul Borup' line records his abstention. Borup abstained."
legislative/minutes/2023/2023-08-08_council.md,10,Kathryn Beus,2023-08-08,Aye+Nay,Nay,"'Amend item 2c of the ordinance' motion. Aye line labeled 'Aye: 5' lists 7 names (full-roster template, even naming the absent Mark Hurd); the deliberate 'Nay: 1 Kathryn Beus' line is the recorded dissent. Beus voted Nay."
legislative/minutes/2024/2024-08-27_council.md,13,David Erickson,2024-08-27,Aye+Nay,Aye,"Divided 'approve Ordinance' vote (mover Beus). Both the Aye:3 (Erickson/Beus/Goodlander/Ward) and Nay:3 (Gunnell/Hurd/Erickson) lines name Erickson, and the printed counts are internally inconsistent (Aye:3 lists 4). The deliberate result 'Motion passes' is the decisive signal: Erickson=Aye yields 4-2 Pass (Beus/Goodlander/Ward/Erickson vs Gunnell/Hurd); Erickson=Nay would be a 3-3 tie that FAILS, contradicting the recorded passage. Resolved to Aye. (Embedded ordinance certification table did not OCR checkmarks; count digits in this doc are demonstrably unreliable.)"
legislative/minutes/2025/2025-06-24_council.md,2,Keegan Garrity,2025-06-24,Abstain+Aye,Abstain,"Minutes-approval motion. Aye line labeled 'Aye: 6' lists all 7 members; the deliberate 'Abstain: Keegan Garrity' line records his abstention (recusal from minutes of a meeting he missed). Garrity abstained; true 6-0-1."
legislative/minutes/2025/2025-06-24_council.md,9,Sandi Goodlander,2025-06-24,Aye+Nay,Nay,"Ordinance 2025-17 approval. Aye line labeled 'Aye: 5' lists all 7 members (template); the deliberate 'Nay: 2 Sandi Goodlander, Keegan Garrity' line records the two dissenters. Goodlander voted Nay; true tally 5-2."
legislative/minutes/2025/2025-06-24_council.md,9,Keegan Garrity,2025-06-24,Aye+Nay,Nay,"Ordinance 2025-17 approval (same motion as the Goodlander row). 'Nay: 2 Sandi Goodlander, Keegan Garrity' is the deliberate dissent line; the Aye:5 line is a full-roster template. Garrity voted Nay; true tally 5-2."
legislative/minutes/2025/2025-07-22_council.md,2,Keegan Garrity,2025-07-22,Abstain+Aye,Abstain,"Minutes-approval motion. Aye line labeled 'Aye: 7' lists all 7 members; the deliberate 'Abstain: 1 Keegan Garrity' line records his abstention. Garrity abstained; true 6-0-1."
legislative/minutes/2025/2025-07-22_council.md,12,Keegan Garrity,2025-07-22,Aye+Nay,Nay,"'Suspend rules and approve Ordinance' motion. Aye line labeled 'Aye: 6' lists all 7 members (template); the deliberate 'Nay: 1 Keegan Garrity' line records his dissent. Garrity voted Nay; true tally 6-1."
