year,election_type,source_file,sheet,contest,vote_for,precinct,candidate,votes,suppressed,vote_method,times_cast,registered_voters
2020,primary,cache-2020-primary-official-precinct.pdf,p1,REP U.S. HOUSE DIST 1,1,AMA,KATIE WITT,27,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p1,REP U.S. HOUSE DIST 1,1,AMA,BOB STEVENSON,23,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p1,REP U.S. HOUSE DIST 1,1,AMA,BLAKE DAVID MOORE,25,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p1,REP U.S. HOUSE DIST 1,1,AMA,KERRY W. GIBSON,37,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p1,REP FOR GOVERNOR AND LT GOVERNOR,1,AMA,"THOMAS E. WRIGHT, ROB BISHOP",10,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p1,REP FOR GOVERNOR AND LT GOVERNOR,1,AMA,"SPENCER J. COX, DEIDRE M. HENDERSON",43,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p1,REP FOR GOVERNOR AND LT GOVERNOR,1,AMA,"JON HUNTSMAN JR., MICHELLE KAUFUSI",25,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p1,REP FOR GOVERNOR AND LT GOVERNOR,1,AMA,"GREG HUGHES, VICTOR IVERSON",43,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p1,REP ATTORNEY GENERAL,1,AMA,SEAN D. REYES,64,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p1,REP ATTORNEY GENERAL,1,AMA,DAVID O. LEAVITT,57,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p1,REP STATE SENATE DIST 25,1,AMA,CHRIS H WILSON,81,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p1,REP STATE SENATE DIST 25,1,AMA,LYLE W. HILLYARD,39,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p1,REP HOUSE DIST 3,1,AMA,MIKE PETERSEN,82,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p1,REP HOUSE DIST 3,1,AMA,VAL K. POTTER,37,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p1,DEM U.S. HOUSE DIST 1,1,AMA,DARREN PARRY,5,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p1,DEM U.S. HOUSE DIST 1,1,AMA,JAMIE CHEEK,1,False,Total,128,196
2020,primary,cache-2020-primary-official-precinct.pdf,p2,REP U.S. HOUSE DIST 1,1,BEN,KATIE WITT,27,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p2,REP U.S. HOUSE DIST 1,1,BEN,BOB STEVENSON,38,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p2,REP U.S. HOUSE DIST 1,1,BEN,BLAKE DAVID MOORE,38,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p2,REP U.S. HOUSE DIST 1,1,BEN,KERRY W. GIBSON,67,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p2,REP FOR GOVERNOR AND LT GOVERNOR,1,BEN,"THOMAS E. WRIGHT, ROB BISHOP",21,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p2,REP FOR GOVERNOR AND LT GOVERNOR,1,BEN,"SPENCER J. COX, DEIDRE M. HENDERSON",54,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p2,REP FOR GOVERNOR AND LT GOVERNOR,1,BEN,"JON HUNTSMAN JR., MICHELLE KAUFUSI",46,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p2,REP FOR GOVERNOR AND LT GOVERNOR,1,BEN,"GREG HUGHES, VICTOR IVERSON",53,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p2,REP ATTORNEY GENERAL,1,BEN,SEAN D. REYES,89,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p2,REP ATTORNEY GENERAL,1,BEN,DAVID O. LEAVITT,81,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p2,REP STATE SENATE DIST 25,1,BEN,CHRIS H WILSON,123,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p2,REP STATE SENATE DIST 25,1,BEN,LYLE W. HILLYARD,48,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p2,REP HOUSE DIST 3,1,BEN,MIKE PETERSEN,109,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p2,REP HOUSE DIST 3,1,BEN,VAL K. POTTER,63,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p2,DEM U.S. HOUSE DIST 1,1,BEN,DARREN PARRY,14,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p2,DEM U.S. HOUSE DIST 1,1,BEN,JAMIE CHEEK,9,False,Total,197,296
2020,primary,cache-2020-primary-official-precinct.pdf,p3,REP U.S. HOUSE DIST 1,1,CLK,KATIE WITT,43,False,Total,207,309
2020,primary,cache-2020-primary-official-precinct.pdf,p3,REP U.S. HOUSE DIST 1,1,CLK,BOB STEVENSON,26,False,Total,207,309
2020,primary,cache-2020-primary-official-precinct.pdf,p3,REP U.S. HOUSE DIST 1,1,CLK,BLAKE DAVID MOORE,44,False,Total,207,309
2020,primary,cache-2020-primary-official-precinct.pdf,p3,REP U.S. HOUSE DIST 1,1,CLK,KERRY W. GIBSON,66,False,Total,207,309
2020,primary,cache-2020-primary-official-precinct.pdf,p3,REP FOR GOVERNOR AND LT GOVERNOR,1,CLK,"THOMAS E. WRIGHT, ROB BISHOP",17,False,Total,207,309
2020,primary,cache-2020-primary-official-precinct.pdf,p3,REP FOR GOVERNOR AND LT GOVERNOR,1,CLK,"SPENCER J. COX, DEIDRE M. HENDERSON",82,False,Total,207,309
2020,primary,cache-2020-primary-official-precinct.pdf,p3,REP FOR GOVERNOR AND LT GOVERNOR,1,CLK,"JON HUNTSMAN JR., MICHELLE KAUFUSI",52,False,Total,207,309
2020,primary,cache-2020-primary-official-precinct.pdf,p3,REP FOR GOVERNOR AND LT GOVERNOR,1,CLK,"GREG HUGHES, VICTOR IVERSON",36,False,Total,207,309
2020,primary,cache-2020-primary-official-precinct.pdf,p3,REP ATTORNEY GENERAL,1,CLK,SEAN D. REYES,100,False,Total,207,309
2020,primary,cache-2020-primary-official-precinct.pdf,p3,REP ATTORNEY GENERAL,1,CLK,DAVID O. LEAVITT,82,False,Total,207,309
2020,primary,cache-2020-primary-official-precinct.pdf,p3,REP STATE SENATE DIST 25,1,CLK,CHRIS H WILSON,112,False,Total,207,309
2020,primary,cache-2020-primary-official-precinct.pdf,p3,REP STATE SENATE DIST 25,1,CLK,LYLE W. HILLYARD,73,False,Total,207,309
2020,primary,cache-2020-primary-official-precinct.pdf,p3,DEM U.S. HOUSE DIST 1,1,CLK,DARREN PARRY,11,False,Total,207,309
2020,primary,cache-2020-primary-official-precinct.pdf,p3,DEM U.S. HOUSE DIST 1,1,CLK,JAMIE CHEEK,8,False,Total,207,309
2020,primary,cache-2020-primary-official-precinct.pdf,p4,REP U.S. HOUSE DIST 1,1,COR,KATIE WITT,21,False,Total,87,119
2020,primary,cache-2020-primary-official-precinct.pdf,p4,REP U.S. HOUSE DIST 1,1,COR,BOB STEVENSON,20,False,Total,87,119
2020,primary,cache-2020-primary-official-precinct.pdf,p4,REP U.S. HOUSE DIST 1,1,COR,BLAKE DAVID MOORE,9,False,Total,87,119
2020,primary,cache-2020-primary-official-precinct.pdf,p4,REP U.S. HOUSE DIST 1,1,COR,KERRY W. GIBSON,36,False,Total,87,119
2020,primary,cache-2020-primary-official-precinct.pdf,p4,REP FOR GOVERNOR AND LT GOVERNOR,1,COR,"THOMAS E. WRIGHT, ROB BISHOP",8,False,Total,87,119
2020,primary,cache-2020-primary-official-precinct.pdf,p4,REP FOR GOVERNOR AND LT GOVERNOR,1,COR,"SPENCER J. COX, DEIDRE M. HENDERSON",36,False,Total,87,119
2020,primary,cache-2020-primary-official-precinct.pdf,p4,REP FOR GOVERNOR AND LT GOVERNOR,1,COR,"JON HUNTSMAN JR., MICHELLE KAUFUSI",26,False,Total,87,119
2020,primary,cache-2020-primary-official-precinct.pdf,p4,REP FOR GOVERNOR AND LT GOVERNOR,1,COR,"GREG HUGHES, VICTOR IVERSON",17,False,Total,87,119
2020,primary,cache-2020-primary-official-precinct.pdf,p4,REP ATTORNEY GENERAL,1,COR,SEAN D. REYES,42,False,Total,87,119
2020,primary,cache-2020-primary-official-precinct.pdf,p4,REP ATTORNEY GENERAL,1,COR,DAVID O. LEAVITT,45,False,Total,87,119
2020,primary,cache-2020-primary-official-precinct.pdf,p4,REP STATE SENATE DIST 25,1,COR,CHRIS H WILSON,47,False,Total,87,119
2020,primary,cache-2020-primary-official-precinct.pdf,p4,REP STATE SENATE DIST 25,1,COR,LYLE W. HILLYARD,40,False,Total,87,119
2020,primary,cache-2020-primary-official-precinct.pdf,p4,DEM U.S. HOUSE DIST 1,1,COR,DARREN PARRY,0,False,Total,87,119
2020,primary,cache-2020-primary-official-precinct.pdf,p4,DEM U.S. HOUSE DIST 1,1,COR,JAMIE CHEEK,0,False,Total,87,119
2020,primary,cache-2020-primary-official-precinct.pdf,p5,REP U.S. HOUSE DIST 1,1,COV,KATIE WITT,32,False,Total,198,254
2020,primary,cache-2020-primary-official-precinct.pdf,p5,REP U.S. HOUSE DIST 1,1,COV,BOB STEVENSON,41,False,Total,198,254
2020,primary,cache-2020-primary-official-precinct.pdf,p5,REP U.S. HOUSE DIST 1,1,COV,BLAKE DAVID MOORE,37,False,Total,198,254
2020,primary,cache-2020-primary-official-precinct.pdf,p5,REP U.S. HOUSE DIST 1,1,COV,KERRY W. GIBSON,61,False,Total,198,254
2020,primary,cache-2020-primary-official-precinct.pdf,p5,REP FOR GOVERNOR AND LT GOVERNOR,1,COV,"THOMAS E. WRIGHT, ROB BISHOP",21,False,Total,198,254
