year,election_type,contest,jurisdiction_slug,office,district,seats,candidate,party,votes,rank_in_contest,n_precincts,suppressed,source_file
2021,municipal general,Amalga City Council,amalga,Council,At-Large,2,PAUL HANSEN,,108,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Amalga City Council,amalga,Council,At-Large,2,Write-In: LANCE GATES,,71,2,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mayor of Amalga,amalga,Mayor,,1,DAVID P WOOD,,100,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mayor of Amalga,amalga,Mayor,,1,Write-In: JULIO VEGA,,1,2,0,false,cache-2021-general-summary.pdf
2021,municipal general,Hyde Park City Council,hyde_park,Council,At-Large,2,GERALD OSBORNE,,959,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Hyde Park City Council,hyde_park,Council,At-Large,2,KEVIN FLINT,,798,2,0,false,cache-2021-general-summary.pdf
2021,municipal general,Hyde Park City Council,hyde_park,Council,At-Large,2,BOB CHRISTENSEN,,616,3,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mayor of Hyde Park,hyde_park,Mayor,,1,BRYAN L. COX,,1177,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Lewiston City Council 4 Year,lewiston,Council,At-Large,2,JOHN H MORRISON,,358,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Lewiston City Council 4 Year,lewiston,Council,At-Large,2,BROOKE E. HYER,,193,2,0,false,cache-2021-general-summary.pdf
2021,municipal general,Lewiston City Council 4 Year,lewiston,Council,At-Large,2,SIGRID R. RODERER,,184,3,0,false,cache-2021-general-summary.pdf
2021,municipal general,Lewiston City Council 2 Year,lewiston,Council,At-Large (2-year),1,Write-In: NED K SIMPER,,138,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Lewiston City Council 2 Year,lewiston,Council,At-Large (2-year),1,Write-In: KADE B TARBET,,133,2,0,false,cache-2021-general-summary.pdf
2021,municipal general,Lewiston City Council 2 Year,lewiston,Council,At-Large (2-year),1,Write-In: REGAN WHEELER,,54,3,0,false,cache-2021-general-summary.pdf
2021,municipal general,Lewiston City Council 2 Year,lewiston,Council,At-Large (2-year),1,Write-In: BRENDA K. LINK,,27,4,0,false,cache-2021-general-summary.pdf
2021,municipal general,Lewiston City Council 2 Year,lewiston,Council,At-Large (2-year),1,Write-In: INVALID 1,,9,5,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mayor of Lewiston,lewiston,Mayor,,1,JEFF W HALL,,396,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mendon City Council 4 Year,mendon,Council,At-Large,2,MICHAEL MORGAN,,246,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mendon City Council 4 Year,mendon,Council,At-Large,2,JONATHAN W.HARDMAN,,217,2,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mendon City Council 4 Year,mendon,Council,At-Large,2,JUDITH KEILANI LUDLOW,,160,3,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mendon City Council 2 Year,mendon,Council,At-Large (2-year),1,ROBERT JEPSEN,,314,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mayor of Mendon,mendon,Mayor,,1,EDWIN D. BUIST,,313,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Millville City Council,millville,Council,At-Large,2,DANIEL GRANGE,,472,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Millville City Council,millville,Council,At-Large,2,CLAY WILKER,,430,2,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mayor of Millville,millville,Mayor,,1,DAVID N. HAIR,,483,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mayor of Millville,millville,Mayor,,1,ROBERT LEE CUDNEY,,54,2,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mayor of Newton,newton,Mayor,,1,MIKE BENSON,,176,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mayor of Newton,newton,Mayor,,1,KEVIN L. RHODES,,138,2,0,false,cache-2021-general-summary.pdf
2021,municipal general,North Logan City Council,north_logan,Council,At-Large,2,JONI KARTCHNER,,1300,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,North Logan City Council,north_logan,Council,At-Large,2,EMILY SCHMIDT,,1185,2,0,false,cache-2021-general-summary.pdf
2021,municipal general,North Logan City Council,north_logan,Council,At-Large,2,BRAD CROOKSTON,,1107,3,0,false,cache-2021-general-summary.pdf
2021,municipal general,North Logan City Council,north_logan,Council,At-Large,2,BRUCE W LEE,,1022,4,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mayor of North Logan,north_logan,Mayor,,1,LYNDSAY PETERSON,,1708,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mayor of North Logan,north_logan,Mayor,,1,HR CHRIS NELSON,,780,2,0,false,cache-2021-general-summary.pdf
2021,municipal general,Providence City Council,providence,Council,At-Large,2,JEANELL S. SEALY,,1887,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Providence City Council,providence,Council,At-Large,2,JEFF CARLOS NEBEKER,,1262,2,0,false,cache-2021-general-summary.pdf
2021,municipal general,Providence City Council,providence,Council,At-Large,2,KRISTINA ECK,,1235,3,0,false,cache-2021-general-summary.pdf
2021,municipal general,Providence City Council,providence,Council,At-Large,2,RYAN MOELLER,,512,4,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mayor of Providence,providence,Mayor,,1,KATHLEEN WILLARDSON ALDER,,2064,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Richmond City Council,richmond,Council,At-Large,2,LYLE R. BAIR,,499,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Richmond City Council,richmond,Council,At-Large,2,AMBER ERVIN,,405,2,0,false,cache-2021-general-summary.pdf
2021,municipal general,Richmond City Council,richmond,Council,At-Large,2,VERN FIELDING,,299,3,0,false,cache-2021-general-summary.pdf
2021,municipal general,Richmond City Council,richmond,Council,At-Large,2,REESE HULBERT,,270,4,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mayor of Richmond,richmond,Mayor,,1,PAUL J ERICKSON,,492,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mayor of Richmond,richmond,Mayor,,1,TERRIE L. WIERENGA,,273,2,0,false,cache-2021-general-summary.pdf
2021,municipal general,Mayor of River Heights,river_heights,Mayor,,1,JASON E. THOMPSON,,438,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Smithfield City Council,smithfield,Council,At-Large,2,SUE HYER,,1411,1,0,false,cache-2021-general-summary.pdf
2021,municipal general,Smithfield City Council,smithfield,Council,At-Large,2,WADE C. CAMBELL,,1339,2,0,false,cache-2021-general-summary.pdf
2021,municipal general,Smithfield City Council,smithfield,Council,At-Large,2,JAMIE ANDERSON,,1036,3,0,false,cache-2021-general-summary.pdf
