date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2015-01-05,2015,Cache County Council Council Meeting,Council,1,approve the agenda as written,,"The vote was unanimous, 6-0",Potter,Yeates,,,legislative/minutes/2015/2015-01-05_council.md,citysite_ocr
2015-01-05,2015,Cache County Council Council Meeting,Council,2,appoint David L,,"The vote was unanimous, 6-0",Merrill,,,,legislative/minutes/2015/2015-01-05_council.md,citysite_ocr
2015-01-05,2015,Cache County Council Council Meeting,Council,3,adjourn from the special session of the,,"The vote was unanimous, 7-0",Yeates,Zilles,,,legislative/minutes/2015/2015-01-05_council.md,citysite_ocr
2015-01-13,2015,Cache County Council Council Meeting,Council,1,approve the agenda as written,,"The vote was unanimous, 6-0",Yeates,Zilles,,,legislative/minutes/2015/2015-01-13_council.md,citysite_ocr
2015-01-13,2015,Cache County Council Council Meeting,Council,2,approve the minutes of the December 09,,"The vote was unanimous, 6-0",Yeates,Zilles,,,legislative/minutes/2015/2015-01-13_council.md,citysite_ocr
2015-01-13,2015,Cache County Council Council Meeting,Council,3,approve the recommended appointments,,"The vote was unanimous, 6-0",Yeates,Erickson,,,legislative/minutes/2015/2015-01-13_council.md,citysite_ocr
2015-01-13,2015,Cache County Council Council Meeting,Council,4,accept the Bear River Mental Health,,"The vote was unanimous,
6-0",Yeates,White,,,legislative/minutes/2015/2015-01-13_council.md,citysite_ocr
2015-01-13,2015,Cache County Council Council Meeting,Council,5,"set a Public Hearing-January 27, 2015 at",,"The vote was
unanimous, 6-0",White,Yeates,,,legislative/minutes/2015/2015-01-13_council.md,citysite_ocr
2015-01-13,2015,Cache County Council Council Meeting,Council,6,waive the rules and approve Ordinance,,"The vote was unanimous, 6-0",Yeates,White,,,legislative/minutes/2015/2015-01-13_council.md,citysite_ocr
2015-01-13,2015,Cache County Council Council Meeting,Council,7,waive the rules and approve Resolution,,"The vote was
unanimous, 6-0",Yeates,White,,,legislative/minutes/2015/2015-01-13_council.md,citysite_ocr
2015-01-13,2015,Cache County Council Council Meeting,Council,8,approve the Property Tax Military,,"The vote was unanimous, 6-0",Yeates,Erickson,,,legislative/minutes/2015/2015-01-13_council.md,citysite_ocr
2015-01-13,2015,Cache County Council Council Meeting,Council,9,approve the Fox Hollow Subdivision-Duane,,"The vote was unanimous, 6-0",Zilles,Merrill,,,legislative/minutes/2015/2015-01-13_council.md,citysite_ocr
2015-01-27,2015,Cache County Council Council Meeting,Council,1,approve the agenda as written,,"The vote was unanimous, 5-0",Yeates,Zilles,,,legislative/minutes/2015/2015-01-27_council.md,citysite_ocr
2015-01-27,2015,Cache County Council Council Meeting,Council,2,approve the minutes of the January 13,,"The vote was unanimous,
5-0",Yeates,Zilles,,,legislative/minutes/2015/2015-01-27_council.md,citysite_ocr
2015-01-27,2015,Cache County Council Council Meeting,Council,3,approve the Consent Agenda Item-Ronald,,"The vote was unanimous, 6-0",Potter,Yeates,,,legislative/minutes/2015/2015-01-27_council.md,citysite_ocr
2015-01-27,2015,Cache County Council Council Meeting,Council,4,close the Public Hearing,,"The vote was unanimous, 7-0",Yeates,Potter,,,legislative/minutes/2015/2015-01-27_council.md,citysite_ocr
2015-01-27,2015,Cache County Council Council Meeting,Council,5,close the Public Hearing,,"The vote was unanimous, 6-0",Zilles,,,,legislative/minutes/2015/2015-01-27_council.md,citysite_ocr
2015-01-27,2015,Cache County Council Council Meeting,Council,6,waive the rules and approve Resolution,,"The vote was
unanimous, 6-0",White,Zilles,,,legislative/minutes/2015/2015-01-27_council.md,citysite_ocr
2015-01-27,2015,Cache County Council Council Meeting,Council,7,approve the three property tax deferral,,"The vote was unanimous, 6-0",Erickson,Potter,,,legislative/minutes/2015/2015-01-27_council.md,citysite_ocr
2015-01-27,2015,Cache County Council Council Meeting,Council,8,approve the Widow Abatement request,,"The vote was unanimous, 6-0",Potter,White,,,legislative/minutes/2015/2015-01-27_council.md,citysite_ocr
2015-02-10,2015,Cache County Council Council Meeting,Council,1,approve the agenda as amended,,"The vote was unanimous, 7-0",Yeates,Erickson,,,legislative/minutes/2015/2015-02-10_council.md,citysite_ocr
2015-02-10,2015,Cache County Council Council Meeting,Council,2,approve the minutes of the January 27,,"The vote was unanimous,
7-0",Yeates,Zilles,,,legislative/minutes/2015/2015-02-10_council.md,citysite_ocr
2015-02-10,2015,Cache County Council Council Meeting,Council,3,"set a Public Hearing — February 24, 2015",,"The vote was unanimous,
7-0",Yeates,Erickson,,,legislative/minutes/2015/2015-02-10_council.md,citysite_ocr
2015-02-10,2015,Cache County Council Council Meeting,Council,4,approve the 2014 Parcels with Abatements,,"The vote was unanimous, 7-0",Zilles,White,,,legislative/minutes/2015/2015-02-10_council.md,citysite_ocr
2015-02-10,2015,Cache County Council Council Meeting,Council,5,waive the rules and approve Ordinance,,"The vote was unanimous, 7-0",Yeates,,,,legislative/minutes/2015/2015-02-10_council.md,citysite_ocr
