vote_id,motion_id,person_id,vote_value
1,2,2,Aye
2,2,7,Aye
3,2,8,Aye
4,2,12,Aye
5,2,13,Aye
6,3,2,Aye
7,3,7,Aye
8,3,8,Aye
9,3,12,Aye
10,3,13,Aye
11,85,2,Abstain
12,92,7,Aye
13,92,8,Aye
14,92,16,Aye
15,92,2,Nay
16,92,13,Nay
17,93,7,Aye
18,93,8,Aye
19,93,13,Aye
20,93,2,Nay
21,93,16,Nay
22,121,2,Aye
23,121,7,Aye
24,121,8,Aye
25,121,13,Aye
26,121,16,Aye
27,123,2,Aye
28,123,7,Aye
29,123,8,Aye
30,123,13,Aye
31,123,16,Aye
32,139,4,Abstain
33,289,4,Nay
34,289,7,Nay
35,289,13,Nay
36,289,16,Nay
37,354,16,Abstain
38,355,4,Abstain
39,389,16,Abstain
40,419,6,Abstain
41,426,13,Abstain
42,448,3,Abstain
43,449,3,Abstain
44,462,3,Abstain
