date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2018-07-18,2018,Copperton Meeting,Council,1,"to approve the minutes of the Copperton Metro Township Council meeting held on June 18, 2018",Procedural/Administrative,Pass (unanimous),Kevin Severson,Kathleen Bailey,,,minutes/2018/2018-07-18/2018-07-18_council-meeting.md
2018-07-18,2018,Copperton Meeting,Council,2,"to approve the resolution including the following amendments: If an inspection is required, the business owner will pay for the inspection costs. Business owners will notify Copperton Metro Township that it is doing business in Copperton. The name will be changed from “business license” to “business listing.”",Resolution,5-0 Pass,Apollo Pazell,Kathleen Bailey,Apollo Pazell,Aye,minutes/2018/2018-07-18/2018-07-18_council-meeting.md
2018-07-18,2018,Copperton Meeting,Council,2,"to approve the resolution including the following amendments: If an inspection is required, the business owner will pay for the inspection costs. Business owners will notify Copperton Metro Township that it is doing business in Copperton. The name will be changed from “business license” to “business listing.”",Resolution,5-0 Pass,Apollo Pazell,Kathleen Bailey,Kathleen Bailey,Aye,minutes/2018/2018-07-18/2018-07-18_council-meeting.md
2018-07-18,2018,Copperton Meeting,Council,2,"to approve the resolution including the following amendments: If an inspection is required, the business owner will pay for the inspection costs. Business owners will notify Copperton Metro Township that it is doing business in Copperton. The name will be changed from “business license” to “business listing.”",Resolution,5-0 Pass,Apollo Pazell,Kathleen Bailey,Kevin Severson,Aye,minutes/2018/2018-07-18/2018-07-18_council-meeting.md
2018-07-18,2018,Copperton Meeting,Council,2,"to approve the resolution including the following amendments: If an inspection is required, the business owner will pay for the inspection costs. Business owners will notify Copperton Metro Township that it is doing business in Copperton. The name will be changed from “business license” to “business listing.”",Resolution,5-0 Pass,Apollo Pazell,Kathleen Bailey,Ron Patrick,Aye,minutes/2018/2018-07-18/2018-07-18_council-meeting.md
2018-07-18,2018,Copperton Meeting,Council,2,"to approve the resolution including the following amendments: If an inspection is required, the business owner will pay for the inspection costs. Business owners will notify Copperton Metro Township that it is doing business in Copperton. The name will be changed from “business license” to “business listing.”",Resolution,5-0 Pass,Apollo Pazell,Kathleen Bailey,Sean Clayton,Aye,minutes/2018/2018-07-18/2018-07-18_council-meeting.md
2018-07-18,2018,Copperton Meeting,Council,3,"to make the changes effective as of January 1, 2019",Other,5-0 Pass,Apollo Pazell,Ron Patrick,Apollo Pazell,Aye,minutes/2018/2018-07-18/2018-07-18_council-meeting.md
2018-07-18,2018,Copperton Meeting,Council,3,"to make the changes effective as of January 1, 2019",Other,5-0 Pass,Apollo Pazell,Ron Patrick,Kathleen Bailey,Aye,minutes/2018/2018-07-18/2018-07-18_council-meeting.md
2018-07-18,2018,Copperton Meeting,Council,3,"to make the changes effective as of January 1, 2019",Other,5-0 Pass,Apollo Pazell,Ron Patrick,Kevin Severson,Aye,minutes/2018/2018-07-18/2018-07-18_council-meeting.md
2018-07-18,2018,Copperton Meeting,Council,3,"to make the changes effective as of January 1, 2019",Other,5-0 Pass,Apollo Pazell,Ron Patrick,Ron Patrick,Aye,minutes/2018/2018-07-18/2018-07-18_council-meeting.md
