source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
minutes/2018/2018-07-18/2018-07-18_council-meeting.md,1,2018-07-18,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2018/2018-07-18/2018-07-18_council-meeting.md,2,2018-07-18,Council,Resolution,Resolution,,final-action,pass,5,0,,roll-call,5-0 Pass,crosswalk,high
minutes/2018/2018-07-18/2018-07-18_council-meeting.md,3,2018-07-18,Council,Other,Other,,final-action,pass,5,0,,roll-call,5-0 Pass,rule:no-signal,low
minutes/2018/2018-07-18/2018-07-18_council-meeting.md,4,2018-07-18,Council,Resolution,Resolution,,final-action,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2018/2018-08-15/2018-08-15_council-meeting.md,1,2018-08-15,Council,Other,Other,,final-action,pass,,,,unanimous-declared,Pass (unanimous),rule:no-signal,low
minutes/2018/2018-08-15/2018-08-15_council-meeting.md,2,2018-08-15,Council,Other,Other,,final-action,pass,,,,unknown,Pass,rule:no-signal,low
minutes/2018/2018-08-15/2018-08-15_council-meeting.md,3,2018-08-15,Council,Ordinance,Ordinance,,final-action,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2018/2018-09-04/2018-09-04_council-meeting.md,1,2018-09-04,Council,Resolution,Resolution,,final-action,pass,,,,unknown,Pass,crosswalk,high
minutes/2018/2018-09-04/2018-09-04_council-meeting.md,2,2018-09-04,Council,Other,Other,,final-action,pass,,,,unanimous-declared,Pass (unanimous),rule:no-signal,low
minutes/2018/2018-09-04/2018-09-04_council-meeting.md,3,2018-09-04,Council,Other,Other,,final-action,pass,,,,unanimous-declared,Pass (unanimous),rule:no-signal,low
minutes/2018/2018-09-19/2018-09-19_council-meeting.md,1,2018-09-19,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2018/2018-09-19/2018-09-19_council-meeting.md,2,2018-09-19,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2018/2018-09-19/2018-09-19_council-meeting.md,3,2018-09-19,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
