source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
minutes/2019/2019-03-12/2019-03-12_planningcommission-meeting.md,1,2019-03-12,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),crosswalk,high
minutes/2019/2019-03-12/2019-03-12_planningcommission-meeting.md,2,2019-03-12,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),crosswalk,high
minutes/2019/2019-03-12/2019-03-12_planningcommission-meeting.md,3,2019-03-12,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),crosswalk,high
minutes/2019/2019-04-09/2019-04-09_planningcommission-meeting.md,1,2019-04-09,PlanningCommission,Appointment,Appointment,,recommendation,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),crosswalk,high
minutes/2019/2019-04-09/2019-04-09_planningcommission-meeting.md,2,2019-04-09,PlanningCommission,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),crosswalk,high
minutes/2019/2019-04-09/2019-04-09_planningcommission-meeting.md,3,2019-04-09,PlanningCommission,Appointment,Appointment,,procedural,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),crosswalk,high
minutes/2019/2019-04-09/2019-04-09_planningcommission-meeting.md,4,2019-04-09,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),crosswalk,high
minutes/2019/2019-05-14/2019-05-14_planningcommission-meeting.md,1,2019-05-14,PlanningCommission,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),crosswalk,high
minutes/2019/2019-05-14/2019-05-14_planningcommission-meeting.md,2,2019-05-14,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),crosswalk,high
minutes/2019/2019-05-14/2019-05-14_planningcommission-meeting.md,3,2019-05-14,PlanningCommission,Recommendation,Other,,recommendation,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),rule:no-signal,low
minutes/2019/2019-07-09/2019-07-09_planningcommission-meeting.md,1,2019-07-09,PlanningCommission,Recommendation,Other,,recommendation,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),rule:no-signal,low
minutes/2019/2019-07-09/2019-07-09_planningcommission-meeting.md,2,2019-07-09,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),crosswalk,high
minutes/2019/2019-07-09/2019-07-09_planningcommission-meeting.md,3,2019-07-09,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),crosswalk,high
minutes/2020/2020-02-11/2020-02-11_planningcommission-meeting.md,1,2020-02-11,PlanningCommission,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),crosswalk,high
minutes/2020/2020-02-11/2020-02-11_planningcommission-meeting.md,2,2020-02-11,PlanningCommission,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),crosswalk,high
minutes/2020/2020-02-11/2020-02-11_planningcommission-meeting.md,3,2020-02-11,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),crosswalk,high
minutes/2020/2020-09-23/2020-09-23_planningcommission-meeting.md,1,2020-09-23,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,roll-call,Pass (w/ named abstention),crosswalk,high
minutes/2020/2020-09-23/2020-09-23_planningcommission-meeting.md,2,2020-09-23,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,,,,roll-call,Pass (w/ named abstention),rule:lu-rezone,high
minutes/2021/2021-09-28/2021-09-28_planningcommission-meeting.md,1,2021-09-28,PlanningCommission,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2021/2021-09-28/2021-09-28_planningcommission-meeting.md,2,2021-09-28,PlanningCommission,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2021/2021-09-28/2021-09-28_planningcommission-meeting.md,3,2021-09-28,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2021/2021-09-28/2021-09-28_planningcommission-meeting.md,4,2021-09-28,PlanningCommission,Land-Use/Zoning,Land-Use,Other-Land-Use,recommendation,pass,,,,unanimous-declared,Pass (unanimous),rule:lu-accessory,high
minutes/2021/2021-09-28/2021-09-28_planningcommission-meeting.md,5,2021-09-28,PlanningCommission,Land-Use/Zoning,Land-Use,Other-Land-Use,recommendation,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,medium
minutes/2021/2021-09-28/2021-09-28_planningcommission-meeting.md,6,2021-09-28,PlanningCommission,Land-Use/Zoning,Land-Use,Other-Land-Use,recommendation,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,medium
minutes/2022/2022-02-15/2022-02-15_planningcommission-meeting.md,1,2022-02-15,PlanningCommission,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2022/2022-02-15/2022-02-15_planningcommission-meeting.md,2,2022-02-15,PlanningCommission,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2022/2022-02-15/2022-02-15_planningcommission-meeting.md,3,2022-02-15,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2022/2022-03-15/2022-03-15_planningcommission-meeting.md,1,2022-03-15,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),crosswalk,high
minutes/2022/2022-03-15/2022-03-15_planningcommission-meeting.md,2,2022-03-15,PlanningCommission,Land-Use/Zoning,Land-Use,Annexation,recommendation,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),rule:lu-annex,high
minutes/2022/2022-03-15/2022-03-15_planningcommission-meeting.md,3,2022-03-15,PlanningCommission,Land-Use/Zoning,Land-Use,Annexation,recommendation,pass,,,,unanimous-declared,Pass (unanimous) (of commissioners present),rule:lu-annex,high
minutes/2022/2022-12-13/2022-12-13_planningcommission-meeting.md,1,2022-12-13,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,roll-call,Pass (unanimous) (w/ named abstention),crosswalk,high
minutes/2023/2023-01-10/2023-01-10_planningcommission-meeting.md,1,2023-01-10,PlanningCommission,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2023/2023-01-10/2023-01-10_planningcommission-meeting.md,2,2023-01-10,PlanningCommission,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2023/2023-01-10/2023-01-10_planningcommission-meeting.md,3,2023-01-10,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2023/2023-04-11/2023-04-11_planningcommission-meeting.md,1,2023-04-11,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2023/2023-04-11/2023-04-11_planningcommission-meeting.md,2,2023-04-11,PlanningCommission,Land-Use/Zoning,Land-Use,Other-Land-Use,recommendation,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2023/2023-06-13/2023-06-13_planningcommission-meeting.md,1,2023-06-13,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2023/2023-06-13/2023-06-13_planningcommission-meeting.md,2,2023-06-13,PlanningCommission,Land-Use/Zoning,Land-Use,Rezone,recommendation,pass,,,,unanimous-declared,Pass (unanimous),rule:lu-rezone,high
minutes/2024/2024-09-10/2024-09-10_planningcommission-meeting.md,1,2024-09-10,PlanningCommission,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2024/2024-09-10/2024-09-10_planningcommission-meeting.md,2,2024-09-10,PlanningCommission,Appointment,Appointment,,final-action,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2024/2024-09-10/2024-09-10_planningcommission-meeting.md,3,2024-09-10,PlanningCommission,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,Pass (unanimous),crosswalk,high
minutes/2024/2024-09-10/2024-09-10_planningcommission-meeting.md,4,2024-09-10,PlanningCommission,Recommendation,Land-Use,Other-Land-Use,final-action,pass,,,,unanimous-declared,Pass (unanimous),rule:lu-pud,high
minutes/2024/2024-09-10/2024-09-10_planningcommission-meeting.md,5,2024-09-10,PlanningCommission,Land-Use/Zoning,Land-Use,Subdivision-Plat,recommendation,pass,,,,unanimous-declared,Pass (unanimous),rule:lu-subdiv,high
minutes/2024/2024-11-19/2024-11-19_planningcommission-meeting.md,1,2024-11-19,PlanningCommission,Other,Other,,procedural,pass,,,,unanimous-declared,Pass (unanimous),rule:no-signal,low
