week_ending,period_start,n_comments,n_meetings,n_motions,n_contested,meeting_types
2018-07-18,2018-07-12,0,1,4,0,council meeting
2018-08-15,2018-08-09,0,1,3,0,council meeting
2018-09-05,2018-08-30,0,1,3,0,council meeting
2018-09-19,2018-09-13,0,1,3,0,council meeting
2018-11-21,2018-11-15,0,1,6,0,council meeting
2019-01-16,2019-01-10,0,1,3,0,council meeting
2019-02-13,2019-02-07,0,1,0,0,council meeting
2019-02-20,2019-02-14,0,1,0,0,council meeting
2019-03-20,2019-03-14,0,1,5,0,council meeting
2019-04-03,2019-03-28,0,1,2,0,council meeting
2019-04-17,2019-04-11,0,1,0,0,council meeting
2019-05-15,2019-05-09,0,1,3,0,council meeting
2019-06-19,2019-06-13,0,1,6,0,council meeting
2019-07-17,2019-07-11,0,1,4,0,council meeting
2019-08-21,2019-08-15,0,1,5,0,council meeting
2019-09-18,2019-09-12,0,1,6,0,council meeting
2019-10-02,2019-09-26,0,1,1,0,council meeting
2019-10-16,2019-10-10,0,1,6,0,council meeting
2019-11-20,2019-11-14,0,1,5,0,council meeting
2019-12-18,2019-12-12,0,1,3,0,council meeting
2019-12-25,2019-12-19,0,1,2,0,council meeting
2020-01-15,2020-01-09,0,1,14,0,council meeting
2020-02-19,2020-02-13,0,1,6,1,council meeting
2020-03-18,2020-03-12,0,2,3,2,council meeting
2020-04-15,2020-04-09,0,1,7,0,council meeting
2020-05-20,2020-05-14,0,1,3,0,council meeting
2020-06-17,2020-06-11,0,1,6,0,council meeting
2020-07-08,2020-07-02,0,1,1,0,council meeting
2020-07-15,2020-07-09,0,1,2,0,council meeting
2020-07-29,2020-07-23,0,1,0,0,council meeting
2020-08-19,2020-08-13,0,1,6,0,council meeting
2020-09-16,2020-09-10,0,1,6,0,council meeting
2020-10-21,2020-10-15,0,1,6,0,council meeting
2020-11-18,2020-11-12,0,1,6,0,council meeting
2020-12-16,2020-12-10,0,1,6,1,council meeting
2021-01-20,2021-01-14,0,1,1,0,council meeting
2021-02-17,2021-02-11,0,1,7,0,council meeting
2021-03-17,2021-03-11,0,1,5,0,council meeting
2021-04-21,2021-04-15,0,1,3,0,council meeting
2021-05-19,2021-05-13,0,1,0,0,council meeting
2021-06-16,2021-06-10,0,1,3,0,council meeting
2021-07-21,2021-07-15,0,1,2,0,council meeting
2021-08-18,2021-08-12,0,1,4,0,council meeting
2021-09-15,2021-09-09,0,1,4,0,council meeting
2021-10-20,2021-10-14,0,1,4,0,council meeting
2021-11-17,2021-11-11,0,1,6,0,council meeting
2021-12-15,2021-12-09,0,1,11,0,council meeting
2022-01-19,2022-01-13,0,1,4,0,council meeting
2022-02-16,2022-02-10,0,1,3,0,council meeting
2022-03-16,2022-03-10,0,1,5,0,council meeting
2022-04-20,2022-04-14,0,1,2,0,council meeting
2022-05-18,2022-05-12,0,1,2,0,council meeting
2022-06-15,2022-06-09,0,1,3,0,council meeting
2022-07-20,2022-07-14,0,1,4,0,council meeting
2022-08-17,2022-08-11,0,1,3,0,council meeting
2022-09-21,2022-09-15,0,1,3,0,council meeting
2022-10-19,2022-10-13,0,1,2,0,council meeting
2022-11-16,2022-11-10,0,1,3,0,council meeting
2022-12-21,2022-12-15,0,1,13,0,council meeting
2023-01-18,2023-01-12,0,1,9,0,council meeting
2023-02-15,2023-02-09,0,1,3,0,council meeting
2023-03-15,2023-03-09,0,1,3,0,council meeting
2023-04-12,2023-04-06,0,1,0,0,council meeting
2023-04-19,2023-04-13,0,1,4,0,council meeting
2023-05-03,2023-04-27,0,1,1,0,council meeting
2023-05-17,2023-05-11,0,1,4,0,council meeting
2023-06-07,2023-06-01,0,1,5,0,council meeting
2023-06-21,2023-06-15,0,1,5,0,council meeting
2023-07-19,2023-07-13,0,1,4,0,council meeting
2023-08-02,2023-07-27,0,1,0,0,council meeting
2023-08-16,2023-08-10,0,1,2,0,council meeting
2023-09-06,2023-08-31,0,1,0,0,council meeting
2023-09-20,2023-09-14,0,1,4,0,council meeting
2023-10-18,2023-10-12,0,1,3,0,council meeting
2023-11-08,2023-11-02,0,1,1,0,council meeting
2023-11-15,2023-11-09,0,1,5,1,council meeting
2023-12-06,2023-11-30,0,1,9,0,council meeting
2023-12-20,2023-12-14,0,1,3,0,council meeting
2024-01-17,2024-01-11,0,1,6,0,council meeting
2024-02-07,2024-02-01,0,1,1,0,council meeting
2024-02-21,2024-02-15,0,1,2,0,council meeting
2024-03-20,2024-03-14,0,1,5,0,council meeting
2024-04-17,2024-04-11,0,1,3,0,council meeting
2024-05-15,2024-05-09,0,1,7,0,council meeting
2024-06-19,2024-06-13,0,1,9,0,council meeting
2024-07-17,2024-07-11,0,1,2,0,council meeting
2024-08-21,2024-08-15,0,1,7,0,council meeting
2024-09-18,2024-09-12,0,1,5,0,council meeting
2024-10-16,2024-10-10,0,1,6,2,council meeting
2024-12-18,2024-12-12,0,1,0,0,council meeting
2025-01-15,2025-01-09,0,1,9,0,council meeting
2025-02-19,2025-02-13,0,1,7,0,council meeting
2025-03-19,2025-03-13,0,1,6,0,council meeting
2025-04-16,2025-04-10,0,1,6,0,council meeting
2025-05-21,2025-05-15,0,1,6,1,council meeting
2025-06-18,2025-06-12,0,1,3,0,council meeting
2025-07-16,2025-07-10,0,1,4,0,council meeting
2025-08-20,2025-08-14,0,1,0,0,council meeting
2025-10-15,2025-10-09,0,1,4,0,council meeting
2025-11-19,2025-11-13,0,1,6,0,council meeting
2026-01-21,2026-01-15,0,1,7,0,council meeting
2026-02-18,2026-02-12,0,1,8,1,council meeting
2026-03-18,2026-03-12,0,1,0,0,council meeting
2026-04-15,2026-04-09,0,1,2,0,council meeting
2026-05-20,2026-05-14,0,1,6,1,council meeting
