application_id,app_key,body_id,name,rep_title
1,CDRA|s|minutes/2020/2020-10-19/2020-10-20_work-session-and-business-meeting.md|1,1,,MOTION: Council Member Bracken moved to adjourn the Work Session and reconvene the CDRA meeting. The motion was seconded by Council Member Bruce
2,CDRA|s|minutes/2020/2020-10-19/2020-10-20_work-session-and-business-meeting.md|2,1,,"MOTION: Board Member Bracken moved to approve the Resolution and accept the November CDRA Report. The motion was seconded by Board Member Bruce. Vote on motion: Board Member Petersen-Aye, Board Member Bruce-Aye, Board Member Mikell-Aye, Board Member Bracken-Aye, Chairman Peterson-Aye"
3,CDRA|s|minutes/2020/2020-10-19/2020-10-20_work-session-and-business-meeting.md|3,1,,MOTION: Board Member Bruce moved to approve the Community Development and Renewal Agency Business . The motion was seconded by Board Member Peterson
4,CDRA|s|minutes/2020/2020-10-19/2020-10-20_work-session-and-business-meeting.md|4,1,,MOTION: Board Member Bracken moved to adjourn the CDRA and reconvene the Business Meeting. The motion was seconded by Board Member Petersen
5,Council|s|minutes/2021/2021-02-15/2021-02-16_work-session-and-business-meeting.md|3,2,,"MOTION: Council Member Petersen moved to adopt Ordinance 355, Amending Section 19.51.060 Regarding Affordable Housing in the PDD Zone. The motion was seconded by Council Member Bruce. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Council Member Bruce-Aye, Mayor Mike Peterson-Aye"
6,CDRA|s|minutes/2021/2021-03-01/2021-03-02_work-session-and-business-meeting.md|1,1,,MOTION: Council Member Bracken moved to adjourn the Work Session and reconvene in a CDRA Meeting. The motion was seconded by Council Member Bruce
7,CDRA|s|minutes/2021/2021-03-01/2021-03-02_work-session-and-business-meeting.md|2,1,,MOTION: Board Member Bracken moved to adjourn the CDRA Meeting. The motion was seconded by Board Member Petersen
8,Council|s|minutes/2021/2021-07-05/2021-07-06_work-session-and-business-meeting.md|4,2,,"MOTION: Council Member Bruce moved to approve Ordinance 361-A approving a General Plan Amendment for .196 acres of real property at 7432 South 2300 East. The motion was seconded by Council Member Bracken. Vote on motion: Council Member Bracken-Aye, Council Member Bruce-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye"
9,Council|s|minutes/2021/2021-07-05/2021-07-06_work-session-and-business-meeting.md|5,2,,"MOTION: Council Member Petersen moved to approve Ordinance 362-A approving the rezone of .916 acres of real property located at 7432 South 2300 East. The motion was seconded by Council Member Bruce. Vote on motion: Council Member Bracken-Aye, Council Member Bruce-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye"
10,CDRA|s|minutes/2021/2021-10-04/2021-10-05_work-session-and-business-meeting.md|2,1,,MOTION: Council Member Petersen moved to APPROVE Resolution 2021-01 adopting the CDRA’s 2021 Annual Report. The motion was seconded by Council Member Bracken. Vote on motion: Council Member Petersen-Aye; Council Member Bracken-Aye; Council Member Bruce- Aye; Mayor Peterson-Aye
11,Council|s|minutes/2021/2021-10-04/2021-10-05_work-session-and-business-meeting.md|3,2,,MOTION: Council Member Bracken moved to APPROVE Resolution 2021-02 approving a Second Amendment to the Development Agreement for the Canyon Centre. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye; Council Member Bracken-Aye; Council Member Bruce-Aye; Mayor Peterson-Aye
12,CDRA|s|minutes/2021/2021-10-04/2021-10-05_work-session-and-business-meeting.md|4,1,,MOTION: Council Member Bruce moved to ADJOURN the CDRA Business Meeting. The motion was seconded by Council Member Petersen
13,CDRA|s|minutes/2022/2022-02-28/2022-03-01_work-session-and-business-meeting.md|1,1,,MOTION: Council Member Newell moved to adjourn the Work Session and move to the Community Development and Renewal Agency (“CDRA”) Meeting. The motion was seconded by Council Member Petersen
14,CDRA|s|minutes/2022/2022-02-28/2022-03-01_work-session-and-business-meeting.md|3,1,,MOTION: Board Member Newell moved to CLOSE the CDRA Meeting. The motion was seconded by Board Member Bracken
15,CDRA|s|minutes/2022/2022-03-21/2022-03-22_work-session-and-business-meeting.md|5,1,,"MOTION: Council Member Birrell moved to APPROVE the January 25, 2022, City Council Retreat Minutes and City Council Legislative Work Session Minutes of February 24 and March 3, 2022, and the Work Session, CDRA, and Business Meeting Minutes of March 1, 2022. The motion was seconded by Council Member Petersen"
16,Council|s|minutes/2022/2022-04-18/2022-04-19_work-session-and-business-meeting.md|2,2,,"MOTION: Council Member Petersen moved to APPROVE Ordinance 379-D denying a General Plan Amendment for .95 acre of real estate at 3526 East Fort Union Boulevard from Residential Office to Residential Medium Density. The motion was seconded by Council Member Newell. Vote on motion: Council Member Petersen-Aye, Council Member Bracken-Nay, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Weichers-Aye"
17,Council|s|minutes/2022/2022-04-18/2022-04-19_work-session-and-business-meeting.md|3,2,,"MOTION: Council Member Bracken moved to APPROVE Ordinance 380-D denying the rezone of .95-acre of real property located at 3526 East Fort Union Boulevard from R-1-8 (Residential Single-Family) to R-2-8 (Residential Multi-Family). The motion was seconded by Council Member Petersen. Vote on motion: Council Member Petersen-Aye, Council Member Bracken- Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Weichers-Aye"
18,CDRA|s|minutes/2022/2022-06-20/2022-06-21_work-session-and-business-meeting.md|2,1,,"MOTION: Council Member Newell moved to APPROVE the June 30, 2022, CDRA Report. The motion was seconded by Council Member Birrell"
19,CDRA|s|minutes/2022/2022-06-20/2022-06-21_work-session-and-business-meeting.md|3,1,,"MOTION: Council Member Birrell moved to ADJOURN the CDRA Meeting. The motion was seconded by Council Member Newell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, and Chairman Weichers-Aye"
