vote_id,motion_id,person_id,vote_value
1,2,23,Aye
2,2,28,Aye
3,2,3,Aye
4,2,7,Aye
5,2,18,Aye
6,3,23,Aye
7,3,28,Aye
8,3,3,Aye
9,3,7,Aye
10,3,18,Aye
11,4,23,Aye
12,4,28,Aye
13,4,3,Aye
14,4,7,Aye
15,4,18,Aye
16,8,7,Aye
17,8,23,Aye
18,8,28,Aye
19,8,3,Aye
20,8,18,Aye
21,9,7,Aye
22,9,23,Aye
23,9,28,Aye
24,9,3,Aye
25,9,18,Aye
26,10,7,Aye
27,10,23,Aye
28,10,28,Aye
29,10,3,Aye
30,10,18,Aye
31,11,7,Aye
32,11,23,Aye
33,11,28,Aye
34,11,3,Aye
35,11,18,Aye
36,18,7,Aye
37,18,3,Aye
38,18,23,Aye
39,19,7,Aye
40,19,3,Aye
41,19,23,Aye
42,20,7,Aye
43,20,3,Aye
44,20,23,Aye
45,21,7,Aye
46,21,3,Aye
47,21,23,Aye
48,22,7,Aye
49,22,3,Aye
50,22,23,Aye
51,24,7,Aye
52,24,3,Aye
53,24,28,Aye
54,24,23,Aye
55,24,18,Aye
56,25,7,Aye
57,25,3,Aye
58,25,28,Aye
59,25,23,Aye
60,25,18,Aye
61,26,7,Aye
62,26,3,Aye
63,26,28,Aye
64,26,23,Aye
65,26,18,Aye
66,29,3,Aye
67,29,7,Aye
68,29,28,Aye
69,29,23,Aye
70,29,18,Aye
71,30,7,Aye
72,30,23,Aye
73,30,28,Aye
74,30,3,Aye
75,30,18,Aye
76,31,3,Aye
77,31,28,Aye
78,31,23,Aye
79,31,7,Aye
80,31,18,Aye
81,32,7,Aye
82,32,23,Aye
83,32,28,Aye
84,32,3,Aye
85,32,18,Aye
86,33,3,Aye
87,33,28,Aye
88,33,23,Aye
89,33,7,Aye
90,33,18,Aye
91,34,3,Aye
92,34,28,Aye
93,34,23,Aye
94,34,7,Aye
95,34,18,Aye
96,35,3,Aye
97,35,28,Aye
98,35,23,Aye
99,35,7,Aye
100,35,18,Aye
101,39,3,Aye
102,39,28,Aye
103,39,23,Aye
104,39,7,Aye
105,39,18,Aye
106,40,7,Aye
107,40,23,Aye
108,40,28,Aye
109,40,3,Aye
110,40,18,Aye
111,41,23,Aye
112,41,28,Aye
113,41,7,Aye
114,41,3,Aye
115,41,18,Aye
116,42,7,Aye
117,42,23,Aye
118,42,28,Aye
119,42,3,Aye
120,42,18,Aye
121,46,28,Aye
122,46,7,Aye
123,46,23,Aye
124,46,3,Aye
125,46,18,Aye
126,47,7,Aye
127,47,23,Aye
128,47,28,Aye
129,47,3,Aye
130,47,18,Aye
131,48,23,Aye
132,48,3,Aye
133,48,28,Aye
134,48,7,Aye
135,48,18,Aye
136,52,7,Aye
137,52,23,Aye
138,52,28,Aye
139,52,3,Aye
140,52,18,Aye
141,53,3,Aye
142,53,28,Aye
143,53,23,Aye
144,53,7,Aye
145,53,18,Aye
146,57,28,Aye
147,57,23,Aye
148,57,7,Aye
149,57,18,Aye
150,58,28,Aye
151,58,23,Aye
152,58,7,Aye
