year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2009,municipal general,Council,3,Cottonwood Heights City Council District 3,NICOLE OMER,549,50.0,1,True
2009,municipal general,Council,3,Cottonwood Heights City Council District 3,DON J. ANTCZAK,544,49.54,2,False
2009,municipal general,Council,3,Cottonwood Heights City Council District 3,Write-in,5,0.46,3,False
2009,municipal general,Council,4,Cottonwood Heights City Council District 4,TEE W. TYLER,642,72.38,1,True
2009,municipal general,Council,4,Cottonwood Heights City Council District 4,Write-in,187,21.08,2,False
2009,municipal general,Council,4,Cottonwood Heights City Council District 4,BOB WARNICK,58,6.54,3,False
2009,municipal general,Mayor,,Cottonwood Heights City Mayor,"KELVYN H. CULLIMORE, JR",2852,92.39,1,True
2009,municipal general,Mayor,,Cottonwood Heights City Mayor,Write-in,235,7.61,2,False
2009,municipal primary,Council,3,Cottonwood Heights City Council District 3,NICOLE OMER,304,40.86,1,True
2009,municipal primary,Council,3,Cottonwood Heights City Council District 3,DON J. ANTCZAK,268,36.02,2,False
2009,municipal primary,Council,3,Cottonwood Heights City Council District 3,GORDON W. NICHOLL,172,23.12,3,False
2011,municipal general,Council,1,Cottonwood Heights City Council District 1,MIKE SHELTON,541,53.62,1,True
2011,municipal general,Council,1,Cottonwood Heights City Council District 1,JANET JANKE,460,45.59,2,False
2011,municipal general,Council,1,Cottonwood Heights City Council District 1,Write-in,8,0.79,3,False
2011,municipal general,Council,2,Cottonwood Heights City Council District 2,SCOTT BRACKEN,644,64.21,1,True
2011,municipal general,Council,2,Cottonwood Heights City Council District 2,JAMES H. THUET,354,35.29,2,False
2011,municipal general,Council,2,Cottonwood Heights City Council District 2,Write-in,5,0.5,3,False
2013,municipal general,Council,3,Cottonwood Heights City Council District 3,MIKE PETERSON,1223,59.98,1,True
2013,municipal general,Council,3,Cottonwood Heights City Council District 3,NICOLE OMER,808,39.63,2,False
2013,municipal general,Council,3,Cottonwood Heights City Council District 3,Write-in,8,0.39,3,False
2013,municipal general,Council,4,Cottonwood Heights City Council District 4,TEE W. TYLER,1640,91.26,1,True
2013,municipal general,Council,4,Cottonwood Heights City Council District 4,Write-in,157,8.74,2,False
2013,municipal general,Mayor,,Cottonwood Heights City Mayor,KELVYN H. CULLIMORE JR,4746,62.83,1,True
2013,municipal general,Mayor,,Cottonwood Heights City Mayor,PEYTON H. ROBINSON,2752,36.43,2,False
2013,municipal general,Mayor,,Cottonwood Heights City Mayor,Write-in,56,0.74,3,False
2013,municipal primary,Council,3,Cottonwood Heights City Council District 3,MIKE PETERSON,758,52.46,1,True
2013,municipal primary,Council,3,Cottonwood Heights City Council District 3,NICOLE OMER,431,29.83,2,False
2013,municipal primary,Council,3,Cottonwood Heights City Council District 3,BEN A. DERRICK,256,17.72,3,False
2015,municipal general,Council,1,Cottonwood Heights City Council District 1,MIKE SHELTON,1090,62.11,1,True
2015,municipal general,Council,1,Cottonwood Heights City Council District 1,MARGARITA SATINI,665,37.89,2,False
2015,municipal general,Council,2,Cottonwood Heights City Council District 2,SCOTT BRACKEN,834,52.03,1,True
2015,municipal general,Council,2,Cottonwood Heights City Council District 2,EDWARD SCHWARTZ,769,47.97,2,False
2017,municipal general,Council,3,Cottonwood Heights City Council District 3,TALI BRUCE,1335,55.76,1,True
2017,municipal general,Council,3,Cottonwood Heights City Council District 3,MICHAEL LARRY HANSON,1059,44.24,2,False
2017,municipal general,Council,4,Cottonwood Heights City Council District 4,CHRISTINE WATSON MIKELL,1786,67.78,1,True
2017,municipal general,Council,4,Cottonwood Heights City Council District 4,ERIC RIJK KRAAN,849,32.22,2,False
2017,municipal general,Mayor,,Cottonwood Heights City Mayor,MIKE PETERSON,7247,79.22,1,True
2017,municipal general,Mayor,,Cottonwood Heights City Mayor,TIM HALLBECK,1559,17.04,2,False
2017,municipal general,Mayor,,Cottonwood Heights City Mayor,ED SCHWARTZ,240,2.62,3,False
2017,municipal general,Mayor,,Cottonwood Heights City Mayor,Write-in,102,1.11,4,False
2017,municipal primary,Council,3,Cottonwood Heights City Council District 3,MICHAEL LARRY HANSON,691,47.82,1,True
2017,municipal primary,Council,3,Cottonwood Heights City Council District 3,TALI BRUCE,385,26.64,2,False
2017,municipal primary,Council,3,Cottonwood Heights City Council District 3,TONIA DALTON,369,25.54,3,False
2017,municipal primary,Council,4,Cottonwood Heights City Council District 4,CHRISTINE WATSON MIKELL,1164,70.12,1,True
2017,municipal primary,Council,4,Cottonwood Heights City Council District 4,ERIC RIJK KRAAN,267,16.08,2,False
2017,municipal primary,Council,4,Cottonwood Heights City Council District 4,AARON LEE THOMPSON,229,13.8,3,False
2019,municipal general,Council,1,Cottonwood Heights City Council District 1,DOUGLAS PETERSEN,1057,52.27,1,True
2019,municipal general,Council,1,Cottonwood Heights City Council District 1,DEBORAH CASE,965,47.73,2,False
2019,municipal general,Council,2,Cottonwood Heights City Council District 2,SCOTT BRACKEN,900,57.51,1,True
2019,municipal general,Council,2,Cottonwood Heights City Council District 2,TIM HALLBECK,665,42.49,2,False
2021,municipal general,Council,3,Cottonwood Heights City Council District 3,SHAWN E. NEWELL,959,40.36,1,True
2021,municipal general,Council,3,Cottonwood Heights City Council District 3,MIKE HANSON,773,32.53,2,False
2021,municipal general,Council,3,Cottonwood Heights City Council District 3,DAVID RAWLINGS,516,21.72,3,False
2021,municipal general,Council,3,Cottonwood Heights City Council District 3,RUNAR E. BOMAN,94,3.96,4,False
2021,municipal general,Council,3,Cottonwood Heights City Council District 3,E. SAMUEL MCSHAFFREY,34,1.43,5,False
2021,municipal general,Council,4,Cottonwood Heights City Council District 4,ELLEN BIRRELL,1378,49.73,1,True
2021,municipal general,Council,4,Cottonwood Heights City Council District 4,ERNIE KIM,1232,44.46,2,False
2021,municipal general,Council,4,Cottonwood Heights City Council District 4,LEE ANNE WALKER,161,5.81,3,False
2021,municipal general,Mayor,,Cottonwood Heights City Mayor,MIKE WEICHERS,3526,38.11,1,True
2021,municipal general,Mayor,,Cottonwood Heights City Mayor,ERIC KRAAN,3017,32.61,2,False
2021,municipal general,Mayor,,Cottonwood Heights City Mayor,MAILE EVANS,1849,19.99,3,False
2021,municipal general,Mayor,,Cottonwood Heights City Mayor,ED SCHWARTZ,515,5.57,4,False
2021,municipal general,Mayor,,Cottonwood Heights City Mayor,TIMOTHY HALLBECK,344,3.72,5,False
2023,municipal general,Council,1,Cottonwood Heights City Council District 1,MATT HOLTON,1175,56.52,1,True
2023,municipal general,Council,1,Cottonwood Heights City Council District 1,JEN COTTAM,904,43.48,2,False
2023,municipal general,Council,2,Cottonwood Heights City Council District 2,SUZANNE HYLAND,964,51.8,1,True
2023,municipal general,Council,2,Cottonwood Heights City Council District 2,SHARON DAURELLE,897,48.2,2,False
2023,municipal primary,Council,2,Cottonwood Heights City Council District 2,SHARON DAURELLE,2031,41.36,1,True
2023,municipal primary,Council,2,Cottonwood Heights City Council District 2,SUZANNE HYLAND,1527,31.09,2,False
2023,municipal primary,Council,2,Cottonwood Heights City Council District 2,SCOTT BRACKEN,1353,27.55,3,False
2023,municipal primary,Council,2,Cottonwood Heights City Council District 2,Write-in (unresolved),0,0.0,4,False
2025,municipal general,Council,3,Cottonwood Heights City Council District 3,SHAWN NEWELL,1584,60.99,1,True
2025,municipal general,Council,3,Cottonwood Heights City Council District 3,RANDY PRAZEN,1013,39.01,2,False
2025,municipal general,Council,3,Cottonwood Heights City Council District 3,Write-in (unresolved),0,0.0,3,False
2025,municipal general,Council,4,Cottonwood Heights City Council District 4,ELLEN BIRRELL,2111,67.62,1,True
2025,municipal general,Council,4,Cottonwood Heights City Council District 4,ERNIE KIM,1011,32.38,2,False
2025,municipal general,Council,4,Cottonwood Heights City Council District 4,Write-in (unresolved),0,0.0,3,False
2025,municipal general,Mayor,,Cottonwood Heights City Mayor,GAY LYNN BENNION,6180,57.52,1,True
2025,municipal general,Mayor,,Cottonwood Heights City Mayor,MIKE WEICHERS,4565,42.48,2,False
2025,municipal general,Mayor,,Cottonwood Heights City Mayor,Write-in (unresolved),0,0.0,3,False
