date,title,doc_type,source_url,retrieved_date,format,extraction_method,path,pages,repository,notes
2005-01-14,Cottonwood Heights General Plan (adopted Jan 14 2005),general_plan,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/294/637054918981270000,2026-07-13,text,pdftotext -layout,raw/ch-general-plan-2005.pdf,200,Cottonwood Heights (cottonwoodheights.utah.gov CivicEngage),"Current adopted General Plan; land-use context. In the 2025 state MIH report the city cites General Plan §7.4 Affordability Analysis as the moderate-income-housing element location. Listed on /community-development/adopted-and-special-plans."
2019-11-08,Affordable Housing Report (2019) — Moderate Income Housing element,mih_element,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/5532/637727361321200000,2026-07-13,text,pdftotext -layout,raw/ch-affordable-housing-plan-2019.pdf,38,Cottonwood Heights (cottonwoodheights.utah.gov CivicEngage),"CH's HB 259/HB 462-era moderate-income housing plan (city-titled 'Affordable Housing Report', dated Nov 8 2019). Prepared by GSBS Consulting. Base of the five-year plan cycle superseded by the 2025-51 update."
2022-12,Affordable Housing Report — December 2022 amendment (MIH element),mih_element,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/6828/638065565731070000,2026-07-13,text,pdftotext -layout,raw/ch-affordable-housing-plan-2022-update.pdf,46,Cottonwood Heights (cottonwoodheights.utah.gov CivicEngage),"Born-digital 2022 amendment of the Affordable Housing Report (GSBS). This is the 'Link to Plan' the city gave in its 2023 state MIH filing; adopted by Resolution 2023-02 (see raw/ch-doc-6888.pdf)."
2023-01-03,Resolution 2023-02 — approving the 2022 amendment to the Moderate-Income/Affordable Housing Plan (signed scan),mih_element,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/6888/638085954536649081,2026-07-13,scanned,tesseract OCR,raw/ch-doc-6888.pdf,48,Cottonwood Heights (cottonwoodheights.utah.gov CivicEngage),"Signed/adopted (scanned) version of the 2022-amended plan: Resolution 2023-02, PASSED effective 3 January 2023, with the amended Affordable Housing Report attached. This is the 'Link to Ordinance or Resolution' in CH's 2023 state MIH filing. Image-only PDF -> tesseract OCR sidecar (some near-blank pages)."
2020-11-17,Affordable Housing Report — 2020 annual report,mih_annual_report,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/4283/637418973797870000,2026-07-13,text,pdftotext -layout,raw/ch-mih-report-2020.pdf,36,Cottonwood Heights (cottonwoodheights.utah.gov CivicEngage),"City-labeled '2020 report' on the adopted-and-special-plans page; Affordable Housing Report dated Nov 17 2020 (GSBS). 10-9a-408 annual implementation report."
2021,2021 Moderate Income Housing Plan Update — annual report,mih_annual_report,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/5534/637727369505830000,2026-07-13,text,pdftotext -layout,raw/ch-mih-report-2021.pdf,9,Cottonwood Heights (cottonwoodheights.utah.gov CivicEngage),"City-labeled '2021 report' (GSBS Consulting) — Summary of Five-Year Housing Needs. 10-9a-408 annual implementation report."
2022,2022 Moderate Income Housing Plan Update — annual report,mih_annual_report,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/6555/637993491656330000,2026-07-13,text,pdftotext -layout,raw/ch-mih-report-2022.pdf,10,Cottonwood Heights (cottonwoodheights.utah.gov CivicEngage),"City-labeled '2022 report' (GSBS Consulting) — Summary of Five-Year Housing Needs. 10-9a-408 annual implementation report."
2025-07-01,Resolution 2025-51 — adopting the year-five updated Moderate-Income/Affordable Housing Plan,mih_element,https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10101,2026-07-13,scanned,tesseract OCR,raw/ch-doc-10101.pdf,2,Cottonwood Heights (cottonwoodheights.utah.gov CivicEngage),"Resolution 2025-51 (deposited 1 July 2025) approving CH's year-five updated moderate-income housing plan for state submission (due 1 Aug 2025); PC public hearing + unanimous recommendation 4 June 2025. This is the 'Link to adoption resolution or ordinance' in CH's 2025 state MIH filing (attached plan is annexed; only the 2-page resolution is published at this doc id). Image-only PDF -> tesseract OCR sidecar."
2023,Cottonwood Heights annual MIH report — 2023 statewide compilation (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/23reports.pdf,2026-07-13,text,pdftotext -layout,raw/hcd-23reports.pdf,128-137,Utah DWS HCD (jobs.utah.gov),"CH's 10-9a-408 annual report as published in the statewide 23reports.pdf compilation (1109 pp). Byte-identical copy sha256-verified from bluffdale_city_council/housing_plans/raw/ (not re-downloaded); true source_url + original retrieved_date preserved. CH = physical pp 128-137 (standalone header 'Cottonwood Heights' at p128; 'Draper' header at p138). Sidecar: text/cottonwood_heights-2023.txt (grep-verified no Draper/Clinton neighbor bleed)."
2024,Cottonwood Heights annual MIH report — 2024 statewide compilation (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/24reports.pdf,2026-07-13,text,pdftotext -layout,raw/hcd-24reports.pdf,116-125,Utah DWS HCD (jobs.utah.gov),"CH's 10-9a-408 annual report in the statewide 24reports.pdf compilation (1030 pp). Byte-identical sha256-verified copy from bluffdale (not re-downloaded). TOC lists printed p230 but content is physical pp 116-125 (content-scan; 'Cottonwood Heights city' header at p116, 'Draper city' at p126). Sidecar: text/cottonwood_heights-2024.txt (no neighbor bleed). References the city-filed '2024 Cottonwood Heights MIH Report.pdf'."
2025,Cottonwood Heights annual MIH report — 2025 statewide compilation (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/25reports.pdf,2026-07-13,text,pdftotext -layout,raw/hcd-25reports.pdf,162-174,Utah DWS HCD (jobs.utah.gov),"CH's 10-9a-408 annual report in the statewide 25reports.pdf compilation (1303 pp). Byte-identical sha256-verified copy from bluffdale (not re-downloaded). TOC lists printed p159 but content is physical pp 162-174 (offset varies; 'Cottonwood Heights city' header at p162, 'Draper city' at p175). Reports YEAR 2-5 status; cites Res 2025-51 adoption resolution (doc 10101). Sidecar: text/cottonwood_heights-2025.txt (no neighbor bleed)."
