stem,bytes,chars,status
9145_pc_regular,2443784,133120,extracted
9233_pc_admin_hearing,2130382,20607,extracted
9229_pc_regular,521680,44375,extracted
9339_pc_admin_hearing,23344727,28825,extracted
9357_pc_regular,3214755,110459,extracted
9395_pc_regular,16359521,988629,extracted
9427_pc_regular,21511134,249101,extracted
9571_pc_regular,3856231,106944,extracted
9633_pc_admin_hearing,1724123,9633,extracted
9727_pc_regular,1903849,57981,extracted
9829_pc_regular,3945981,87830,extracted
9931_pc_admin_hearing,14417661,16565,extracted
9939_pc_regular,2118645,166364,extracted
10129_pc_regular,3725570,94444,extracted
10161_pc_admin_hearing,8442022,19310,extracted
10167_pc_regular,1550205,29726,extracted
10205_council_regular,15834456,280694,extracted
10264_council_regular,4407974,137866,extracted
10260_pc_regular,7774991,288585,extracted
10290_council_regular,2690283,69955,extracted
10333_pc_admin_hearing,19702278,9427,extracted
10461_pc_regular,157419,5789,extracted
10345_council_regular,5530138,223551,extracted
10401_council_regular,8922373,182943,extracted
10447_pc_admin_hearing,2374135,30693,extracted
10491_council_regular,14554843,388862,extracted
10539_council_regular,3537232,88313,extracted
10525_pc_admin_hearing,6948050,9387,extracted
10533_pc_regular,9273349,93243,extracted
10589_pc_regular,9143708,82295,extracted
10581_council_regular,18669974,401702,extracted
10625_council_regular,10888516,223296,extracted
10647_pc_admin_hearing,1562704,16792,extracted
10669_council_regular,10449260,283574,extracted
10665_pc_regular,5950518,158431,extracted
10785_council_regular,11584015,208778,extracted
10795_pc_regular,16117406,696300,extracted
10845_council_regular,5971284,368936,extracted
10861_council_regular,5903637,181346,extracted
10875_pc_regular,7042100,174428,extracted
10960_pc_regular,5926315,91042,extracted
10970_council_regular,9030513,227381,extracted
11002_council_regular,11590097,260104,extracted
11045_council_regular,15018682,427376,extracted
11035_pc_regular,24480026,131165,extracted
11091_council_regular,8548060,497656,extracted
11143_council_regular,8730855,303292,extracted
11111_pc_admin_hearing,5173905,103186,extracted
11135_pc_regular,17095824,198227,extracted
11180_council_regular,7805565,552065,extracted
11204_pc_regular,28802171,1522938,extracted
12218_council_regular,13180712,241259,extracted
