mdate,outbody,slug,body,body_name,notice_id,file_id,filename,cls
2020-03-11,PlanningCommission,administrative-hearing,3287,Administrative Hearings,593971,585471,2020_03_11 ADM - Minutes.pdf,admin
2020-06-17,PlanningCommission,administrative-hearing,3287,Administrative Hearings,611525,617491,6-17-20 Admin Hearing -Approved Minutes.pdf,admin
2020-07-01,PlanningCommission,administrative-hearing,3287,Administrative Hearings,614275,619871,2020_07_01 ADM - Approved Minutes.pdf,admin
2020-09-02,PlanningCommission,administrative-hearing,3287,Administrative Hearings,624517,643581,2020_09_02 ADM - Approved Minutes.pdf,admin
2021-03-17,PlanningCommission,administrative-hearing,3287,Administrative Hearings,663903,705355,03-17-21 CH Admin Hearing  - Minutes.pdf,admin
2021-04-07,PlanningCommission,administrative-hearing,3287,Administrative Hearings,668579,705239,ADM Minutes 04-07-2021.pdf,admin
2021-05-26,PlanningCommission,administrative-hearing,3287,Administrative Hearings,677133,736931,052621 CH Admin Hearing- Approved Minutes.pdf,admin
2021-09-29,PlanningCommission,administrative-hearing,3287,Administrative Hearings,705571,773581,2021_09_29 ADM - Approved Minutes.pdf,admin
2021-12-15,PlanningCommission,administrative-hearing,3287,Administrative Hearings,722011,794531,2021_12_15 ADM -Minutes.pdf,admin
2022-02-09,PlanningCommission,administrative-hearing,3287,Administrative Hearings,732281,814429,2022_02_09 ADM - Minutes.pdf,admin
2022-03-30,PlanningCommission,administrative-hearing,3287,Administrative Hearings,744711,838291,033022 CH Admin Hearing - Approved Minutes .pdf,admin
2022-05-18,PlanningCommission,administrative-hearing,3287,Administrative Hearings,755759,855875,2022_05_18 ADM -Minutes.pdf,admin
2022-06-08,PlanningCommission,administrative-hearing,3287,Administrative Hearings,760229,869299,060822 CH Admin Hearing - Approved Minutes.pdf,admin
2022-07-06,PlanningCommission,planning-commission,2148,Planning Commission,766619,877389,4.1.1 070622 CHPC Mtg - Approved Minutes.pdf,pc
2022-10-12,PlanningCommission,administrative-hearing,3287,Administrative Hearings,786449,903707,101222 CH Admin. Hearing -Approve Minutes.pdf,admin
2023-03-01,PlanningCommission,administrative-hearing,3287,Administrative Hearings,815363,978975,030123 CH Admin Hearing Minutes Approved.pdf,admin
