date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,1,MOTION: Council Member Bracken moved to adjourn. The motion was seconded by Council Member Petersen,Procedural/Administrative,Passed (unanimous consent),Scott Bracken,Douglas Petersen,,,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,2,"MOTION: Council Member Mikell moved to APPROVE Ordinance 356 Approving an Amendment to the 2020-2021 Budget. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Budget Amendment,Passed unanimously,Christine Mikell,Douglas Petersen,Christine Mikell,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,2,"MOTION: Council Member Mikell moved to APPROVE Ordinance 356 Approving an Amendment to the 2020-2021 Budget. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Budget Amendment,Passed unanimously,Christine Mikell,Douglas Petersen,Scott Bracken,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,2,"MOTION: Council Member Mikell moved to APPROVE Ordinance 356 Approving an Amendment to the 2020-2021 Budget. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Budget Amendment,Passed unanimously,Christine Mikell,Douglas Petersen,Douglas Petersen,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,2,"MOTION: Council Member Mikell moved to APPROVE Ordinance 356 Approving an Amendment to the 2020-2021 Budget. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Budget Amendment,Passed unanimously,Christine Mikell,Douglas Petersen,Michael Peterson,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,3,"MOTION: Council Member Bracken moved to CONTINUE Ordinance 357-D until the June 15, 2021, City Council Business Meeting. The motion was seconded by Council Member Mikell. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Ordinance,Passed unanimously,Scott Bracken,Christine Mikell,Christine Mikell,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,3,"MOTION: Council Member Bracken moved to CONTINUE Ordinance 357-D until the June 15, 2021, City Council Business Meeting. The motion was seconded by Council Member Mikell. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Ordinance,Passed unanimously,Scott Bracken,Christine Mikell,Scott Bracken,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,3,"MOTION: Council Member Bracken moved to CONTINUE Ordinance 357-D until the June 15, 2021, City Council Business Meeting. The motion was seconded by Council Member Mikell. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Ordinance,Passed unanimously,Scott Bracken,Christine Mikell,Douglas Petersen,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,3,"MOTION: Council Member Bracken moved to CONTINUE Ordinance 357-D until the June 15, 2021, City Council Business Meeting. The motion was seconded by Council Member Mikell. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Ordinance,Passed unanimously,Scott Bracken,Christine Mikell,Michael Peterson,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,4,"MOTION: Council Member Bracken moved to APPROVE Resolution 2021-22 accepting requests for indemnification. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen- Aye, Mayor Mike Peterson-Aye",Resolution,Passed unanimously,Scott Bracken,Douglas Petersen,Christine Mikell,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,4,"MOTION: Council Member Bracken moved to APPROVE Resolution 2021-22 accepting requests for indemnification. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen- Aye, Mayor Mike Peterson-Aye",Resolution,Passed unanimously,Scott Bracken,Douglas Petersen,Scott Bracken,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,4,"MOTION: Council Member Bracken moved to APPROVE Resolution 2021-22 accepting requests for indemnification. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen- Aye, Mayor Mike Peterson-Aye",Resolution,Passed unanimously,Scott Bracken,Douglas Petersen,Douglas Petersen,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,4,"MOTION: Council Member Bracken moved to APPROVE Resolution 2021-22 accepting requests for indemnification. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen- Aye, Mayor Mike Peterson-Aye",Resolution,Passed unanimously,Scott Bracken,Douglas Petersen,Michael Peterson,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,5,"MOTION: Council Member Mikell moved to APPROVE Resolution 2021-23 awarding a retiring police officer his badge and approving his purchase of a firearm. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Contract/Purchase,Passed unanimously,Christine Mikell,Douglas Petersen,Christine Mikell,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,5,"MOTION: Council Member Mikell moved to APPROVE Resolution 2021-23 awarding a retiring police officer his badge and approving his purchase of a firearm. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Contract/Purchase,Passed unanimously,Christine Mikell,Douglas Petersen,Scott Bracken,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,5,"MOTION: Council Member Mikell moved to APPROVE Resolution 2021-23 awarding a retiring police officer his badge and approving his purchase of a firearm. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Contract/Purchase,Passed unanimously,Christine Mikell,Douglas Petersen,Douglas Petersen,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,5,"MOTION: Council Member Mikell moved to APPROVE Resolution 2021-23 awarding a retiring police officer his badge and approving his purchase of a firearm. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Contract/Purchase,Passed unanimously,Christine Mikell,Douglas Petersen,Michael Peterson,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,6,"MOTION: Council Member Bracken moved to APPROVE Resolution 2021-24 approving a Fireworks Display Contract with Lantis Productions for 2021 Butlerville Days. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Contract/Purchase,Passed unanimously,Scott Bracken,Douglas Petersen,Christine Mikell,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,6,"MOTION: Council Member Bracken moved to APPROVE Resolution 2021-24 approving a Fireworks Display Contract with Lantis Productions for 2021 Butlerville Days. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Contract/Purchase,Passed unanimously,Scott Bracken,Douglas Petersen,Scott Bracken,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,6,"MOTION: Council Member Bracken moved to APPROVE Resolution 2021-24 approving a Fireworks Display Contract with Lantis Productions for 2021 Butlerville Days. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Contract/Purchase,Passed unanimously,Scott Bracken,Douglas Petersen,Douglas Petersen,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,6,"MOTION: Council Member Bracken moved to APPROVE Resolution 2021-24 approving a Fireworks Display Contract with Lantis Productions for 2021 Butlerville Days. The motion was seconded by Council Member Petersen. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Contract/Purchase,Passed unanimously,Scott Bracken,Douglas Petersen,Michael Peterson,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,7,"MOTION: Council Member Petersen moved to APPROVE Resolution 2021-25 approving Performance Contracts for 2021 Butlerville Days. The motion was seconded by Council Member Bracken. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Resolution,Passed unanimously,Douglas Petersen,Scott Bracken,Christine Mikell,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,7,"MOTION: Council Member Petersen moved to APPROVE Resolution 2021-25 approving Performance Contracts for 2021 Butlerville Days. The motion was seconded by Council Member Bracken. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Resolution,Passed unanimously,Douglas Petersen,Scott Bracken,Scott Bracken,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,7,"MOTION: Council Member Petersen moved to APPROVE Resolution 2021-25 approving Performance Contracts for 2021 Butlerville Days. The motion was seconded by Council Member Bracken. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Resolution,Passed unanimously,Douglas Petersen,Scott Bracken,Douglas Petersen,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,7,"MOTION: Council Member Petersen moved to APPROVE Resolution 2021-25 approving Performance Contracts for 2021 Butlerville Days. The motion was seconded by Council Member Bracken. Vote on motion: Council Member Mikell-Aye, Council Member Bracken-Aye, Council Member Petersen-Aye, Mayor Mike Peterson-Aye",Resolution,Passed unanimously,Douglas Petersen,Scott Bracken,Michael Peterson,Aye,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,8,MOTION: Council Member Petersen moved to APPROVE the City Council Work Session and Business . The motion was seconded by Council Member Mikell,Other,Passed (unanimous consent),Douglas Petersen,Christine Mikell,,,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
2021-06-01,2021,City Council — 06-01-2021 CH CC Work Session and Business Meeting Minutes-APPROVED.pdf,Council,9,MOTION: Council Member Bracken moved to adjourn the City Council Business Meeting. The motion was seconded by Council Member Mikell,Procedural/Administrative,Passed (unanimous consent),Scott Bracken,Christine Mikell,,,minutes/2021/2021-05-31/2021-06-01_work-session-and-business-meeting.md,minutes
