date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,1,MOTION: Council Member Birrell moved to ADJOURN the City Council Work Session. The motion was seconded by Council Member Bracken,Procedural/Administrative,Passed (unanimous consent),Ellen Birrell,Scott Bracken,,,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,2,MOTION: Council Member Bracken moved to amend the order of the agenda items to move the Action Items to the first order of business. Council Member Newell seconded the motion,Other,Passed (unanimous consent),Scott Bracken,Shawn E. Newell,,,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,3,"MOTION: Council Member Bracken moved to APPROVE Resolution 2023-15, Adopting a Revised Use Policy and Fee Schedule for Non-City use of Cottonwood Heights City Hall. The motion was seconded by Council Member Birrell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Mike Weichers-Aye",Resolution,Passed unanimously,Scott Bracken,Ellen Birrell,Scott Bracken,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,3,"MOTION: Council Member Bracken moved to APPROVE Resolution 2023-15, Adopting a Revised Use Policy and Fee Schedule for Non-City use of Cottonwood Heights City Hall. The motion was seconded by Council Member Birrell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Mike Weichers-Aye",Resolution,Passed unanimously,Scott Bracken,Ellen Birrell,Shawn E. Newell,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,3,"MOTION: Council Member Bracken moved to APPROVE Resolution 2023-15, Adopting a Revised Use Policy and Fee Schedule for Non-City use of Cottonwood Heights City Hall. The motion was seconded by Council Member Birrell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Mike Weichers-Aye",Resolution,Passed unanimously,Scott Bracken,Ellen Birrell,Ellen Birrell,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,3,"MOTION: Council Member Bracken moved to APPROVE Resolution 2023-15, Adopting a Revised Use Policy and Fee Schedule for Non-City use of Cottonwood Heights City Hall. The motion was seconded by Council Member Birrell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Mike Weichers-Aye",Resolution,Passed unanimously,Scott Bracken,Ellen Birrell,Mike Weichers,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,4,"MOTION: Council Member Newell moved to APPROVE Resolution 2023-16 Approving and ratifying additional settlements in the National Opioid Litigation. The motion was seconded by Council Member Bracken. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Abstained, Mayor Mike Weichers-Aye",Resolution,Passed unanimously (with one abstention),Shawn E. Newell,Scott Bracken,Scott Bracken,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,4,"MOTION: Council Member Newell moved to APPROVE Resolution 2023-16 Approving and ratifying additional settlements in the National Opioid Litigation. The motion was seconded by Council Member Bracken. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Abstained, Mayor Mike Weichers-Aye",Resolution,Passed unanimously (with one abstention),Shawn E. Newell,Scott Bracken,Shawn E. Newell,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,4,"MOTION: Council Member Newell moved to APPROVE Resolution 2023-16 Approving and ratifying additional settlements in the National Opioid Litigation. The motion was seconded by Council Member Bracken. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Abstained, Mayor Mike Weichers-Aye",Resolution,Passed unanimously (with one abstention),Shawn E. Newell,Scott Bracken,Mike Weichers,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,4,"MOTION: Council Member Newell moved to APPROVE Resolution 2023-16 Approving and ratifying additional settlements in the National Opioid Litigation. The motion was seconded by Council Member Bracken. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Abstained, Mayor Mike Weichers-Aye",Resolution,Passed unanimously (with one abstention),Shawn E. Newell,Scott Bracken,Ellen Birrell,Abstain,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,5,"MOTION: Council Member Bracken moved to APPROVE Resolution 2023-17 Consenting to reappointments to the Architectural Review Commission. The motion was seconded by Council Member Birrell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Mike Weichers-Aye",Appointment,Passed unanimously,Scott Bracken,,Scott Bracken,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,5,"MOTION: Council Member Bracken moved to APPROVE Resolution 2023-17 Consenting to reappointments to the Architectural Review Commission. The motion was seconded by Council Member Birrell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Mike Weichers-Aye",Appointment,Passed unanimously,Scott Bracken,,Shawn E. Newell,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,5,"MOTION: Council Member Bracken moved to APPROVE Resolution 2023-17 Consenting to reappointments to the Architectural Review Commission. The motion was seconded by Council Member Birrell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Mike Weichers-Aye",Appointment,Passed unanimously,Scott Bracken,,Ellen Birrell,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,5,"MOTION: Council Member Bracken moved to APPROVE Resolution 2023-17 Consenting to reappointments to the Architectural Review Commission. The motion was seconded by Council Member Birrell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Mike Weichers-Aye",Appointment,Passed unanimously,Scott Bracken,,Mike Weichers,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,6,"MOTION: Council Member Birrell moved to APPROVE Resolution 2023-18 Consenting to an Appointment to the Arts Council. The motion was seconded by Council Member Newell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell- Aye, Mayor Mike Weichers-Aye",Appointment,Passed unanimously,Ellen Birrell,Shawn E. Newell,Scott Bracken,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,6,"MOTION: Council Member Birrell moved to APPROVE Resolution 2023-18 Consenting to an Appointment to the Arts Council. The motion was seconded by Council Member Newell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell- Aye, Mayor Mike Weichers-Aye",Appointment,Passed unanimously,Ellen Birrell,Shawn E. Newell,Shawn E. Newell,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,6,"MOTION: Council Member Birrell moved to APPROVE Resolution 2023-18 Consenting to an Appointment to the Arts Council. The motion was seconded by Council Member Newell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell- Aye, Mayor Mike Weichers-Aye",Appointment,Passed unanimously,Ellen Birrell,Shawn E. Newell,Ellen Birrell,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,6,"MOTION: Council Member Birrell moved to APPROVE Resolution 2023-18 Consenting to an Appointment to the Arts Council. The motion was seconded by Council Member Newell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell- Aye, Mayor Mike Weichers-Aye",Appointment,Passed unanimously,Ellen Birrell,Shawn E. Newell,Mike Weichers,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,7,"MOTION: Council Member Bracken moved to APPROVE Resolution 2023-19 Consenting to Appointments to the Parks, Trails, and Open Space Committee. The motion was seconded by Council Member Newell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Mike Weichers-Aye",Appointment,Passed unanimously,Scott Bracken,Shawn E. Newell,Scott Bracken,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,7,"MOTION: Council Member Bracken moved to APPROVE Resolution 2023-19 Consenting to Appointments to the Parks, Trails, and Open Space Committee. The motion was seconded by Council Member Newell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Mike Weichers-Aye",Appointment,Passed unanimously,Scott Bracken,Shawn E. Newell,Shawn E. Newell,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,7,"MOTION: Council Member Bracken moved to APPROVE Resolution 2023-19 Consenting to Appointments to the Parks, Trails, and Open Space Committee. The motion was seconded by Council Member Newell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Mike Weichers-Aye",Appointment,Passed unanimously,Scott Bracken,Shawn E. Newell,Ellen Birrell,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,7,"MOTION: Council Member Bracken moved to APPROVE Resolution 2023-19 Consenting to Appointments to the Parks, Trails, and Open Space Committee. The motion was seconded by Council Member Newell. Vote on motion: Council Member Bracken-Aye, Council Member Newell-Aye, Council Member Birrell-Aye, Mayor Mike Weichers-Aye",Appointment,Passed unanimously,Scott Bracken,Shawn E. Newell,Mike Weichers,Aye,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,8,"MOTION: Council Member Birrell moved to APPROVE the Minutes from the City Council Legislative Work Session of March 2, 2023, and the City Council Work Session and Business Meeting of April 4, 2023. The motion was seconded by Council Member Newell",Procedural/Administrative,Passed (unanimous consent),Ellen Birrell,Shawn E. Newell,,,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
2023-04-18,2023,"City Council — April 18, 2023 Work Session and Business Meeting&nbsp;",Council,9,MOTION: Council Member Birrell moved to ADJOURN. The motion was seconded by Council Member Newell,Procedural/Administrative,Passed (unanimous consent),Ellen Birrell,Shawn E. Newell,,,minutes/2023/2023-04-17/2023-04-18_work-session-and-business-meeting.md,minutes
