precinct,county,CountyID,district,seat_basis
25DR01,Utah,25,At-Large,all 5 council seats city-wide + Mayor
25DR02,Utah,25,At-Large,all 5 council seats city-wide + Mayor
25DR03,Utah,25,At-Large,all 5 council seats city-wide + Mayor
DRP001,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP002,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP003,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP004,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP005,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP006,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP007,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP008,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP009,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP010,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP011,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP012,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP013,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP014,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP015,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP016,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP017,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP018,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP019,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP020,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP021,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP022,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP023,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP024,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP025,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP026,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP027,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP028,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP029,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
DRP901,Salt Lake,18,At-Large,all 5 council seats city-wide + Mayor
