date,title,doc_type,source_url,retrieved_date,format,extraction_method,path,pages,repository,notes
2019-11-19,"Draper City General Plan (adopted 2019, retained file = v2025 as amended)",general_plan,https://www.draperutah.gov/media/cvgk0fmy/draper-city-general-plan-v2025.pdf,2026-07-13,text,pdftotext -layout,raw/draper-city-general-plan-v2025.pdf,249,Draper (draperutah.gov),"Adopted by Ordinance #1412 on 2019-11-19; city labels it the '2019 General Plan'. Retained file is the current amended version (TABLE OF AMENDMENTS: Ord #1561 2022-09-20 + Ord #1623 2024-09-17 Housing Element amendments; Ord #1635/#1670/#1692 Station Area Plans incorporated by reference; Ord #1694 Water element). Chapter 4 'Housing (2024)' = the MIH element (physical pp 20-27); Appendix A = MIH Study Sept 2022 (pp 67-83)."
2022-09-20,"Ordinance #1561 + Moderate Income Housing Study (Sept 2022) — as-adopted MIH element package",mih_element,https://www.draperutah.gov/media/t1ydjz1u/draper-city-annual-moderate-income-housing-report-2022-website_202209301702313669.pdf,2026-07-13,text,pdftotext -layout,raw/draper-annual-mih-report-2022.pdf,13-42,Draper (draperutah.gov),"Draper's HB 462 (10-9a-403) MIH element was adopted as a General Plan Housing Element amendment by Ordinance #1561 (passed 2022-09-20, 4-0, Green absent — row in meeting_minutes/all_votes.csv). The signed ordinance (pp 13-25) + the Sept 2022 MIH Study (pp 26-42) are preserved as Appendix A INSIDE the 2022 annual report PDF; no standalone element PDF is published. Sidecar: text/draper-mih-element-2022-ord1561.txt."
2024-09-17,"General Plan Chapter 4 'Housing (2024)' — current MIH element as amended by Ordinance #1623",mih_element,https://www.draperutah.gov/media/cvgk0fmy/draper-city-general-plan-v2025.pdf,2026-07-13,text,pdftotext -layout,raw/draper-city-general-plan-v2025.pdf,20-27,Draper (draperutah.gov),"Ordinance #1623 (passed 2024-09-17, 4-0 — row in meeting_minutes/all_votes.csv) amended the Housing Element: per the 2025 state filing it added strategy E (ADU deregulation) and removed strategy L. Excerpt = physical pp 20-27 of the retained General Plan v2025. Sidecar: text/draper-mih-element-2024-gp-ch4.txt."
2020,Draper City Annual Moderate Income Housing Report 2020,mih_annual_report,https://www.draperutah.gov/DocumentCenter/View/10662/Draper-City-Annual-Moderate-Income-Housing-Report-2020,2026-07-13,text,pdftotext -layout,raw/draper-annual-mih-report-2020.pdf,87,Draper (draperutah.gov),"Pre-HB 462 annual report on the DWS-HCD 899 form (dated 10/2020). DEAD on the live site (CivicPlus DocumentCenter retired in the CMS migration); recovered from Internet Archive Wayback capture 20210811203914 of the original URL."
2022,Draper City Annual Moderate Income Housing Report 2022,mih_annual_report,https://www.draperutah.gov/media/t1ydjz1u/draper-city-annual-moderate-income-housing-report-2022-website_202209301702313669.pdf,2026-07-13,text,pdftotext -layout,raw/draper-annual-mih-report-2022.pdf,42,Draper (draperutah.gov),"First HB 462-era filing: composite screenshots of the DWS submittal form + Appendix A = signed Ordinance #1561 and the Sept 2022 MIH Study (see the 2022-09-20 mih_element row). DEAD on the live site (404); recovered from Wayback capture 20240328082308."
2023-07-31,Draper City Moderate Income Housing Plan — 2023 Subsequent Progress Report (as submitted),mih_annual_report,https://www.draperutah.gov/media/5t4n5rog/2023-moderate-income-housing-report-submitted.pdf,2026-07-13,text,pdftotext -layout,raw/draper-mih-report-2023-submitted.pdf,29,Draper (draperutah.gov),"City-posted copy of the responses submitted 2023-07-31 via Google Forms to DWS HCD (10-9a-408 subsequent progress report). DEAD on the live site (404); recovered from Wayback capture 20240328011958. State-published copy = the hcd-23reports.pdf excerpt row."
2024,Draper City Moderate Income Housing Plan — 2024 Subsequent Progress Report,mih_annual_report,https://www.draperutah.gov/media/h2qnp5gf/moderate-income-housing-report-2024.pdf,2026-07-13,text,pdftotext -layout,raw/draper-mih-report-2024.pdf,13,Draper (draperutah.gov),"City-posted response summary of the 2024 filing. DEAD on the live site (the /media/h2qnp5gf/ item was overwritten by the 2025 report, then superseded); recovered from Wayback capture 20250404065348 (an earlier capture 20250114203852 is payload-truncated at 1 MiB — do not use). State copy = hcd-24reports.pdf excerpt row."
2025,Draper City Moderate Income Housing Plan — 2025 Subsequent Progress Report,mih_annual_report,https://www.draperutah.gov/media/dwhne000/moderate-income-housing-report-2025.pdf,2026-07-13,text,pdftotext -layout,raw/moderate-income-housing-report-2025.pdf,19,Draper (draperutah.gov),"City-posted response summary of the 2025 filing (due 2025-08-01); LIVE, linked as 'Moderate Income Housing Report (2025)' from /city-government/public-records-and-plans/master-plans/. State copy = hcd-25reports.pdf excerpt row."
2023,Draper annual MIH report — 2023 statewide compilation (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/23reports.pdf,2026-07-12,text,pdftotext -layout,raw/hcd-23reports.pdf,139-155,Utah DWS HCD (jobs.utah.gov),"Draper's 10-9a-408 report as published in the statewide 23reports.pdf compilation (1109 pp; no per-city title pages; TOC printed page = physical-1: Draper printed 138 -> physical 139). Draper = physical pp 139-155; p139 head carries ~4 lines of Cottonwood Heights' tail and p155 tail carries Eagle Mountain's header (reports share pages in this year's format — documented bleed). Sidecar: text/draper-2023.txt."
2024,Draper annual MIH report — 2024 statewide compilation (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/24reports.pdf,2026-07-12,text,pdftotext -layout,raw/hcd-24reports.pdf,126-136,Utah DWS HCD (jobs.utah.gov),"Draper's report in the statewide 24reports.pdf compilation (1030 physical pp, 2-up: TOC printed 250 ~= 2x physical). 'Draper city' header p126; Eagle Mountain starts p137 -> Draper = physical pp 126-136 (no neighbor bleed). CAVEAT: 2-up layout interleaves the two printed columns under pdftotext -layout — read the sidecar as two parallel columns. Sidecar: text/draper-2024.txt."
2025,Draper annual MIH report — 2025 statewide compilation (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/25reports.pdf,2026-07-12,text,pdftotext -layout,raw/hcd-25reports.pdf,175-195,Utah DWS HCD (jobs.utah.gov),"Draper's report in the statewide 25reports.pdf compilation (1303 pp). 'Draper city' header p175 (filed by Todd Taylor); Eagle Mountain starts p196 -> Draper = physical pp 175-195 (no neighbor bleed). Documents the 2024 Housing Element amendment (strategy E added / L removed) and the Town Center SAP adoption 2025-03-04. Sidecar: text/draper-2025.txt."
2021,Draper SB 34 Municipal Progress Summary 2019-2021 (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/sb34.pdf,2026-07-12,text,pdftotext -layout,raw/hcd-sb34.pdf,29,Utah DWS HCD (jobs.utah.gov),"Draper's SB 34 progress summary within the statewide sb34.pdf (199 pp, covers 2019-2021; Draper is summary #15, County: Salt Lake, AOG/MPO WFRC, 3 required items, 5 total menu items). Draper = physical p29 only (2-up layout; Eagle Mountain starts p30; no bleed). Sidecar: text/draper-sb34-2019-2021.txt."
