notice_id,notice_url,kind,primary_ordinance_no,stated_adoption_date,posted_date,title_or_first_body_line
1004331,https://www.utah.gov/pmn/sitemap/notice/1004331.html,adoption,1654,2025-06-18,2025-06-18,City of Draper Notice of Ordinance Adoption - Ordinance #1654
1004343,https://www.utah.gov/pmn/sitemap/notice/1004343.html,adoption,1655,2025-06-18,2025-06-18,City of Draper Notice of Ordinance Adoption - Ordinance #1655
1004355,https://www.utah.gov/pmn/sitemap/notice/1004355.html,adoption,1656,2025-06-18,2025-06-18,City of Draper Notice of Ordinance Adoption - Ordinance #1656
1004361,https://www.utah.gov/pmn/sitemap/notice/1004361.html,adoption,1657,2025-06-18,2025-06-18,City of Draper Notice of Ordinance Adoption - Ordinance #1657
1004363,https://www.utah.gov/pmn/sitemap/notice/1004363.html,adoption,1658,2025-06-18,2025-06-18,City of Draper Notice of Ordinance Adoption - Ordinance #1658
1004367,https://www.utah.gov/pmn/sitemap/notice/1004367.html,adoption,1659,2025-06-18,2025-06-18,City of Draper Notice of Ordinance Adoption - Ordinance #1659
1007179,https://www.utah.gov/pmn/sitemap/notice/1007179.html,adoption,1640,2025-04-01,2025-07-02,City of Draper Notice of Ordinance Adoption - Ordinance #1640
1007183,https://www.utah.gov/pmn/sitemap/notice/1007183.html,adoption,1641,2025-04-01,2025-07-02,City of Draper Notice of Ordinance Adoption - Ordinance #1641
1007199,https://www.utah.gov/pmn/sitemap/notice/1007199.html,adoption,1660,2025-07-01,2025-07-02,City of Draper Notice of Ordinance Adoption - Ordinance #1660
1007201,https://www.utah.gov/pmn/sitemap/notice/1007201.html,adoption,1661,2025-07-01,2025-07-02,City of Draper Notice of Ordinance Adoption - Ordinance #1661
1007203,https://www.utah.gov/pmn/sitemap/notice/1007203.html,adoption,1662,2025-07-01,2025-07-02,City of Draper Notice of Ordinance Adoption - Ordinance #1662
1007205,https://www.utah.gov/pmn/sitemap/notice/1007205.html,adoption,1663,2025-07-01,2025-07-02,City of Draper Notice of Ordinance Adoption - Ordinance #1663
1007207,https://www.utah.gov/pmn/sitemap/notice/1007207.html,adoption,1664,2025-07-01,2025-07-02,City of Draper Notice of Ordinance Adoption - Ordinance #1664
