date,title,body,video_url,video_id,caption_type,source_url,retrieved_date,format,extraction_method,path,word_count,youtube_duration_s,duplicate_video_id,granicus_clip_id,granicus_media_url,granicus_mp4_url,note
2026-01-06,City Council - Draper City - 2026-01-06,Council,https://www.youtube.com/watch?v=I1UVFWFn6p0,I1UVFWFn6p0,asr,https://www.youtube.com/watch?v=I1UVFWFn6p0,2026-07-13,caption,yt-dlp --write-auto-sub (YouTube timedtext ASR); cleaned by clean_vtt.py,text/2026-01-06_city-council.md,6053,3452,,1993,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=1993,https://archive-video.granicus.com/draper/draper_4500ce8b-4df6-4ef7-a596-eb12a92ab78e.mp4,
2026-01-07,"Parks, Trails & Recreation Committee - Draper City - 2026-01-07",ParksTrailsRecreationCommittee,https://www.youtube.com/watch?v=PRU0sWMU2-Q,PRU0sWMU2-Q,none,https://www.youtube.com/watch?v=PRU0sWMU2-Q,2026-07-13,na,no_caption_track_on_source,,,5402,,1994,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=1994,https://archive-video.granicus.com/draper/draper_cb7e6183-b8a6-427d-8620-1b0a8cb04e4e.mp4,
2026-01-08,Planning Commission - Draper City - 2026-01-08,PlanningCommission,https://www.youtube.com/watch?v=dgBCV6Rb4eY,dgBCV6Rb4eY,asr,https://www.youtube.com/watch?v=dgBCV6Rb4eY,2026-07-13,na,not_retrieved_sample_policy,,,2057,,1995,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=1995,https://archive-video.granicus.com/draper/draper_04e89f3c-dc39-4b64-a549-12d9991a1489.mp4,
2026-01-09,Appeals and Variance Hearing Officer - Draper City - 2026-01-09,AppealsVarianceOfficer,https://www.youtube.com/watch?v=TrnjKgibHs4,TrnjKgibHs4,asr,https://www.youtube.com/watch?v=TrnjKgibHs4,2026-07-13,na,not_retrieved_sample_policy,,,4332,,1996,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=1996,https://archive-video.granicus.com/draper/draper_41e8d156-ab1d-4cdb-8649-24c823b06261.mp4,
2026-01-20,City Council - Draper City - 2026-01-20,Council,https://www.youtube.com/watch?v=GVkmHI9LHOw,GVkmHI9LHOw,asr,https://www.youtube.com/watch?v=GVkmHI9LHOw,2026-07-13,caption,yt-dlp --write-auto-sub (YouTube timedtext ASR); cleaned by clean_vtt.py,text/2026-01-20_city-council.md,8677,3770,,1998,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=1998,https://archive-video.granicus.com/draper/draper_fb73be87-9e19-4794-bfe8-30176a499b5f.mp4,
2026-01-21,Historic Preservation Commission - Draper City - 2026-01-21,HistoricPreservationCommission,https://www.youtube.com/watch?v=NZe2hqAfTlE,NZe2hqAfTlE,asr,https://www.youtube.com/watch?v=NZe2hqAfTlE,2026-07-13,na,not_retrieved_sample_policy,,,4402,,2004,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2004,https://archive-video.granicus.com/draper/draper_72c49361-efa2-4762-9a70-b334ca56c227.mp4,
2026-01-22,Planning Commission - Draper City - 2026-01-22,PlanningCommission,https://www.youtube.com/watch?v=4sWyiuiSXmg,4sWyiuiSXmg,asr,https://www.youtube.com/watch?v=4sWyiuiSXmg,2026-07-13,na,not_retrieved_sample_policy,,,1260,,2005,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2005,https://archive-video.granicus.com/draper/draper_ec236aea-7e5e-4a5f-842b-1236d27b6ee8.mp4,
2026-02-03,City Council - Draper City - 2026-02-03,Council,https://www.youtube.com/watch?v=F3GDW_R0Ays,F3GDW_R0Ays,asr,https://www.youtube.com/watch?v=F3GDW_R0Ays,2026-07-13,caption,yt-dlp --write-auto-sub (YouTube timedtext ASR); cleaned by clean_vtt.py,text/2026-02-03_city-council.md,8120,5193,u7NLDfVLDxw,2027,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2027,https://archive-video.granicus.com/draper/draper_7cb5b640-9267-473b-9183-ad4c6feb079a.mp4,mirror video 5193s vs Granicus clip 6120s — mirror likely truncated
2026-02-10,City Council - Draper City - 2026-02-10,Council,https://www.youtube.com/watch?v=DTsVLbKDUiA,DTsVLbKDUiA,asr,https://www.youtube.com/watch?v=DTsVLbKDUiA,2026-07-13,caption,yt-dlp --write-auto-sub (YouTube timedtext ASR); cleaned by clean_vtt.py,text/2026-02-10_city-council.md,22465,10456,OpSLFwe707I,2033,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2033,https://archive-video.granicus.com/draper/draper_5a5d222c-2b5e-41de-8f6a-a18cd8202151.mp4,
2026-02-12,Planning Commission - Draper City - 2026-02-12,PlanningCommission,https://www.youtube.com/watch?v=1JIc4WFwIRU,1JIc4WFwIRU,asr,https://www.youtube.com/watch?v=1JIc4WFwIRU,2026-07-13,na,not_retrieved_sample_policy,,,1239,ridEoRFTMnw,2034,https://draper.granicus.com/MediaPlayer.php?view_id=1&clip_id=2034,https://archive-video.granicus.com/draper/draper_39f90d14-25d7-429f-b241-29dc54e5fd6b.mp4,
