date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2022-02-15,2022,City Council Meeting,Council,1,Councilmember Vawdrey moved to recess to a closed session to discuss Property Acquisition,Procedural/Administrative,4-0 Pass,Councilmember Vawdrey,Councilmember F. Lowry,Councilmember T. Lowery,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
2022-02-15,2022,City Council Meeting,Council,1,Councilmember Vawdrey moved to recess to a closed session to discuss Property Acquisition,Procedural/Administrative,4-0 Pass,Councilmember Vawdrey,Councilmember F. Lowry,Councilmember F. Lowry,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
2022-02-15,2022,City Council Meeting,Council,1,Councilmember Vawdrey moved to recess to a closed session to discuss Property Acquisition,Procedural/Administrative,4-0 Pass,Councilmember Vawdrey,Councilmember F. Lowry,Councilmember Roberts,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
2022-02-15,2022,City Council Meeting,Council,1,Councilmember Vawdrey moved to recess to a closed session to discuss Property Acquisition,Procedural/Administrative,4-0 Pass,Councilmember Vawdrey,Councilmember F. Lowry,Councilmember Vawdrey,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
2022-02-15,2022,City Council Meeting,Council,2,Councilmember T. Lowery moved to approve the Consent Items,Procedural/Administrative,5-0 Pass,Councilmember T. Lowery,Councilmember Vawdrey,Councilmember Green,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
2022-02-15,2022,City Council Meeting,Council,2,Councilmember T. Lowery moved to approve the Consent Items,Procedural/Administrative,5-0 Pass,Councilmember T. Lowery,Councilmember Vawdrey,Councilmember T. Lowery,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
2022-02-15,2022,City Council Meeting,Council,2,Councilmember T. Lowery moved to approve the Consent Items,Procedural/Administrative,5-0 Pass,Councilmember T. Lowery,Councilmember Vawdrey,Councilmember F. Lowry,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
2022-02-15,2022,City Council Meeting,Council,2,Councilmember T. Lowery moved to approve the Consent Items,Procedural/Administrative,5-0 Pass,Councilmember T. Lowery,Councilmember Vawdrey,Councilmember Roberts,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
2022-02-15,2022,City Council Meeting,Council,2,Councilmember T. Lowery moved to approve the Consent Items,Procedural/Administrative,5-0 Pass,Councilmember T. Lowery,Councilmember Vawdrey,Councilmember Vawdrey,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
2022-02-15,2022,City Council Meeting,Council,3,"Councilmember F. Lowry moved to approve Resolution #22-08 with an additional $75,000 added to the Ballard Arena improvements item and add $65,000 for sidewalk repair and landscaping in front of City Hall, amending the adopted budget",Budget,5-0 Pass,Councilmember F. Lowry,Councilmember T. Lowery,Councilmember Green,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
2022-02-15,2022,City Council Meeting,Council,3,"Councilmember F. Lowry moved to approve Resolution #22-08 with an additional $75,000 added to the Ballard Arena improvements item and add $65,000 for sidewalk repair and landscaping in front of City Hall, amending the adopted budget",Budget,5-0 Pass,Councilmember F. Lowry,Councilmember T. Lowery,Councilmember T. Lowery,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
2022-02-15,2022,City Council Meeting,Council,3,"Councilmember F. Lowry moved to approve Resolution #22-08 with an additional $75,000 added to the Ballard Arena improvements item and add $65,000 for sidewalk repair and landscaping in front of City Hall, amending the adopted budget",Budget,5-0 Pass,Councilmember F. Lowry,Councilmember T. Lowery,Councilmember F. Lowry,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
2022-02-15,2022,City Council Meeting,Council,3,"Councilmember F. Lowry moved to approve Resolution #22-08 with an additional $75,000 added to the Ballard Arena improvements item and add $65,000 for sidewalk repair and landscaping in front of City Hall, amending the adopted budget",Budget,5-0 Pass,Councilmember F. Lowry,Councilmember T. Lowery,Councilmember Roberts,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
2022-02-15,2022,City Council Meeting,Council,3,"Councilmember F. Lowry moved to approve Resolution #22-08 with an additional $75,000 added to the Ballard Arena improvements item and add $65,000 for sidewalk repair and landscaping in front of City Hall, amending the adopted budget",Budget,5-0 Pass,Councilmember F. Lowry,Councilmember T. Lowery,Councilmember Vawdrey,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
2022-02-15,2022,City Council Meeting,Council,4,Councilmember T. Lowery moved to approve Resolution #22-09,Resolution,5-0 Pass,Councilmember T. Lowery,Councilmember Vawdrey,Councilmember Green,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
2022-02-15,2022,City Council Meeting,Council,4,Councilmember T. Lowery moved to approve Resolution #22-09,Resolution,5-0 Pass,Councilmember T. Lowery,Councilmember Vawdrey,Councilmember T. Lowery,Aye,minutes/2022/2022-02-14/2022-02-15_city-council.md,minutes
