meeting_id,body_id,meeting_date,title,source_file
1,1,2018-10-25,Metro Township Council Meeting,minutes/2018/2018-10-25/2018-10-25_metro-township-council-meeting-459655.md
2,1,2018-11-29,Metro Township Council Meeting,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md
3,1,2018-12-19,Metro Township Council Meeting,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md
4,1,2019-01-24,Metro Township Council Meeting,minutes/2019/2019-01-24/2019-01-24_metro-township-council-meeting-475005.md
5,1,2019-02-28,Metro Township Council Meeting,minutes/2019/2019-02-28/2019-02-28_metro-township-council-meeting-522675.md
6,1,2019-03-28,Metro Township Council Meeting,minutes/2019/2019-03-28/2019-03-28_metro-township-council-meeting-522677.md
7,1,2019-05-23,Metro Township Council Meeting,minutes/2019/2019-05-23/2019-05-23_metro-township-council-meeting-522683.md
8,1,2019-06-19,Metro Township Council Meeting,minutes/2019/2019-06-19/2019-06-19_metro-township-council-meeting-522685.md
9,1,2019-08-22,Metro Township Council Meeting,minutes/2019/2019-08-22/2019-08-22_metro-township-council-meeting-556733.md
10,1,2019-09-19,Metro Township Council Meeting,minutes/2019/2019-09-19/2019-09-19_metro-township-council-meeting-556735.md
11,1,2019-10-24,Metro Township Council Meeting,minutes/2019/2019-10-24/2019-10-24_metro-township-council-meeting-568103.md
12,1,2019-11-20,Metro Township Council Meeting,minutes/2019/2019-11-20/2019-11-20_metro-township-council-meeting-568099.md
13,1,2019-12-12,Metro Township Council Meeting,minutes/2019/2019-12-12/2019-12-12_metro-township-council-meeting-612069.md
14,1,2020-01-23,Metro Township Council Meeting,minutes/2020/2020-01-23/2020-01-23_metro-township-council-meeting-612071.md
15,1,2020-02-27,Metro Township Council Meeting,minutes/2020/2020-02-27/2020-02-27_metro-township-council-meeting-612073.md
16,1,2020-04-23,Metro Township Council Meeting,minutes/2020/2020-04-23/2020-04-23_metro-township-council-meeting-607109.md
17,1,2020-11-17,Metro Township Council Meeting,minutes/2020/2020-11-17/2020-11-17_metro-township-council-meeting-680643.md
18,1,2020-12-17,Metro Township Council Meeting,minutes/2020/2020-12-17/2020-12-17_metro-township-council-meeting-680645.md
19,1,2021-01-28,Metro Township Council Meeting,minutes/2021/2021-01-28/2021-01-28_metro-township-council-meeting-692675.md
20,1,2021-02-25,Metro Township Council Meeting,minutes/2021/2021-02-25/2021-02-25_metro-township-council-meeting-717575.md
21,1,2021-04-27,Metro Township Council Meeting,minutes/2021/2021-04-27/2021-04-27_metro-township-council-meeting-764603.md
22,1,2021-05-25,Metro Township Council Meeting,minutes/2021/2021-05-25/2021-05-25_metro-township-council-meeting-764611.md
23,1,2021-06-22,Metro Township Council Meeting,minutes/2021/2021-06-22/2021-06-22_metro-township-council-meeting-764615.md
24,1,2021-07-27,Metro Township Council Meeting,minutes/2021/2021-07-27/2021-07-27_metro-township-council-meeting-764617.md
25,1,2021-08-24,Metro Township Council Meeting,minutes/2021/2021-08-24/2021-08-24_metro-township-council-meeting-764619.md
26,1,2021-09-28,Metro Township Council Meeting,minutes/2021/2021-09-28/2021-09-28_metro-township-council-meeting-805461.md
27,1,2021-10-26,Metro Township Council Meeting,minutes/2021/2021-10-26/2021-10-26_metro-township-council-meeting-805465.md
28,1,2021-11-16,Metro Township Council Meeting,minutes/2021/2021-11-16/2021-11-16_metro-township-council-meeting-820801.md
29,1,2021-12-14,Metro Township Council Meeting,minutes/2021/2021-12-14/2021-12-14_metro-township-council-meeting-820803.md
30,1,2022-01-25,Metro Township Council Meeting,minutes/2022/2022-01-25/2022-01-25_metro-township-council-meeting-840981.md
31,1,2022-02-22,Metro Township Council Meeting,minutes/2022/2022-02-22/2022-02-22_metro-township-council-meeting-827423.md
32,1,2022-03-22,Metro Township Council Meeting,minutes/2022/2022-03-22/2022-03-22_metro-township-council-meeting-865727.md
33,1,2022-04-26,Metro Township Council Meeting,minutes/2022/2022-04-26/2022-04-26_metro-township-council-meeting-857275.md
34,1,2022-05-24,Metro Township Council Meeting,minutes/2022/2022-05-24/2022-05-24_metro-township-council-meeting-865721.md
35,1,2022-06-28,Metro Township Council Meeting,minutes/2022/2022-06-28/2022-06-28_metro-township-council-meeting-882855.md
36,1,2022-07-26,Metro Township Council Meeting,minutes/2022/2022-07-26/2022-07-26_metro-township-council-meeting-882857.md
37,1,2022-08-23,Metro Township Council Meeting,minutes/2022/2022-08-23/2022-08-23_metro-township-council-meeting-895229.md
38,1,2022-09-27,Metro Township Council Meeting,minutes/2022/2022-09-27/2022-09-27_metro-township-council-meeting-904853.md
39,1,2022-10-25,Metro Township Council Meeting,minutes/2022/2022-10-25/2022-10-25_metro-township-council-meeting-913493.md
40,1,2022-11-15,Metro Township Council Meeting,minutes/2022/2022-11-15/2022-11-15_metro-township-council-meeting-950385.md
41,1,2022-12-20,Metro Township Council Meeting,minutes/2022/2022-12-20/2022-12-20_metro-township-council-meeting-950383.md
42,1,2023-01-24,Metro Township Council Meeting,minutes/2023/2023-01-24/2023-01-24_metro-township-council-meeting-950381.md
43,1,2023-02-28,Metro Township Council Meeting,minutes/2023/2023-02-28/2023-02-28_metro-township-council-meeting-960501.md
44,1,2023-04-12,Metro Township Council Meeting,minutes/2023/2023-04-12/2023-04-12_metro-township-council-meeting-971313.md
45,1,2023-04-25,Metro Township Council Meeting,minutes/2023/2023-04-25/2023-04-25_metro-township-council-meeting-994829.md
46,1,2023-05-23,Metro Township Council Meeting,minutes/2023/2023-05-23/2023-05-23_metro-township-council-meeting-994825.md
47,1,2023-06-05,Metro Township Council Meeting,minutes/2023/2023-06-05/2023-06-05_metro-township-council-meeting-1105987.md
48,1,2023-06-27,Metro Township Council Meeting,minutes/2023/2023-06-27/2023-06-27_metro-township-council-meeting-1105989.md
49,1,2023-07-25,Metro Township Council Meeting,minutes/2023/2023-07-25/2023-07-25_metro-township-council-meeting-1105991.md
50,1,2023-08-22,Metro Township Council Meeting,minutes/2023/2023-08-22/2023-08-22_metro-township-council-meeting-1025641.md
51,1,2023-10-24,Metro Township Council Meeting,minutes/2023/2023-10-24/2023-10-24_metro-township-council-meeting-1105999.md
52,1,2023-11-28,Metro Township Council Meeting,minutes/2023/2023-11-28/2023-11-28_metro-township-council-meeting-1106001.md
53,1,2023-12-06,Metro Township Council Meeting,minutes/2023/2023-12-06/2023-12-06_metro-township-council-meeting-1106003.md
54,1,2024-01-23,Metro Township Council Meeting,minutes/2024/2024-01-23/2024-01-23_metro-township-council-meeting-1113457.md
55,1,2024-02-27,Metro Township Council Meeting,minutes/2024/2024-02-27/2024-02-27_metro-township-council-meeting-1113459.md
56,1,2024-03-26,Metro Township Council Meeting,minutes/2024/2024-03-26/2024-03-26_metro-township-council-meeting-1127507.md
57,1,2024-04-23,Metro Township Council Meeting,minutes/2024/2024-04-23/2024-04-23_metro-township-council-meeting-1161753.md
58,1,2024-06-25,City Council Meeting,minutes/2024/2024-06-25/2024-06-25_city-council-meeting-1150765.md
59,1,2024-07-30,City Council Meeting,minutes/2024/2024-07-30/2024-07-30_city-council-meeting-1239935.md
60,1,2024-09-24,City Council Meeting,minutes/2024/2024-09-24/2024-09-24_city-council-meeting-1299785.md
61,1,2024-11-19,City Council Meeting,minutes/2024/2024-11-19/2024-11-19_city-council-meeting-1316879.md
62,1,2025-05-27,City Council Workshop Meeting,minutes/2025/2025-05-27/2025-05-27_city-council-workshop-meeting-1290725.md
63,1,2025-05-27,City Council Meeting,minutes/2025/2025-05-27/2025-05-27_city-council-meeting-1290727.md
64,1,2025-06-24,City Council Meeting,minutes/2025/2025-06-24/2025-06-24_city-council-meeting-1299781.md
65,1,2025-06-24,City Council Workshop Meeting,minutes/2025/2025-06-24/2025-06-24_city-council-workshop-meeting-1299783.md
66,1,2025-08-26,City Council Meeting,minutes/2025/2025-08-26/2025-08-26_city-council-meeting-1327179.md
67,1,2025-10-28,City Council Meeting,minutes/2025/2025-10-28/2025-10-28_city-council-meeting-1351357.md
68,1,2025-11-17,City Council Meeting,minutes/2025/2025-11-17/2025-11-17_city-council-meeting-1366127.md
69,1,2025-11-18,Board of Canvassers Meeting,minutes/2025/2025-11-18/2025-11-18_board-of-canvassers-meeting-1366129.md
70,1,2025-12-15,City Council Meeting,minutes/2025/2025-12-15/2025-12-15_city-council-meeting-1381791.md
71,1,2026-01-20,City Council Meeting,minutes/2026/2026-01-20/2026-01-20_city-council-meeting-1392217.md
72,1,2026-02-17,City Council Meeting,minutes/2026/2026-02-17/2026-02-17_city-council-meeting-1408383.md
73,1,2026-03-17,City Council Meeting,minutes/2026/2026-03-17/2026-03-17_city-council-meeting-1447767.md
74,1,2026-03-17,City Council Workshop Meeting,minutes/2026/2026-03-17/2026-03-17_city-council-workshop-meeting-1447769.md
75,1,2026-04-21,City Council Meeting,minutes/2026/2026-04-21/2026-04-21_city-council-meeting-1447787.md
76,1,2026-05-19,City Council Meeting,minutes/2026/2026-05-19/2026-05-19_city-council-meeting-1456089.md
77,2,2018-11-15,Township Planning Commission Meeting,minutes/2018/2018-11-15/2018-11-15_township-planning-commission-meeting-511437.md
78,2,2019-01-17,Township Planning Commission Meeting,minutes/2019/2019-01-17/2019-01-17_township-planning-commission-meeting-511439.md
79,2,2019-07-11,Township Planning Commission Meeting,minutes/2019/2019-07-11/2019-07-11_township-planning-commission-meeting-531183.md
80,2,2019-11-14,Township Planning Commission Meeting,minutes/2019/2019-11-14/2019-11-14_township-planning-commission-meeting-639571.md
81,2,2020-09-17,Township Planning Commission Meeting,minutes/2020/2020-09-17/2020-09-17_township-planning-commission-meeting-648473.md
82,2,2020-09-24,Township Planning Commission Meeting,minutes/2020/2020-09-24/2020-09-24_township-planning-commission-meeting-648475.md
83,2,2020-10-15,Township Planning Commission Meeting,minutes/2020/2020-10-15/2020-10-15_township-planning-commission-meeting-660173.md
84,2,2020-11-19,Township Planning Commission Meeting,minutes/2020/2020-11-19/2020-11-19_township-planning-commission-meeting-668855.md
85,2,2020-12-02,Township Planning Commission Meeting,minutes/2020/2020-12-02/2020-12-02_township-planning-commission-meeting-675521.md
86,2,2020-12-17,Township Planning Commission Meeting,minutes/2020/2020-12-17/2020-12-17_township-planning-commission-meeting-675523.md
87,2,2021-01-14,Township Planning Commission Meeting,minutes/2021/2021-01-14/2021-01-14_township-planning-commission-meeting-760661.md
88,2,2021-09-16,Township Planning Commission Meeting,minutes/2021/2021-09-16/2021-09-16_township-planning-commission-meeting-847293.md
89,2,2022-05-12,Township Planning Commission Meeting,minutes/2022/2022-05-12/2022-05-12_township-planning-commission-meeting-860671.md
90,2,2022-06-16,Township Planning Commission Meeting,minutes/2022/2022-06-16/2022-06-16_township-planning-commission-meeting-869587.md
91,2,2022-08-11,Township Planning Commission Meeting,minutes/2022/2022-08-11/2022-08-11_township-planning-commission-meeting-901405.md
92,2,2022-09-15,Township Planning Commission Meeting,minutes/2022/2022-09-15/2022-09-15_township-planning-commission-meeting-901407.md
