date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2018-10-25,2018,Metro Township Council Meeting,Council,1,close the staff meeting,Other,Pass (unanimous),Robert Paine,Jennifer Hawkes,,,minutes/2018/2018-10-25/2018-10-25_metro-township-council-meeting-459655.md,minutes
2018-10-25,2018,Metro Township Council Meeting,Council,2,approve the use of electronic signatures for business licenses,Other,Pass (unanimous),Jennifer Hawkes,Robert Paine,,,minutes/2018/2018-10-25/2018-10-25_metro-township-council-meeting-459655.md,minutes
2018-10-25,2018,Metro Township Council Meeting,Council,3,table approval of the fee schedule until a future meeting,Procedural/Administrative,Pass (unanimous),Jennifer Hawkes,Robert Paine,,,minutes/2018/2018-10-25/2018-10-25_metro-township-council-meeting-459655.md,minutes
2018-10-25,2018,Metro Township Council Meeting,Council,4,"approve the minutes of the Emigration Canyon Metro Township Council meeting held on September 19, 2018",Procedural/Administrative,Pass (unanimous),Robert Paine,Jennifer Hawkes,,,minutes/2018/2018-10-25/2018-10-25_metro-township-council-meeting-459655.md,minutes
2018-11-29,2018,Metro Township Council Meeting,Council,1,partner with the GSLMSD and other Metro Townships to create the Emergency Operations Plan,Other,Pass (unanimous),Robert Paine,David Brems,,,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
2018-11-29,2018,Metro Township Council Meeting,Council,2,"move forward with the restroom restoration with the existing restroom at the mouth of Pinecrest, pending the traffic safety study, architect, and funding",Other,Pass (unanimous),Joe Smolka,Jennifer Hawkes,,,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
2018-11-29,2018,Metro Township Council Meeting,Council,3,"direct the Emigration Canyon Metro Township Community Council to identify three or four other sites in the canyon for future restrooms over the next 8 – 12 months, so the Council can pursue the installation of more restrooms",Other,Pass (unanimous),Joe Smolka,Gary Bowen,,,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
2018-11-29,2018,Metro Township Council Meeting,Council,4,direct the Emigration Canyon Metro Township Planning Commission to start updating and amending the general plan. Council Member Bowen,Land-Use/Zoning,Pass (unanimous),Robert Paine,David Brems,,,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
2018-11-29,2018,Metro Township Council Meeting,Council,5,adopt the fee schedule as presented,Budget Amendment,Pass (unanimous),David Brems,Robert Paine,,,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
2018-11-29,2018,Metro Township Council Meeting,Council,6,table the ordinance until December to allow the Council time to review the document and make changes,Procedural/Administrative,Pass (unanimous),Jennifer Hawkes,Gary Bowen,,,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
2018-11-29,2018,Metro Township Council Meeting,Council,7,adopt the tentative budget with an adjustment for postage,Budget Amendment,Pass (unanimous),Robert Paine,Jennifer Hawkes,,,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
2018-11-29,2018,Metro Township Council Meeting,Council,8,"approve the minutes of the Emigration Canyon Metro Township Council meeting held on October 25, 2018",Procedural/Administrative,Pass (unanimous),Jennifer Hawkes,Robert Paine,,,minutes/2018/2018-11-29/2018-11-29_metro-township-council-meeting-466809.md,minutes
2018-12-19,2018,Metro Township Council Meeting,Council,1,open the public hearing to hear comments on the Emigration Canyon Metro Township 2018 budget adjustment,Public Hearing Action,Pass (unanimous),Robert Paine,David Brems,,,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
2018-12-19,2018,Metro Township Council Meeting,Council,2,close the public hearing,Public Hearing Action,Pass (unanimous),Gary Bowen,Robert Paine,,,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
2018-12-19,2018,Metro Township Council Meeting,Council,3,adopt the resolution amending the 2018 budget,Budget Amendment,Pass (unanimous),Robert Paine,Jennifer Hawkes,,,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
2018-12-19,2018,Metro Township Council Meeting,Council,4,open the public hearing to hear comments on the Emigration Canyon Metro Township 2018 budget adjustment,Public Hearing Action,Pass (unanimous),David Brems,Robert Paine,,,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
2018-12-19,2018,Metro Township Council Meeting,Council,5,close the public hearing,Public Hearing Action,Pass (unanimous),David Brems,Robert Paine,,,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
2018-12-19,2018,Metro Township Council Meeting,Council,6,adopt the resolution adopting the 2019 annual budget,Budget Amendment,Pass (unanimous),David Brems,Jennifer Hawkes,,,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
2018-12-19,2018,Metro Township Council Meeting,Council,7,adopt the Ordinance with the exception of the Community Council section and amendments to section 2.86.040 b,Ordinance,Pass (unanimous),Jennifer Hawkes,Robert Paine,,,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
2018-12-19,2018,Metro Township Council Meeting,Council,8,"approve the expenditures for $750 for a traffic study and up to $2,000 for office supplies and bulletin boards",Other,Pass (unanimous),Robert Paine,Jennifer Hawkes,,,minutes/2018/2018-12-19/2018-12-19_metro-township-council-meeting-466807.md,minutes
2019-01-24,2019,Metro Township Council Meeting,Council,1,close the staff meeting,Other,Pass (unanimous),Robert Paine,Gary Bowen,,,minutes/2019/2019-01-24/2019-01-24_metro-township-council-meeting-475005.md,minutes
2019-01-24,2019,Metro Township Council Meeting,Council,2,leave the funds as currently allocated,Other,Pass (unanimous),Robert Paine,Jennifer Hawkes,,,minutes/2019/2019-01-24/2019-01-24_metro-township-council-meeting-475005.md,minutes
2019-01-24,2019,Metro Township Council Meeting,Council,3,"adopt the 2019 meeting schedule for the Emigration Canyon Metro Township Council. Meetings will be held on the fourth Thursday of the month, 7:00 p.m. at the Emigration Canyon Fire Station 119, 5025 E Emigration Canyon Road, Salt Lake City",Other,Pass (unanimous),Robert Paine,David Brems,,,minutes/2019/2019-01-24/2019-01-24_metro-township-council-meeting-475005.md,minutes
2019-01-24,2019,Metro Township Council Meeting,Council,4,adopt the short and informal rules and procedures with an amendment to include code of conduct and residents right to be heard sections,Other,Pass (unanimous),Robert Paine,Gary Bowen,,,minutes/2019/2019-01-24/2019-01-24_metro-township-council-meeting-475005.md,minutes
2019-01-24,2019,Metro Township Council Meeting,Council,5,"approve the minutes of the Emigration Canyon Metro Township Council meeting held on November 29, 2018 and December 19, 2018",Procedural/Administrative,Pass (unanimous),David Brems,Gary Bowen,,,minutes/2019/2019-01-24/2019-01-24_metro-township-council-meeting-475005.md,minutes
2019-02-28,2019,Metro Township Council Meeting,Council,1,close the staff meeting,Other,Pass (unanimous),Robert Paine,Jennifer Hawkes,,,minutes/2019/2019-02-28/2019-02-28_metro-township-council-meeting-522675.md,minutes
2019-02-28,2019,Metro Township Council Meeting,Council,2,approve the encroachment agreement,Other,Pass (unanimous),Gary Bowen,Robert Paine,,,minutes/2019/2019-02-28/2019-02-28_metro-township-council-meeting-522675.md,minutes
2019-02-28,2019,Metro Township Council Meeting,Council,3,adopt the Ordinance,Ordinance,Pass (unanimous),Robert Paine,Gary Bowen,,,minutes/2019/2019-02-28/2019-02-28_metro-township-council-meeting-522675.md,minutes
2019-02-28,2019,Metro Township Council Meeting,Council,4,adopt the ordinance,Ordinance,Pass (unanimous),Robert Paine,David Brems,,,minutes/2019/2019-02-28/2019-02-28_metro-township-council-meeting-522675.md,minutes
2019-02-28,2019,Metro Township Council Meeting,Council,5,adopt the Resolution,Resolution,Pass (unanimous),Robert Paine,David Brems,,,minutes/2019/2019-02-28/2019-02-28_metro-township-council-meeting-522675.md,minutes
2019-03-28,2019,Metro Township Council Meeting,Council,1,close the staff meeting,Other,Pass (unanimous),Robert Paine,Jennifer Hawkes,,,minutes/2019/2019-03-28/2019-03-28_metro-township-council-meeting-522677.md,minutes
2019-05-23,2019,Metro Township Council Meeting,Council,1,approve ordinance no. 19-05-01 amending the code in title 2 with minor amendments discussed,Ordinance,Pass (unanimous),Robert Paine,Jennifer Hawkes,,,minutes/2019/2019-05-23/2019-05-23_metro-township-council-meeting-522683.md,minutes
2019-05-23,2019,Metro Township Council Meeting,Council,2,"direct Daniel Quintanilla to contact the following individuals to serve on the Emigration Canyon Metro Township General Plan Steering Committee:       Robert Pinon, Chair, Emigration Canyon Metro Township Planning Commission Steve Borst, Chair, Emigration Canyon Community Council Bill Tobey, Emigration Canyon Community Council Paul Brown, Emigration Canyon Community Council, Emigration Oaks…",Land-Use/Zoning,Pass (unanimous),David Brems,,,,minutes/2019/2019-05-23/2019-05-23_metro-township-council-meeting-522683.md,minutes
2019-05-23,2019,Metro Township Council Meeting,Council,3,approve the franchise agreement with Dominion Energy with amendments that include changing “town” to “Metro Township” and changing the amount paid from $50 to $500,Contract/Purchase,Pass (unanimous),Robert Paine,David Brems,,,minutes/2019/2019-05-23/2019-05-23_metro-township-council-meeting-522683.md,minutes
2019-05-23,2019,Metro Township Council Meeting,Council,4,approve the franchise agreement with Rocky Mountain Power with amendments that include changing “town” to “Metro Township” and adding $500 that will be paid to the Metro Township upon acceptance of the agreement,Contract/Purchase,Pass (unanimous),Robert Paine,David Brems,,,minutes/2019/2019-05-23/2019-05-23_metro-township-council-meeting-522683.md,minutes
