date,body,meeting_type,packet_kind,title,label,pmn_body,fid,ext,source_url,notice_url,purged,raw_rel,raw_name
2017-07-13,PlanningCommission,,supporting_docs,170713_EmigrationTPC_Packet.pdf,Other,1562,313065,pdf,https://www.utah.gov/pmn/files/313065.pdf,https://www.utah.gov/pmn/sitemap/notice/404379.html,1,raw/2017-07-13/313065_170713_EmigrationTPC_Packet.pdf,313065_170713_EmigrationTPC_Packet.pdf
2017-08-01,Council,,supporting_docs,08-01-17.docx,Public Information Handout,5809,318395,docx,https://www.utah.gov/pmn/files/318395.docx,https://www.utah.gov/pmn/sitemap/notice/409739.html,1,raw/2017-08-01/318395_08-01-17.docx,318395_08-01-17.docx
2017-08-17,PlanningCommission,,supporting_docs,170817_EmigrationTPC_Packet.pdf,Other,1562,322675,pdf,https://www.utah.gov/pmn/files/322675.pdf,https://www.utah.gov/pmn/sitemap/notice/410111.html,1,raw/2017-08-17/322675_170817_EmigrationTPC_Packet.pdf,322675_170817_EmigrationTPC_Packet.pdf
2017-09-05,Council,,supporting_docs,09-05-17.docx,Public Information Handout,5809,325803,docx,https://www.utah.gov/pmn/files/325803.docx,https://www.utah.gov/pmn/sitemap/notice/415169.html,1,raw/2017-09-05/325803_09-05-17.docx,325803_09-05-17.docx
2017-10-12,PlanningCommission,,supporting_docs,171012_EmigrationTPC_Packet.pdf,Other,1562,334127,pdf,https://www.utah.gov/pmn/files/334127.pdf,https://www.utah.gov/pmn/sitemap/notice/421159.html,1,raw/2017-10-12/334127_171012_EmigrationTPC_Packet.pdf,334127_171012_EmigrationTPC_Packet.pdf
2017-11-16,PlanningCommission,,supporting_docs,171116_EmigrationTPC_Packet.pdf,Other,1562,346543,pdf,https://www.utah.gov/pmn/files/346543.pdf,https://www.utah.gov/pmn/sitemap/notice/427499.html,1,raw/2017-11-16/346543_171116_EmigrationTPC_Packet.pdf,346543_171116_EmigrationTPC_Packet.pdf
2017-11-30,PlanningCommission,,supporting_docs,171130_EmigrationTPC_SWMPacket.pdf,Other,1562,348889,pdf,https://www.utah.gov/pmn/files/348889.pdf,https://www.utah.gov/pmn/sitemap/notice/430465.html,1,raw/2017-11-30/348889_171130_EmigrationTPC_SWMPacket.pdf,348889_171130_EmigrationTPC_SWMPacket.pdf
2017-12-14,PlanningCommission,,supporting_docs,171214_EmigrationTPC_Packet.pdf,Other,1562,352541,pdf,https://www.utah.gov/pmn/files/352541.pdf,https://www.utah.gov/pmn/sitemap/notice/431837.html,1,raw/2017-12-14/352541_171214_EmigrationTPC_Packet.pdf,352541_171214_EmigrationTPC_Packet.pdf
2017-12-20,Council,,supporting_docs,12-20-17 Public Heairng.docx,Public Information Handout,5809,355263,docx,https://www.utah.gov/pmn/files/355263.docx,https://www.utah.gov/pmn/sitemap/notice/435227.html,1,raw/2017-12-20/355263_12-20-17_Public_Heairng.docx,355263_12-20-17_Public_Heairng.docx
2018-02-01,Council,,supporting_docs,02-01-18.pdf,Public Information Handout,5809,366589,pdf,https://www.utah.gov/pmn/files/366589.pdf,https://www.utah.gov/pmn/sitemap/notice/443779.html,1,raw/2018-02-01/366589_02-01-18.pdf,366589_02-01-18.pdf
2018-03-22,Council,,supporting_docs,03-22-18.pdf,Public Information Handout,5809,381117,pdf,https://www.utah.gov/pmn/files/381117.pdf,https://www.utah.gov/pmn/sitemap/notice/454073.html,1,raw/2018-03-22/381117_03-22-18.pdf,381117_03-22-18.pdf
2018-08-23,Council,,supporting_docs,08-23-18.pdf,Public Information Handout,5809,421687,pdf,https://www.utah.gov/pmn/files/421687.pdf,https://www.utah.gov/pmn/sitemap/notice/482771.html,1,raw/2018-08-23/421687_08-23-18.pdf,421687_08-23-18.pdf
2018-11-15,PlanningCommission,,supporting_docs,181115_EmigrationTPC_Packet.pdf,Other,1562,441425,pdf,https://www.utah.gov/pmn/files/441425.pdf,https://www.utah.gov/pmn/sitemap/notice/495671.html,1,raw/2018-11-15/441425_181115_EmigrationTPC_Packet.pdf,441425_181115_EmigrationTPC_Packet.pdf
2018-11-29,Council,,supporting_docs,2019 Emigration Canyon Budget Revised Format.pdf,Public Information Handout,5809,447097,pdf,https://www.utah.gov/pmn/files/447097.pdf,https://www.utah.gov/pmn/sitemap/notice/500585.html,1,raw/2018-11-29/447097_2019_Emigration_Canyon_Budget_Revised_Format.pdf,447097_2019_Emigration_Canyon_Budget_Revised_Format.pdf
2018-12-19,Council,,supporting_docs,2019 Emigration Canyon Budget Revised Format 11-30-2018.xlsx,Public Information Handout,5809,451047,xlsx,https://www.utah.gov/pmn/files/451047.xlsx,https://www.utah.gov/pmn/sitemap/notice/503209.html,,raw/2018-12-19/451047_2019_Emigration_Canyon_Budget_Revised_Format_11-30-2018.xlsx,451047_2019_Emigration_Canyon_Budget_Revised_Format_11-30-2018.xlsx
2018-12-19,Council,,supporting_docs,NOTICE OF PUBLIC HEARING.docx,Public Information Handout,5809,451045,docx,https://www.utah.gov/pmn/files/451045.docx,https://www.utah.gov/pmn/sitemap/notice/503209.html,,raw/2018-12-19/451045_NOTICE_OF_PUBLIC_HEARING.docx,451045_NOTICE_OF_PUBLIC_HEARING.docx
2018-12-19,Council,,supporting_docs,SLco budget adjustment form for justice court Emigration Canyon.pdf,Public Information Handout,5809,451185,pdf,https://www.utah.gov/pmn/files/451185.pdf,https://www.utah.gov/pmn/sitemap/notice/503209.html,,raw/2018-12-19/451185_SLco_budget_adjustment_form_for_justice_court_Emigration_Canyon.pdf,451185_SLco_budget_adjustment_form_for_justice_court_Emigration_Canyon.pdf
2019-01-17,PlanningCommission,,supporting_docs,190117_EmigrationTPC_Packet1of4.pdf,Other,1562,459015,pdf,https://www.utah.gov/pmn/files/459015.pdf,https://www.utah.gov/pmn/sitemap/notice/507785.html,,raw/2019-01-17/459015_190117_EmigrationTPC_Packet1of4.pdf,459015_190117_EmigrationTPC_Packet1of4.pdf
2019-01-17,PlanningCommission,,supporting_docs,190117_EmigrationTPC_Packet2of4.pdf,Other,1562,459017,pdf,https://www.utah.gov/pmn/files/459017.pdf,https://www.utah.gov/pmn/sitemap/notice/507785.html,,raw/2019-01-17/459017_190117_EmigrationTPC_Packet2of4.pdf,459017_190117_EmigrationTPC_Packet2of4.pdf
2019-04-23,Council,,supporting_docs,2019 Metro Township Candidate Filing Notice EMIGRATION CANYON - UT Public Notice Website.docx,Public Information Handout,5809,488507,docx,https://www.utah.gov/pmn/files/488507.docx,https://www.utah.gov/pmn/sitemap/notice/529743.html,,raw/2019-04-23/488507_2019_Metro_Township_Candidate_Filing_Notice_EMIGRATION_CANYON_-_UT_Public_Notice_Website.docx,488507_2019_Metro_Township_Candidate_Filing_Notice_EMIGRATION_CANYON_-_UT_Public_Notice_Website.docx
2019-04-25,PlanningCommission,,supporting_docs,190425_Land Use Legal Training.pdf,Other,1562,488319,pdf,https://www.utah.gov/pmn/files/488319.pdf,https://www.utah.gov/pmn/sitemap/notice/529577.html,,raw/2019-04-25/488319_190425_Land_Use_Legal_Training.pdf,488319_190425_Land_Use_Legal_Training.pdf
2019-06-01,PlanningCommission,,supporting_docs,Notice of Intent to Prepare Emigration General Plan.pdf,Other,1562,497419,pdf,https://www.utah.gov/pmn/files/497419.pdf,https://www.utah.gov/pmn/sitemap/notice/536235.html,,raw/2019-06-01/497419_Notice_of_Intent_to_Prepare_Emigration_General_Plan.pdf,497419_Notice_of_Intent_to_Prepare_Emigration_General_Plan.pdf
2019-06-13,PlanningCommission,,supporting_docs,190613_EmigrationTPC_Packet.pdf,Other,1562,500827,pdf,https://www.utah.gov/pmn/files/500827.pdf,https://www.utah.gov/pmn/sitemap/notice/537373.html,,raw/2019-06-13/500827_190613_EmigrationTPC_Packet.pdf,500827_190613_EmigrationTPC_Packet.pdf
2019-07-11,PlanningCommission,,supporting_docs,190711_EmigrationTPC_Packet.pdf,Other,1562,509479,pdf,https://www.utah.gov/pmn/files/509479.pdf,https://www.utah.gov/pmn/sitemap/notice/544585.html,,raw/2019-07-11/509479_190711_EmigrationTPC_Packet.pdf,509479_190711_EmigrationTPC_Packet.pdf
2019-08-15,PlanningCommission,,supporting_docs,190815_EmigrationTPC_Packet.pdf,Other,1562,518887,pdf,https://www.utah.gov/pmn/files/518887.pdf,https://www.utah.gov/pmn/sitemap/notice/550143.html,,raw/2019-08-15/518887_190815_EmigrationTPC_Packet.pdf,518887_190815_EmigrationTPC_Packet.pdf
2019-11-14,PlanningCommission,,supporting_docs,191114_EmigrationTPC_Packet.pdf,Other,1562,547807,pdf,https://www.utah.gov/pmn/files/547807.pdf,https://www.utah.gov/pmn/sitemap/notice/567919.html,,raw/2019-11-14/547807_191114_EmigrationTPC_Packet.pdf,547807_191114_EmigrationTPC_Packet.pdf
2020-01-30,PlanningCommission,Workshop,supporting_docs,Transportation Guiding Principles Workshop Flyer.pdf,Public Information Handout,1562,567171,pdf,https://www.utah.gov/pmn/files/567171.pdf,https://www.utah.gov/pmn/sitemap/notice/583437.html,,raw/2020-01-30/567171_Transportation_Guiding_Principles_Workshop_Flyer.pdf,567171_Transportation_Guiding_Principles_Workshop_Flyer.pdf
2020-09-17,PlanningCommission,,supporting_docs,200917_EmigrationTPC_Packet.pdf,Other,1562,639367,pdf,https://www.utah.gov/pmn/files/639367.pdf,https://www.utah.gov/pmn/sitemap/notice/626829.html,,raw/2020-09-17/639367_200917_EmigrationTPC_Packet.pdf,639367_200917_EmigrationTPC_Packet.pdf
2020-09-24,Council,,supporting_docs,09-24-20 Combined Files.pdf,Public Information Handout,5809,641521,pdf,https://www.utah.gov/pmn/files/641521.pdf,https://www.utah.gov/pmn/sitemap/notice/630635.html,,raw/2020-09-24/641521_09-24-20_Combined_Files.pdf,641521_09-24-20_Combined_Files.pdf
2020-10-15,PlanningCommission,,supporting_docs,201015_EmigrationTPC_Packet.pdf,Other,1562,646351,pdf,https://www.utah.gov/pmn/files/646351.pdf,https://www.utah.gov/pmn/sitemap/notice/633579.html,,raw/2020-10-15/646351_201015_EmigrationTPC_Packet.pdf,646351_201015_EmigrationTPC_Packet.pdf
2020-10-28,PlanningCommission,,supporting_docs,201028_EmigrationLHO_Packet.pdf,Other,1562,650823,pdf,https://www.utah.gov/pmn/files/650823.pdf,https://www.utah.gov/pmn/sitemap/notice/634743.html,,raw/2020-10-28/650823_201028_EmigrationLHO_Packet.pdf,650823_201028_EmigrationLHO_Packet.pdf
2020-11-19,PlanningCommission,,supporting_docs,201119_EmigrationTPC_Packet.pdf,Other,1562,659103,pdf,https://www.utah.gov/pmn/files/659103.pdf,https://www.utah.gov/pmn/sitemap/notice/638927.html,,raw/2020-11-19/659103_201119_EmigrationTPC_Packet.pdf,659103_201119_EmigrationTPC_Packet.pdf
