date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2025-12-15,2025,City Council Meeting,Council,1,"approve the November 17, 2025 City Council Meeting Minutes as published",Procedural/Administrative,4-0 (unanimous) Pass,David Brems,Robert Pinon,,,minutes/2025/2025-12-15/2025-12-15_city-council-meeting-1381791.md,minutes
2025-12-15,2025,City Council Meeting,Council,2,"approve the November 18,2025 Board of Canvassers Meeting Minutes as published",Procedural/Administrative,4-0 (unanimous) Pass,Robert Pinon,David Brems,,,minutes/2025/2025-12-15/2025-12-15_city-council-meeting-1381791.md,minutes
2025-12-15,2025,City Council Meeting,Council,3,open the public hearing for Ordinance 2025-0-17,Public Hearing Action,4-0 (unanimous) Pass,Robert Pinon,David Brems,,,minutes/2025/2025-12-15/2025-12-15_city-council-meeting-1381791.md,minutes
2025-12-15,2025,City Council Meeting,Council,4,close the public hearing for Ordinance 2025-0-'17,Public Hearing Action,4-0 (unanimous) Pass,David Brems,Robert Pinon,,,minutes/2025/2025-12-15/2025-12-15_city-council-meeting-1381791.md,minutes
2025-12-15,2025,City Council Meeting,Council,5,"approve Ordinance 2025-0-19, An ordinance budgetin-g and allowing a performance bonus to Mayor Smolka, as discussed above",Ordinance,3-0 (unanimous) Pass,David Brems,Robert Pinon,,,minutes/2025/2025-12-15/2025-12-15_city-council-meeting-1381791.md,minutes
2025-12-15,2025,City Council Meeting,Council,6,approve the hiring of Avenue Consultants for lhe Road lmprovement Project as discussed above,Other,4-0 (unanimous) Pass,David Brems,Joe Smolka,,,minutes/2025/2025-12-15/2025-12-15_city-council-meeting-1381791.md,minutes
2025-12-15,2025,City Council Meeting,Council,7,"approve Ordinance 2025-0-18, Enacting a Data Privacy Policy, as discussed above",Ordinance,4-0 (unanimous) Pass,David Brems,Robert Pinon,,,minutes/2025/2025-12-15/2025-12-15_city-council-meeting-1381791.md,minutes
2025-12-15,2025,City Council Meeting,Council,8,rec$s the City Council Meeting and move into Closed Session for the reason(s) noted below,Procedural/Administrative,4-0 (unanimous) Pass,Jennifer Hawkes,David Brems,,,minutes/2025/2025-12-15/2025-12-15_city-council-meeting-1381791.md,minutes
2025-12-15,2025,City Council Meeting,Council,9,adjourn lhe Closed Session and move back into the City Council Meeting,Procedural/Administrative,4-0 (unanimous) Pass,Robert Pinon,Jennifer Hawkes,,,minutes/2025/2025-12-15/2025-12-15_city-council-meeting-1381791.md,minutes
2025-12-15,2025,City Council Meeting,Council,10,"adiourn the December 15, 2025 Emigration Canyon City Council Meeting",Other,4-0 (unanimous) Pass,Robert Pinon,Jennifer Hawkes,,,minutes/2025/2025-12-15/2025-12-15_city-council-meeting-1381791.md,minutes
