dataset,source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence,motion_id
meeting_minutes,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,1,2020-01-08,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion carried with unanimous consent of the Council,crosswalk,high,1
meeting_minutes,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,2,2020-01-08,Council,Other,Other,,final-action,pass,,,,unanimous-declared,The motion passed with unanimous consent of the Council,rule:no-signal,low,2
meeting_minutes,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,3,2020-01-08,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,high,3
meeting_minutes,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,4,2020-01-08,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,4
meeting_minutes,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,5,2020-01-08,Council,Appointment,Appointment,,final-action,pass,3,2,,roll-call,The motion passed with a vote 3:2,crosswalk,medium,5
meeting_minutes,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,6,2020-01-08,Council,Public Hearing Action,Public-Hearing,,procedural,pass,,,,unanimous-declared,The motion carried with unanimous consent of the Council,crosswalk,high,6
meeting_minutes,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,7,2020-01-08,Council,Ordinance,Ordinance,,final-action,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,high,7
meeting_minutes,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,8,2020-01-08,Council,Public Hearing Action,Public-Hearing,,procedural,pass,,,,unanimous-declared,The motion passed with unanimous consent of the Council,crosswalk,high,8
meeting_minutes,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,9,2020-01-08,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,medium,9
meeting_minutes,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,10,2020-01-08,Council,Public Hearing Action,Public-Hearing,,procedural,pass,,,,unanimous-declared,The motion passed with unanimous consent of the Council,crosswalk,high,10
meeting_minutes,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,11,2020-01-08,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,high,11
meeting_minutes,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,12,2020-01-08,Council,Land-Use/Zoning,Land-Use,Development-Agreement,final-action,pass,5,0,,roll-call,The motion passed unanimously,rule:lu-devagr,high,12
meeting_minutes,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,13,2020-01-08,Council,Interlocal,Interlocal,,final-action,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,high,13
meeting_minutes,minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,14,2020-01-08,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion passed with unanimous consent of the Council,crosswalk,high,14
meeting_minutes,minutes/2020/2020-01-13/2020-01-15_city-council-meeting.md,1,2020-01-15,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,15
meeting_minutes,minutes/2020/2020-01-13/2020-01-15_city-council-meeting.md,2,2020-01-15,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,16
meeting_minutes,minutes/2020/2020-01-13/2020-01-15_city-council-meeting.md,3,2020-01-15,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,17
meeting_minutes,minutes/2020/2020-01-20/2020-01-22_city-council-meeting.md,1,2020-01-22,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,18
meeting_minutes,minutes/2020/2020-01-20/2020-01-22_city-council-meeting.md,2,2020-01-22,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,4,0,,roll-call,The motion passed unanimously with Mayor David Watts being absent,crosswalk,high,19
meeting_minutes,minutes/2020/2020-01-20/2020-01-22_city-council-meeting.md,3,2020-01-22,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,20
meeting_minutes,minutes/2020/2020-01-20/2020-01-22_city-council-meeting.md,4,2020-01-22,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,3,0,,roll-call,The motion passed unanimously with Councilmember Clint Smith and Mayor David Watts being absent,crosswalk,high,21
meeting_minutes,minutes/2020/2020-01-20/2020-01-22_city-council-meeting.md,5,2020-01-22,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,22
meeting_minutes,minutes/2020/2020-01-27/2020-01-29_city-council-meeting.md,1,2020-01-29,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,23
meeting_minutes,minutes/2020/2020-01-27/2020-01-29_city-council-meeting.md,2,2020-01-29,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,24
meeting_minutes,minutes/2020/2020-02-10/2020-02-12_community-development-agency-meeting.md,1,2020-02-12,CDRA,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,25
meeting_minutes,minutes/2020/2020-02-10/2020-02-12_community-development-agency-meeting.md,2,2020-02-12,CDRA,Contract/Purchase,Contract-Purchase,,final-action,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,high,26
meeting_minutes,minutes/2020/2020-02-10/2020-02-12_community-development-agency-meeting.md,3,2020-02-12,CDRA,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,27
meeting_minutes,minutes/2020/2020-02-10/2020-02-12_city-council-meeting.md,1,2020-02-12,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,28
meeting_minutes,minutes/2020/2020-02-10/2020-02-12_city-council-meeting.md,2,2020-02-12,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,4,0,,roll-call,The motion passed unanimously with Mayor Watts being absent,crosswalk,high,29
meeting_minutes,minutes/2020/2020-02-10/2020-02-12_city-council-meeting.md,3,2020-02-12,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,30
meeting_minutes,minutes/2020/2020-02-10/2020-02-12_city-council-meeting.md,4,2020-02-12,Council,Public Hearing Action,Public-Hearing,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,31
meeting_minutes,minutes/2020/2020-02-10/2020-02-12_city-council-meeting.md,5,2020-02-12,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,4,0,,roll-call,The motion passed unanimously with Mayor Watts being absent,crosswalk,high,32
meeting_minutes,minutes/2020/2020-02-10/2020-02-12_city-council-meeting.md,6,2020-02-12,Council,Land-Use/Zoning,Land-Use,Rezone,final-action,pass,4,0,,roll-call,The motion passed unanimously with Mayor Watts being absent,rule:lu-rezone,high,33
meeting_minutes,minutes/2020/2020-02-10/2020-02-12_city-council-meeting.md,7,2020-02-12,Council,Ordinance,Ordinance,,final-action,pass,4,0,,roll-call,The motion passed unanimously with Mayor Watts being absent,crosswalk,high,34
meeting_minutes,minutes/2020/2020-02-10/2020-02-12_city-council-meeting.md,8,2020-02-12,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,35
meeting_minutes,minutes/2020/2020-02-24/2020-02-26_city-council-meeting.md,1,2020-02-26,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,high,36
meeting_minutes,minutes/2020/2020-02-24/2020-02-26_city-council-meeting.md,2,2020-02-26,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,37
meeting_minutes,minutes/2020/2020-02-24/2020-02-26_city-council-meeting.md,3,2020-02-26,Council,Ceremonial,Ceremonial,,final-action,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,high,38
meeting_minutes,minutes/2020/2020-02-24/2020-02-26_city-council-meeting.md,4,2020-02-26,Council,Appointment,Appointment,,final-action,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,high,39
meeting_minutes,minutes/2020/2020-02-24/2020-02-26_city-council-meeting.md,5,2020-02-26,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,high,40
meeting_minutes,minutes/2020/2020-02-24/2020-02-26_city-council-meeting.md,6,2020-02-26,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,41
meeting_minutes,minutes/2020/2020-03-09/2020-03-11_community-development-agency-meeting.md,1,2020-03-11,CDRA,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high,42
