vote_id,motion_id,person_id,vote_value
1,3,6,Aye
2,3,8,Aye
3,3,12,Aye
4,3,20,Aye
5,3,21,Aye
6,5,6,Nay
7,5,8,Nay
8,5,12,Aye
9,5,20,Aye
10,5,21,Aye
11,7,6,Aye
12,7,8,Aye
13,7,12,Aye
14,7,20,Aye
15,7,21,Aye
16,9,6,Aye
17,9,8,Aye
18,9,12,Aye
19,9,20,Aye
20,9,21,Aye
21,11,6,Aye
22,11,8,Aye
23,11,12,Aye
24,11,20,Aye
25,11,21,Aye
26,12,6,Aye
27,12,8,Aye
28,12,12,Aye
29,12,20,Aye
30,12,21,Aye
31,13,6,Aye
32,13,8,Aye
33,13,12,Aye
34,13,20,Aye
35,13,21,Aye
36,19,6,Aye
37,19,8,Absent
38,19,12,Aye
39,19,20,Aye
40,19,21,Aye
41,21,6,Absent
42,21,8,Absent
43,21,12,Aye
44,21,20,Aye
45,21,21,Aye
46,26,6,Aye
47,26,8,Aye
48,26,12,Aye
49,26,20,Aye
50,26,21,Aye
51,29,6,Aye
52,29,8,Absent
53,29,12,Aye
54,29,20,Aye
55,29,21,Aye
56,32,6,Aye
57,32,8,Absent
58,32,12,Aye
59,32,20,Aye
60,32,21,Aye
61,33,6,Aye
62,33,8,Absent
63,33,12,Aye
64,33,20,Aye
65,33,21,Aye
66,34,6,Aye
67,34,8,Absent
68,34,12,Aye
69,34,20,Aye
70,34,21,Aye
71,36,6,Aye
72,36,8,Aye
73,36,12,Aye
74,36,20,Aye
75,36,21,Aye
76,38,6,Aye
77,38,8,Aye
78,38,12,Aye
79,38,20,Aye
80,38,21,Aye
81,39,6,Aye
82,39,8,Aye
83,39,12,Aye
84,39,20,Aye
85,39,21,Aye
86,40,6,Aye
87,40,8,Aye
88,40,12,Aye
89,40,20,Aye
90,40,21,Aye
91,44,6,Aye
92,44,8,Aye
93,44,12,Absent
94,44,20,Aye
95,44,21,Aye
96,45,6,Aye
97,45,8,Aye
98,45,12,Absent
99,45,20,Aye
100,45,21,Aye
101,46,6,Aye
102,46,8,Aye
103,46,12,Absent
104,46,20,Aye
105,46,21,Aye
106,49,6,Aye
107,49,8,Aye
108,49,12,Aye
109,49,20,Aye
110,49,21,Aye
111,50,6,Aye
112,50,8,Aye
113,50,12,Aye
114,50,20,Aye
115,50,21,Aye
116,53,6,Aye
117,53,8,Aye
118,53,12,Aye
119,53,20,Aye
120,53,21,Aye
121,55,6,Aye
122,55,8,Aye
123,55,12,Aye
124,55,20,Aye
125,55,21,Aye
126,56,6,Aye
127,56,8,Aye
128,56,12,Nay
129,56,20,Nay
130,56,21,Aye
131,57,6,Nay
132,57,8,Nay
133,57,12,Aye
134,57,20,Aye
135,57,21,Aye
136,61,6,Aye
137,61,8,Aye
138,61,12,Aye
139,61,20,Aye
140,61,21,Aye
141,62,6,Aye
142,62,8,Aye
143,62,12,Nay
144,62,20,Nay
145,62,21,Aye
146,63,6,Aye
147,63,8,Aye
148,63,12,Nay
149,63,20,Nay
150,63,21,Aye
151,64,6,Aye
152,64,8,Aye
153,64,12,Nay
154,64,20,Nay
155,64,21,Aye
156,65,6,Aye
157,65,8,Aye
158,65,12,Nay
159,65,20,Nay
160,65,21,Aye
161,66,6,Aye
162,66,8,Aye
163,66,12,Nay
164,66,20,Nay
165,66,21,Aye
166,68,6,Aye
167,68,8,Aye
168,68,12,Aye
169,68,20,Aye
170,68,21,Aye
171,71,6,Aye
172,71,8,Aye
173,71,12,Aye
174,71,20,Aye
175,71,21,Aye
176,74,6,Aye
177,74,8,Aye
178,74,12,Aye
179,74,20,Aye
180,74,21,Aye
181,75,6,Aye
182,75,8,Aye
183,75,12,Aye
184,75,20,Aye
185,75,21,Aye
186,76,6,Aye
187,76,8,Aye
188,76,12,Aye
189,76,20,Aye
190,76,21,Aye
191,77,6,Aye
192,77,8,Aye
193,77,12,Aye
194,77,20,Aye
195,77,21,Aye
196,78,6,Aye
197,78,8,Aye
198,78,12,Aye
199,78,20,Aye
200,78,21,Aye
201,86,6,Aye
202,86,8,Aye
203,86,12,Aye
204,86,20,Aye
205,86,21,Aye
206,87,6,Aye
207,87,8,Aye
208,87,12,Nay
209,87,20,Nay
210,87,21,Aye
211,88,6,Aye
212,88,8,Aye
213,88,12,Aye
214,88,20,Aye
215,88,21,Aye
216,89,6,Aye
217,89,8,Aye
218,89,12,Aye
219,89,20,Aye
220,89,21,Aye
221,91,6,Aye
222,91,8,Aye
223,91,12,Aye
224,91,17,Aye
225,91,20,Aye
226,95,6,Aye
227,95,8,Aye
228,95,12,Aye
229,95,20,Aye
230,95,21,Aye
231,99,6,Aye
232,99,8,Aye
233,99,12,Aye
234,99,20,Aye
235,99,21,Aye
236,101,6,Aye
237,101,8,Aye
238,101,12,Aye
239,101,20,Aye
240,101,21,Aye
241,104,6,Aye
242,104,8,Aye
243,104,12,Aye
244,104,20,Aye
245,104,21,Aye
246,107,6,Aye
247,107,8,Aye
248,107,12,Aye
249,107,20,Aye
250,107,21,Aye
251,109,6,Aye
252,109,8,Aye
253,109,12,Aye
254,109,20,Aye
255,109,21,Aye
256,110,6,Aye
257,110,8,Aye
258,110,12,Nay
259,110,20,Aye
260,110,21,Aye
261,111,6,Aye
262,111,8,Aye
263,111,12,Aye
264,111,20,Aye
265,111,21,Aye
266,112,6,Aye
267,112,8,Aye
268,112,12,Aye
269,112,20,Aye
270,112,21,Aye
271,113,6,Aye
272,113,8,Aye
273,113,12,Aye
274,113,20,Aye
275,113,21,Aye
276,116,6,Aye
277,116,8,Absent
278,116,12,Aye
279,116,20,Aye
280,116,21,Aye
281,119,6,Aye
282,119,8,Absent
283,119,12,Aye
284,119,20,Aye
285,119,21,Aye
286,120,6,Aye
287,120,8,Absent
288,120,12,Aye
289,120,20,Aye
290,120,21,Aye
291,121,6,Aye
292,121,8,Absent
293,121,12,Aye
294,121,20,Nay
295,121,21,Aye
296,122,6,Aye
297,122,8,Absent
298,122,12,Aye
299,122,20,Aye
300,122,21,Aye
301,123,6,Aye
302,123,8,Absent
303,123,12,Aye
304,123,20,Aye
305,123,21,Aye
306,124,6,Aye
307,124,8,Absent
308,124,12,Aye
309,124,20,Aye
310,124,21,Aye
311,125,6,Aye
312,125,8,Absent
313,125,12,Aye
314,125,20,Aye
315,125,21,Aye
316,128,6,Aye
317,128,8,Aye
318,128,12,Aye
319,128,20,Aye
320,128,21,Aye
321,130,6,Aye
322,130,8,Aye
323,130,12,Aye
324,130,20,Aye
325,130,21,Aye
326,135,6,Aye
327,135,8,Aye
328,135,12,Aye
329,135,20,Aye
330,135,21,Aye
331,136,6,Aye
332,136,8,Aye
333,136,12,Aye
334,136,20,Aye
335,136,21,Aye
336,137,6,Aye
337,137,8,Nay
338,137,12,Aye
339,137,20,Aye
340,137,21,Aye
341,142,6,Aye
342,142,8,Aye
343,142,12,Aye
344,142,20,Aye
345,142,21,Aye
346,144,6,Aye
347,144,8,Aye
348,144,12,Aye
349,144,20,Aye
350,144,21,Aye
351,146,6,Aye
352,146,8,Aye
353,146,12,Aye
354,146,20,Aye
355,146,21,Aye
356,147,6,Aye
357,147,8,Aye
358,147,12,Aye
359,147,20,Aye
360,147,21,Aye
