date,title,doc_type,source_url,retrieved_date,format,extraction_method,path,pages,repository,notes
2022-07-13,Herriman City General Plan 2022 (Herriman Next),general_plan,https://www.herriman.gov/uploads/files/3520/Herriman-General-Planadopted-July-2022web.pdf,2026-07-13,text,pdftotext -layout,raw/herriman-general-plan-2022.pdf,152,Herriman (herriman.gov uploads),"Current adopted General Plan (footer: ADOPTED JULY 13 2022; update process began winter 2018-19; replaced the 2013 'Herriman 2025' plan). MIH element is adopted separately (see mih_element rows) — the GP says 'ADDITIONAL GENERAL PLAN ELEMENTS - ADOPTED SEPARATELY'. Same file also served at /uploads/files/5988/ (master-plans page). Sidecar: text/herriman-general-plan-2022.txt."
2022,Herriman General Plan 2030 Land Use Map (36x36),general_plan,https://www.herriman.gov/uploads/files/3174/LandUse203036x36.pdf,2026-07-13,text,pdftotext -layout,raw/herriman-2030-land-use-map.pdf,1,Herriman (herriman.gov uploads),"'Current General Plan Map' companion to the 2022 General Plan (linked from both /general-plan and /master-plans, where it is labeled '2030 Land Use Map'). Single map sheet (PDF created 2022-09-14); sidecar carries legend/label text only — the map itself is graphical."
2013-10-07,Herriman City 2025 General Plan Amendment (predecessor plan),general_plan,https://www.herriman.gov/uploads/files/1621/2025GPAmend.pdf,2026-07-13,text,pdftotext -layout,raw/herriman-2025-general-plan-amended.pdf,98,Herriman (herriman.gov uploads),"The PRIOR General Plan — 'Herriman City 2025' refers to the plan's horizon YEAR, not an adoption date (Landmark Design Team, revision 2013-10-07). Superseded by the 2022 General Plan but still linked from /general-plan as the historical 'The General Plan' reference. Kept as land-use context for the pre-2022 record. Sidecar: text/herriman-2025-general-plan-amended.txt."
2019-11-13,Herriman City Moderate Income Housing Plan (adopted 2019-11-13),mih_element,https://web.archive.org/web/20210810012721id_/http://www.herriman.org/uploads/files/1239/Herriman-Moderate-Income-Housing-Plan11.13.2019.pdf,2026-07-13,text,pdftotext -layout,raw/herriman-moderate-income-housing-plan-2019.pdf,14,Wayback Machine (orig. herriman.org uploads),"The pre-HB 462 MIH Plan ('Adopted November 13 2019' cover), the plan the 2020/2021 annual reports implement. Original URL herriman.org/uploads/files/1239/… now 404s on herriman.gov — recovered from the 2021-08-10 Wayback capture. Superseded by the 2022-09-28 update. Sidecar: text/herriman-moderate-income-housing-plan-2019.txt."
2022-09-28,Ordinance 2022-38 + Moderate Income Housing Plan (2022 HB 462 update),mih_element,https://www.herriman.gov/uploads/files/5826/Herriman-Moderate-Income-Housing-Plan-2022-2.pdf,2026-07-13,scanned,pdftotext -layout (embedded Acrobat Paper Capture OCR layer),raw/herriman-moderate-income-housing-plan-2022.pdf,23,Herriman (herriman.gov uploads),"Signed Ordinance 2022-38 (adopted 2022-09-28; PC recommended 5-0 on 2022-09-01) + the updated MIH Plan ('Adopted November 13 2019 / Amended September 28 2022'); 6 strategies (A B E F G K). Roll call incl. Mayor Lorin Palmer — TOTALS 5 (mayor votes). Scanned with OCR text layer — expect ligature dropouts (Afordable/defned) and 'Ohm' for Ohrn. The URL Herriman filed with the state (herriman.org/uploads/files/3067/, same filename) still serves the SAME document with the original Canon-scanner OCR layer — /5826/ retained as the current master-plans link with the cleaner re-OCR. Sidecar: text/herriman-moderate-income-housing-plan-2022.txt."
2020-12-01,2020 Annual Moderate-Income Housing Report (DWS-HCD 899 form),mih_annual_report,https://web.archive.org/web/20210810012726id_/http://www.herriman.org/uploads/files/1242/Moderate-Income-Housing-Annual-Report-2020.pdf,2026-07-13,text,pdftotext -layout,raw/herriman-2020-moderate-income-housing-annual-report.pdf,24,Wayback Machine (orig. herriman.org uploads),"City-filed 10-9a-408 annual report for reporting year 2020 (form DWS-HCD 899; PDF created 2020-12-01). Original URL herriman.org/uploads/files/1242/… now 404s — recovered from the 2021-08-10 Wayback capture. Matches sb34.pdf '2020 (REQUIRED & SUBMITTED)'. Sidecar: text/herriman-2020-moderate-income-housing-annual-report.txt."
2021-12-01,2021 Annual Moderate-Income Housing Report (DWS-HCD 899 form),mih_annual_report,https://www.herriman.gov/uploads/files/2462/Herriman2021-Moderate-Income-Housing-Report.pdf,2026-07-13,text,pdftotext -layout,raw/herriman-2021-moderate-income-housing-report.pdf,25,Herriman (herriman.gov uploads),"City-posted 10-9a-408 annual report for reporting year 2021 (Reporting Date 12/1/2021; preparers Michael Maloy Planning Director + Susan Petheram Senior Planner; Mayor David Watts). Still live — linked from /master-plans as 'Moderate Income Housing Report'. Implements the 2019 MIH Plan. Sidecar: text/herriman-2021-moderate-income-housing-report.txt."
2023,Herriman annual MIH report — 2023 statewide compilation (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/23reports.pdf,2026-07-12,text,pdftotext -layout,raw/hcd-23reports.pdf,231-249,Utah DWS HCD (jobs.utah.gov),"Herriman's 10-9a-408 annual report in the statewide 23reports.pdf compilation (1109 pp; TOC prints Herriman at 230 = physical 231). Herriman = physical pp 231-249, starting MID-PAGE on p231 (Heber City's tail above; Highland starts p250). 6 strategies (#1-#6 = A B E F G K). Cites the plan at herriman.org/uploads/files/3067/. Sidecar text/herriman-2023.txt is mechanically trimmed to start at 'Herriman/Type of Jurisdiction' (Heber tail removed); no tail bleed. Raw PDF copied from bluffdale_city_council/housing_plans/raw/ (sha256-verified vs its _fetch_log; original fetch 2026-07-12)."
2024,Herriman annual MIH report — 2024 statewide compilation (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/24reports.pdf,2026-07-12,text,pdftotext -layout,raw/hcd-24reports.pdf,209-223,Utah DWS HCD (jobs.utah.gov),"Herriman's 10-9a-408 annual report in the statewide 24reports.pdf compilation (1030 pp; two-column layout). 'Herriman city' header tops physical p209 (filed by Susan Petheram, Senior Planner); Herriman = pp 209-223; p223 is a SHARED boundary page (Herriman's closing lines + the 'Highland city' header in parallel columns — kept verbatim in text/herriman-2024.txt, so expect Highland header bleed on the last page). Raw PDF copied from bluffdale_city_council/housing_plans/raw/ (sha256-verified; original fetch 2026-07-12)."
2025,Herriman annual MIH report — 2025 statewide compilation (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/25reports.pdf,2026-07-12,text,pdftotext -layout,raw/hcd-25reports.pdf,286-302,Utah DWS HCD (jobs.utah.gov),"Herriman's 10-9a-408 annual report in the statewide 25reports.pdf compilation (1303 pp). Herriman = physical pp 286-302, clean page boundaries (Heber city ends p285; Highland city starts p303; no bleed). Filed by Susan Petheram, Senior Planner (FFKR); YEAR 2-5 implementation-plan reporting; strategies A B E F G K. Sidecar: text/herriman-2025.txt. Raw PDF copied from bluffdale_city_council/housing_plans/raw/ (sha256-verified; original fetch 2026-07-12)."
