source,motion_no,date,body,motion_type_native,motion_type_std,land_use_type,action_class,outcome,tally_aye,tally_nay,tally_other,vote_mode,result_raw,classify_method,classify_confidence
minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,1,2020-01-08,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion carried with unanimous consent of the Council,crosswalk,high
minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,2,2020-01-08,Council,Other,Other,,final-action,pass,,,,unanimous-declared,The motion passed with unanimous consent of the Council,rule:no-signal,low
minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,3,2020-01-08,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,high
minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,4,2020-01-08,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high
minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,5,2020-01-08,Council,Appointment,Appointment,,final-action,pass,3,2,,roll-call,The motion passed with a vote 3:2,crosswalk,medium
minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,6,2020-01-08,Council,Public Hearing Action,Public-Hearing,,procedural,pass,,,,unanimous-declared,The motion carried with unanimous consent of the Council,crosswalk,high
minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,7,2020-01-08,Council,Ordinance,Ordinance,,final-action,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,high
minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,8,2020-01-08,Council,Public Hearing Action,Public-Hearing,,procedural,pass,,,,unanimous-declared,The motion passed with unanimous consent of the Council,crosswalk,high
minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,9,2020-01-08,Council,Land-Use/Zoning,Land-Use,Other-Land-Use,final-action,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,medium
minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,10,2020-01-08,Council,Public Hearing Action,Public-Hearing,,procedural,pass,,,,unanimous-declared,The motion passed with unanimous consent of the Council,crosswalk,high
minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,11,2020-01-08,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,high
minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,12,2020-01-08,Council,Land-Use/Zoning,Land-Use,Development-Agreement,final-action,pass,5,0,,roll-call,The motion passed unanimously,rule:lu-devagr,high
minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,13,2020-01-08,Council,Interlocal,Interlocal,,final-action,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,high
minutes/2020/2020-01-06/2020-01-08_city-council-meeting.md,14,2020-01-08,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,The motion passed with unanimous consent of the Council,crosswalk,high
minutes/2020/2020-01-13/2020-01-15_city-council-meeting.md,1,2020-01-15,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high
minutes/2020/2020-01-13/2020-01-15_city-council-meeting.md,2,2020-01-15,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high
minutes/2020/2020-01-13/2020-01-15_city-council-meeting.md,3,2020-01-15,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high
minutes/2020/2020-01-20/2020-01-22_city-council-meeting.md,1,2020-01-22,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high
minutes/2020/2020-01-20/2020-01-22_city-council-meeting.md,2,2020-01-22,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,4,0,,roll-call,The motion passed unanimously with Mayor David Watts being absent,crosswalk,high
minutes/2020/2020-01-20/2020-01-22_city-council-meeting.md,3,2020-01-22,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high
minutes/2020/2020-01-20/2020-01-22_city-council-meeting.md,4,2020-01-22,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,3,0,,roll-call,The motion passed unanimously with Councilmember Clint Smith and Mayor David Watts being absent,crosswalk,high
minutes/2020/2020-01-20/2020-01-22_city-council-meeting.md,5,2020-01-22,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high
minutes/2020/2020-01-27/2020-01-29_city-council-meeting.md,1,2020-01-29,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high
minutes/2020/2020-01-27/2020-01-29_city-council-meeting.md,2,2020-01-29,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high
minutes/2020/2020-02-10/2020-02-12_community-development-agency-meeting.md,1,2020-02-12,CDRA,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high
minutes/2020/2020-02-10/2020-02-12_community-development-agency-meeting.md,2,2020-02-12,CDRA,Contract/Purchase,Contract-Purchase,,final-action,pass,5,0,,roll-call,The motion passed unanimously,crosswalk,high
minutes/2020/2020-02-10/2020-02-12_community-development-agency-meeting.md,3,2020-02-12,CDRA,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high
minutes/2020/2020-02-10/2020-02-12_city-council-meeting.md,1,2020-02-12,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high
minutes/2020/2020-02-10/2020-02-12_city-council-meeting.md,2,2020-02-12,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,4,0,,roll-call,The motion passed unanimously with Mayor Watts being absent,crosswalk,high
minutes/2020/2020-02-10/2020-02-12_city-council-meeting.md,3,2020-02-12,Council,Procedural/Administrative,Procedural-Administrative,,procedural,pass,,,,unanimous-declared,passed (all voted aye),crosswalk,high
