stem,format,extraction_method
2018-01,scanned,tesseract OCR @300dpi (no text layer)
2018-03,scanned,tesseract OCR @300dpi (no text layer)
2018-04,scanned,tesseract OCR @300dpi (no text layer)
2018-12,scanned,tesseract OCR @300dpi (no text layer)
2018-13,scanned,tesseract OCR @300dpi (no text layer)
2018-15,scanned,tesseract OCR @300dpi (no text layer)
2018-20,scanned,tesseract OCR @300dpi (no text layer)
2018-26,scanned,tesseract OCR @300dpi (no text layer)
2018-27,scanned,tesseract OCR @300dpi (no text layer)
2018-28,scanned,tesseract OCR @300dpi (no text layer)
2018-29,scanned,tesseract OCR @300dpi (no text layer)
2018-32,scanned,tesseract OCR @300dpi (no text layer)
2018-36,scanned,tesseract OCR @300dpi (no text layer)
2018-37,scanned,tesseract OCR @300dpi (no text layer)
2018-38,scanned,tesseract OCR @300dpi (no text layer)
2018-40,scanned,tesseract OCR @300dpi (no text layer)
2018-41,scanned,tesseract OCR @300dpi (no text layer)
2018-44,scanned,tesseract OCR @300dpi (no text layer)
2019-05,scanned,tesseract OCR @300dpi (no text layer)
2019-12,scanned,tesseract OCR @300dpi (no text layer)
2019-15,scanned,tesseract OCR @300dpi (no text layer)
2019-17,scanned,tesseract OCR @300dpi (no text layer)
2019-18,scanned,tesseract OCR @300dpi (no text layer)
2019-20,text,pdftotext -layout
2019-22,scanned,tesseract OCR @300dpi (no text layer)
2019-23,scanned,tesseract OCR @300dpi (no text layer)
2019-24,scanned,tesseract OCR @300dpi (no text layer)
2019-27,scanned,tesseract OCR @300dpi (no text layer)
2019-28,scanned,tesseract OCR @300dpi (no text layer)
2019-29,scanned,tesseract OCR @300dpi (no text layer)
2019-30,scanned,tesseract OCR @300dpi (no text layer)
2019-31,scanned,tesseract OCR @300dpi (no text layer)
2020-05,scanned,tesseract OCR @300dpi (no text layer)
2020-08,scanned,tesseract OCR @300dpi (no text layer)
2020-09,scanned,tesseract OCR @300dpi (no text layer)
2020-24,scanned,tesseract OCR @300dpi (no text layer)
2020-32,scanned,tesseract OCR @300dpi (no text layer)
2020-33,scanned,tesseract OCR @300dpi (no text layer)
2020-35,scanned,tesseract OCR @300dpi (no text layer)
2021-01,scanned,tesseract OCR @300dpi (no text layer)
2021-10,scanned,tesseract OCR @300dpi (no text layer)
2021-12,scanned,tesseract OCR @300dpi (no text layer)
2021-13,scanned,tesseract OCR @300dpi (no text layer)
2021-14,text,pdftotext -layout
2021-18,scanned,tesseract OCR @300dpi (no text layer)
2021-22,scanned,tesseract OCR @300dpi (no text layer)
2021-23,text,pdftotext -layout
