date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2025-11-12,2025,City Council Regular Meeting,Council,1,adjourn the City Council work meeting at 7:02 p.m,Procedural/Administrative,passed (all voted aye),Teddy Hodges,Sherrie Ohrn,,,minutes/2025/2025-11-10/2025-11-12_city-council-regular-meeting.md,minutes
2025-11-12,2025,City Council Regular Meeting,Council,2,close the public hearing,Public Hearing Action,passed (all voted aye),Jared Henderson,Teddy Hodges,,,minutes/2025/2025-11-10/2025-11-12_city-council-regular-meeting.md,minutes
2025-11-12,2025,City Council Regular Meeting,Council,3,approve Resolution Number R53-2025 approving and amending the 2026 fiscal budget,Resolution,The motion passed unanimously,Jared Henderson,Teddy Hodges,Jared Henderson,Aye,minutes/2025/2025-11-10/2025-11-12_city-council-regular-meeting.md,minutes
2025-11-12,2025,City Council Regular Meeting,Council,3,approve Resolution Number R53-2025 approving and amending the 2026 fiscal budget,Resolution,The motion passed unanimously,Jared Henderson,Teddy Hodges,Lorin Palmer,Aye,minutes/2025/2025-11-10/2025-11-12_city-council-regular-meeting.md,minutes
2025-11-12,2025,City Council Regular Meeting,Council,3,approve Resolution Number R53-2025 approving and amending the 2026 fiscal budget,Resolution,The motion passed unanimously,Jared Henderson,Teddy Hodges,Sherrie Ohrn,Aye,minutes/2025/2025-11-10/2025-11-12_city-council-regular-meeting.md,minutes
2025-11-12,2025,City Council Regular Meeting,Council,3,approve Resolution Number R53-2025 approving and amending the 2026 fiscal budget,Resolution,The motion passed unanimously,Jared Henderson,Teddy Hodges,Teddy Hodges,Aye,minutes/2025/2025-11-10/2025-11-12_city-council-regular-meeting.md,minutes
2025-11-12,2025,City Council Regular Meeting,Council,3,approve Resolution Number R53-2025 approving and amending the 2026 fiscal budget,Resolution,The motion passed unanimously,Jared Henderson,Teddy Hodges,Terrah Anderson,Aye,minutes/2025/2025-11-10/2025-11-12_city-council-regular-meeting.md,minutes
2025-11-12,2025,City Council Regular Meeting,Council,4,close the public hearing,Public Hearing Action,passed (all voted aye),Sherrie Ohrn,Teddy Hodges,,,minutes/2025/2025-11-10/2025-11-12_city-council-regular-meeting.md,minutes
2025-11-12,2025,City Council Regular Meeting,Council,5,approve Resolution Number R54-2025 approving an amendment to the Herriman City master fee schedule as proposed,Resolution,The motion passed unanimously,Jared Henderson,Sherrie Ohrn,Jared Henderson,Aye,minutes/2025/2025-11-10/2025-11-12_city-council-regular-meeting.md,minutes
2025-11-12,2025,City Council Regular Meeting,Council,5,approve Resolution Number R54-2025 approving an amendment to the Herriman City master fee schedule as proposed,Resolution,The motion passed unanimously,Jared Henderson,Sherrie Ohrn,Lorin Palmer,Aye,minutes/2025/2025-11-10/2025-11-12_city-council-regular-meeting.md,minutes
