application_id,app_key,body_id,name,rep_title
1,Council|s|minutes/2020/2020-01-20/2020-01-23_city-council-meeting_585441.md|6,1,,"approve the minutes of November 7 and 14, 2019, and January 9, 2020, with an amendment to the minutes of November 7, page 6 to reflect that he was focused on the zone change and not the Plan. The motion was"
2,Council|s|minutes/2020/2020-05-04/2020-05-07_city-council-meeting_616773.md|2,1,,adopt Ordinance 2020-07 amending Section 13.94.080 of the City Code regarding short-term rentals
3,RDA|s|minutes/2021/2021-06-14/2021-06-17_city-council-meeting_747047.md|13,4,,adjourn
4,RDA|s|minutes/2021/2021-08-23/2021-08-26_city-council-meeting_768663.md|6,4,,Direct the City Attorney of Holladay to draft a letter on behalf of the Holladay RDA Board in support of the Developer Letter to the Salt Lake County Auditor
5,RDA|s|minutes/2021/2021-08-23/2021-08-26_city-council-meeting_768663.md|7,4,,"approve the RDA Board Meeting Minutes from May 6, 2021, June 3, and June 17, 2021"
6,RDA|s|minutes/2021/2021-08-23/2021-08-26_city-council-meeting_768663.md|8,4,,recess the RDA Board Meeting and reconvene in a Holladay City Council Work Meeting
7,RDA|s|minutes/2022/2022-04-18/2022-04-21_rda-meeting_861661.md|1,4,,approve RDA Resolution 2022-02
8,RDA|s|minutes/2022/2022-04-18/2022-04-21_rda-meeting_861661.md|2,4,,approve RDA Resolution 2022-02
9,RDA|s|minutes/2022/2022-04-18/2022-04-21_rda-meeting_861661.md|3,4,,approve RDA Resolution 2022-03
10,RDA|s|minutes/2022/2022-04-18/2022-04-21_rda-meeting_861661.md|4,4,,"direct City and Agency staff to draft a letter to be sent to the Proposed Developer/Property Owner, stating the Agency/City position on the proposal as follows: 1. The City does not currently have any strong objection to the location of housing in the Millrock area as proposed. This position is qualified, as we have not heard any public comment on the proposal; 2. The Agency/City believes the Proposed project could potentially meet Agency/City needs by providing highly desired, more affordable housing at a good location; 3. The City currently does not have any objection to amending the ORD zone regulations to allow housing uses"
11,RDA|s|minutes/2022/2022-04-18/2022-04-21_rda-meeting_861661.md|6,4,,adjourn the RDA Board Meeting and reconvene in a City Council Meeting
12,RDA|s|minutes/2022/2022-05-02/2022-05-05_rda-meeting_861663.md|1,4,,approve RDA Resolution 2022-04
13,RDA|s|minutes/2022/2022-05-02/2022-05-05_rda-meeting_861663.md|2,4,,adjourn the RDA Board Meeting and reconvene in a City Council Meeting
14,RDA|s|minutes/2022/2022-05-30/2022-06-02_rda-meeting_861665.md|1,4,,adjourn the RDA Board Meeting and reconvene in a City Council Meeting
15,Council|s|minutes/2022/2022-06-13/2022-06-16_city-council-meeting_894989.md|5,1,,ADOPT Ordinance 2022-15 - Amending Title 13.45 and Table 13.100 of the City Code relating to multi-family land uses in the ORD Zone
16,Council|s|minutes/2022/2022-06-13/2022-06-16_city-council-meeting_894989.md|6,1,,ADOPT Ordinance 2022-16 - Amending Title 13.05.070 of the City Code relating to eligibility requirements for the Design Review Board
17,Council|s|minutes/2022/2022-07-11/2022-07-14_city-council-meeting_894991.md|3,1,,ADOPT Ordinance 2022-19 - Vacating a portion of a public right-of-way at the junction of Jennie Lane and Naniloa Dr and giving Holladay City Staff additional authority to take any necessary steps to ensure the final amended plat is recorded and allowing a section to be added to the Ordinance to protect the ownership of the canal from the vacation
18,Council|s|minutes/2022/2022-09-12/2022-09-15_city-council-meeting_898705.md|3,1,,"approve Resolution 2022-24, adopting amendments to the City of Holladay General Plan relating to Moderate-Income Housing opportunities with the following amendments: 1. Under the Goals, Strategies, and Challenges Section, the graphic at the bottom should read, “Reduce, waive, or eliminate Park Impact Fees related to the new MIH. 2. The correlating municipal ordinance references should be made to the State Code"
19,Council|s|minutes/2023/2023-01-16/2023-01-19_city-council-meeting_957581.md|3,1,,APPROVE Resolution 2023-03 - Adopting Amendments to the City of Holladay General Plan Relating to Moderate-Income Housing Opportunities
20,Council|s|minutes/2023/2023-01-30/2023-02-02_city-council-meeting_957577.md|3,1,,APPROVE Resolution 2023-07 - Adopting Amendments to the City of Holladay General Plan relating to moderate-income housing opportunities
21,Council|s|minutes/2023/2023-04-03/2023-04-06_city-council-meeting_999780.md|6,1,,APPROVE Resolution 2023-13 Approving a Development Agreement with Orange Properties and Bret Laughlin for property located at 5025 South Highland Drive
22,Council|s|minutes/2023/2023-09-18/2023-09-21_city-council-meeting_1043195.md|1,1,,"ADOPT Ordinance 2023-11 - Amending Title 15.28.060 and Title 17.16.130, 17.29.040, Relating to the Removal of Bonds for Private Improvements Not Essential for Public Safety"
23,RDA|s|minutes/2024/2024-01-01/2024-01-04_rda-meeting_1136883.md|1,4,,APPROVE Resolution RDA 2024-01 -Appointing Ty Brewer as Chair and Drew Quinn as Vice Chair of the RDA Board
24,RDA|s|minutes/2024/2024-01-01/2024-01-04_rda-meeting_1136883.md|3,4,,ADJOURN the RDA Meeting
25,Council|title 13 regarding subdivision,1,Title 13 Regarding Subdivision,ADOPT Ordinance 2024-01 - Adopting Amendments to Title 13 Regarding Subdivision Processes
26,Council|s|minutes/2024/2024-01-29/2024-02-01_city-council-meeting_1115837.md|2,1,,"CONTINUE Ordinance 2024-02 - Amending the Zone Map for Property Located at 2051 and 2061 East Murray Holladay Road from the Residential Multi-Family (RM) Zone to the Professional Office (PO) Zone, to the March 7, 2024, City Council Meeting, in order to determine the details of the Development Agreement"
27,Council|title 13 setting forth revised subdivision,1,Title 13 Setting Forth Revised Subdivision,ADOPT Amended Ordinance 2024-01 - Repealing Chapter 10 of Title 13 of the City Code Relating to Subdivision Regulations and Enacting in Its Place Chapter 10A of Title 13 Setting Forth Revised Subdivision Regulations and Revising Other Related Chapters of the Land Use Code
28,Council|s|minutes/2024/2024-03-04/2024-03-07_city-council-meeting_1115833.md|1,1,,"ADOPT Ordinance 2024-02 - Amending the Zone Map for Property Located at 2051 and 2061 East Murray Holladay Road from the Residential Multi-Family (RM) Zone to the Professional Office (PO) Zone, subject to and conditioned on the following: • That the City and Developer, by a date not more than 90 days from this date, approve a Development Agreement that: a. Permits the construction of an office building(s) that comply with the zone restrictions and steps back in height such that any portion of the building that is beyond 55% of the lot’s depth, up unto the rear setback on the combined properties is not more than 35 feet in height; b. That the setback for the building fronting on Murray Holladay Road shall be a minimum of 10 feet from the right-of-way line for the Murray Holladay frontage and not less than 20 feet on the Sycamore frontage. • With an amendment to Section 3B, Line 3, of the ordinance to state: “…subject to the rezone at a point that is 55% of the depth of the parcels, as measured from Murray Holladay Road.”"
29,Council|s|minutes/2024/2024-03-04/2024-03-07_city-council-meeting_1115833.md|2,1,,"CONTINUE Consideration of Ordinance 2024-03 - Amending Title 13.100.010 Adding Quasi-Public (Churches) as a Permitted Use in the C-2 Zones, to the March 21, 2024, City Council Meeting to consider information regarding Federal Legislation"
30,Council|s|minutes/2024/2024-03-04/2024-03-07_city-council-meeting_1115833.md|4,1,,APPROVE Resolution 2024-07 - Amending the Moderate- Income Housing Element of the General Plan
31,Council|s|minutes/2024/2024-03-18/2024-03-21_city-council-meeting_1136879.md|2,1,,"ADOPT Ordinance 2024-04 - Amending Title 13.76.730, 13.100.010, and Chapter 5.54.010 Regarding Home Occupations"
32,Council|s|minutes/2024/2024-04-22/2024-04-25_city-council-meeting_1145972.md|4,1,,"APPROVE Resolution 2024-14 - Development Agreement with 2061 Holladay LLC, for Property Located at 2051 and 2061 Murray Holladay Road"
33,Council|s|minutes/2024/2024-05-13/2024-05-16_city-council-meeting_1145978.md|2,1,,ADOPT Ordinance 2024-07 - Amending Title 13.62 Building Heights in the C-2 Zone
34,RDA|s|minutes/2024/2024-06-03/2024-06-06_rda-meeting_1136885.md|1,4,,ADJOURN the RDA Meeting & convene in a City Council Work Meeting
35,Council|s|minutes/2024/2024-10-21/2024-10-24_city-council-meeting_1210649.md|1,1,,APPROVE Ordinance 2024-16 - Amending Title 13 of the City Code to Allow Short-Term Rentals as a Conditional Use in the PO Zone
36,Council|s|minutes/2024/2024-10-21/2024-10-24_city-council-meeting_1210649.md|2,1,,APPROVE Ordinance 2024-17 - Amending Section 11.04.010 - Clarifying the Enforcement Authority of the Unified Police Department for Traffic Regulations within the City
37,Council|s|minutes/2025/2025-03-03/2025-03-06_city-council-meeting_1260731.md|1,1,,APPROVE Ordinance 2025-01- Amending Title 13.02.030 of the City Code Regarding Roadway Classifications
38,Council|s|minutes/2025/2025-03-03/2025-03-06_city-council-meeting_1260731.md|2,1,,ADOPT Ordinance 2025-02 - Amending Title 17.08.020 and 17.32.025 of the City Code Regarding Stormwater Regulations
39,Council|s|minutes/2025/2025-03-17/2025-03-20_city-council-meeting_1260727.md|1,1,,"ADOPT Ordinance 2025-03 - Amending Title 13.04, 13.100, and Title 5.63 of the City Code Relating to Microschools and Micro Education Entities"
40,Council|s|minutes/2025/2025-03-17/2025-03-20_city-council-meeting_1260727.md|4,1,,APPROVE Resolution 2025-02 - Amending the Moderate-Income Housing Plan of the General Plan
41,Council|s|minutes/2025/2025-04-28/2025-05-01_city-council-meeting_1282121.md|1,1,,ADOPT Ordinance 2025-07 Amending Title 2 of the City Code relating to City Government
42,Council|s|minutes/2025/2025-05-12/2025-05-15_city-council-meeting_1282125.md|1,1,,ADOPT Ordinance 2025-07 Amending Title 2 of the City Code relating to City Government
43,Council|site plan development master plan,1,Site Plan Development Master Plan,"APPROVE Resolution 2025-15, Approving an Amendment to the Site Plan Development Master Plan for the Royal Holladay Hills Project"
44,Council|s|minutes/2025/2025-08-25/2025-08-28_city-council-meeting_1346945.md|1,1,,DENY the Appeal of Christian and Amanda Hansen for the Subdivision and PUD Approval at 4867 South Floribunda Drive
45,Council|s|minutes/2025/2025-08-25/2025-08-28_city-council-meeting_1346945.md|2,1,,ADOPT Ordinance 2025-14 - Amending Title 13.86.020 to Add 4659 South Highland Drive to Holladay’s Historic Designation List
46,Council|s|minutes/2025/2025-09-29/2025-10-02_city-council-meeting_1375585.md|1,1,,ADOPT Ordinance 2025-17 - Amending Title 7 of the City Code Relating to Code Enforcement
47,Council|s|minutes/2025/2025-09-29/2025-10-02_city-council-meeting_1375585.md|3,1,,ADOPT Ordinance 2025-19 - Amending Title 13.86.020 to Add 2052 East Arbor Lane to Holladay’s Historic Designation List
48,LBA|s|minutes/2025/2025-09-29/2025-10-02_city-council-meeting_1375585.md|5,2,,go into CLOSED SESSION Pursuant to Utah Code Section 52-4-204 & 205
49,LBA|s|minutes/2025/2025-09-29/2025-10-02_city-council-meeting_1375585.md|6,2,,adjourn the Closed Session
50,LBA|s|minutes/2025/2025-09-29/2025-10-02_city-council-meeting_1375585.md|7,2,,ADJOURN
51,Council|s|minutes/2025/2025-11-17/2025-11-20_city-council-meeting_1375583.md|2,1,,APPROVE Resolution 2025-27 - Adopting the 2025 General Plan
52,Council|s|minutes/2025/2025-12-01/2025-12-04_city-council-meeting_1375573.md|2,1,,ADOPT Ordinance 2025-20 - Amending Title 3 of the City Code Relating to Revenue and Finance
53,Council|site development master plan,1,Site Development Master Plan,APPROVE Resolution 2025-30 - Approving an Amendment to the Site Development Master Plan for Royal Holladay Hills
54,RDA|s|minutes/2026/2026-01-19/2026-01-22_city-council-meeting_1396115.md|1,4,,APPROVE Resolution 2026-03 - Adopting the Council Policies
55,RDA|s|minutes/2026/2026-01-19/2026-01-22_city-council-meeting_1396115.md|2,4,,APPROVE Resolution 2026-04 - Appointing David Sundwall to the South Salt Lake Valley Mosquito Abatement District
56,RDA|s|minutes/2026/2026-01-19/2026-01-22_city-council-meeting_1396115.md|3,4,,RECESS the City Council Meeting and RECONVENE in a Redevelopment Agency Meeting
57,RDA|s|minutes/2026/2026-02-02/2026-02-05_city-council-meeting_1402249.md|1,4,,RECESS the City Council Meeting and RECONVENE in an RDA Meeting
58,Council|s|minutes/2026/2026-02-16/2026-02-19_city-council-meeting_1439405.md|1,1,,ADOPT Ordinance 2026-01 - Amending Title 13.86.020 by Adding 2394 East Murray Holladay Road to the Historic Designation List
59,PlanningCommission|s|minutes/2020/2020-01-20/2020-01-21_planning-commission_wayback.md|4,3,,"deny the special exception to waterway protection area standards at 2802 East Valley View Avenue and requested that the homeowners meet with the City Engineer on an alternate location. The findings included the letter from the City Engineer and the setback on the canal, which is currently 20 feet with no accessory buildings allowed in the front yard"
