meeting_id,body_id,meeting_date,title,source_file
1,1,2020-01-09,City Council Meeting,minutes/2020/2020-01-06/2020-01-09_city-council-meeting_571111.md
2,1,2020-01-23,City Council Meeting,minutes/2020/2020-01-20/2020-01-23_city-council-meeting_585441.md
3,1,2020-01-30,City Council Meeting,minutes/2020/2020-01-27/2020-01-30_city-council-work-meeting_585437.md
4,1,2020-02-06,City Council Meeting,minutes/2020/2020-02-03/2020-02-06_city-council-meeting_585435.md
5,1,2020-02-20,City Council Meeting,minutes/2020/2020-02-17/2020-02-20_city-council-meeting_599387.md
6,1,2020-02-26,City Council Meeting,minutes/2020/2020-02-24/2020-02-26_city-council-meeting_593959.md
7,1,2020-03-05,City Council Meeting,minutes/2020/2020-03-02/2020-03-05_city-council-work-meeting_593961.md
8,1,2020-03-12,City Council Meeting,minutes/2020/2020-03-09/2020-03-12_city-council-meeting_607777.md
9,1,2020-04-02,City Council Meeting,minutes/2020/2020-03-30/2020-04-02_city-council-meeting_616769.md
10,1,2020-04-16,City Council Meeting,minutes/2020/2020-04-13/2020-04-16_city-council-meeting_607779.md
11,1,2020-05-07,City Council Meeting,minutes/2020/2020-05-04/2020-05-07_city-council-meeting_616773.md
12,1,2020-05-14,City Council Meeting,minutes/2020/2020-05-11/2020-05-14_city-council-work-meeting_619407.md
13,1,2020-05-28,City Council Meeting,minutes/2020/2020-05-25/2020-05-28_city-council-meeting_626783.md
14,1,2020-06-04,City Council Meeting,minutes/2020/2020-06-01/2020-06-04_city-council-meeting_626785.md
15,1,2020-06-18,City Council Meeting,minutes/2020/2020-06-15/2020-06-18_city-council-meeting_626787.md
16,1,2020-07-09,City Council Meeting,minutes/2020/2020-07-06/2020-07-09_city-council-meeting_638705.md
17,1,2020-07-16,City Council Meeting,minutes/2020/2020-07-13/2020-07-16_city-council-meeting_638707.md
18,1,2020-08-06,City Council Meeting,minutes/2020/2020-08-03/2020-08-06_city-council-meeting_638709.md
19,1,2020-08-27,City Council Meeting,minutes/2020/2020-08-24/2020-08-27_city-council-meeting_655817.md
20,1,2020-09-03,City Council Meeting,minutes/2020/2020-08-31/2020-09-03_city-council-meeting_655819.md
