year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2007,municipal general,Council,2,Holladay City Council District 2,LYNN H. PACE,1395,96.61,1,True
2007,municipal general,Council,2,Holladay City Council District 2,Write-in,49,3.39,2,False
2007,municipal general,Council,4,Holladay City Council District 4,E. BARRY TOPHAM,970,58.75,1,True
2007,municipal general,Council,4,Holladay City Council District 4,STEVEN R. PETERSON,670,40.58,2,False
2007,municipal general,Council,4,Holladay City Council District 4,Write-in,11,0.67,3,False
2007,municipal general,Council,5,Holladay City Council District 5,"JOSEPH JAMES (JIM) PALMER, JR.",967,57.87,1,True
2007,municipal general,Council,5,Holladay City Council District 5,D. BLAINE ANDERSON,694,41.53,2,False
2007,municipal general,Council,5,Holladay City Council District 5,Write-in,10,0.6,3,False
2007,municipal primary,Council,4,Holladay City Council District 4,E. BARRY TOPHAM,232,50.11,1,True
2007,municipal primary,Council,4,Holladay City Council District 4,STEVEN R. PETERSON,178,38.44,2,False
2007,municipal primary,Council,4,Holladay City Council District 4,JOHN CHRISTOPHER,53,11.45,3,False
2009,municipal general,Council,1,Holladay City Council District 1,SABRINA R. PETERSEN,671,55.55,1,True
2009,municipal general,Council,1,Holladay City Council District 1,CAROL SCOTT,530,43.87,2,False
2009,municipal general,Council,1,Holladay City Council District 1,Write-in,7,0.58,3,False
2009,municipal general,Council,3,Holladay City Council District 3,PAT PIGNANELLI,564,52.13,1,True
2009,municipal general,Council,3,Holladay City Council District 3,STEVE FOTHERINGHAM,516,47.69,2,False
2009,municipal general,Council,3,Holladay City Council District 3,Write-in,2,0.18,3,False
2009,municipal general,Mayor,,Holladay City Mayor,DENNIS R. WEBB,3546,58.54,1,True
2009,municipal general,Mayor,,Holladay City Mayor,E. BARRY TOPHAM,2489,41.09,2,False
2009,municipal general,Mayor,,Holladay City Mayor,Write-in,22,0.36,3,False
2009,municipal primary,Council,1,Holladay City Council District 1,SABRINA R. PETERSEN,373,48.13,1,True
2009,municipal primary,Council,1,Holladay City Council District 1,CAROL SCOTT,197,25.42,2,False
2009,municipal primary,Council,1,Holladay City Council District 1,GRANT G ORTON,105,13.55,3,False
2009,municipal primary,Council,1,Holladay City Council District 1,OMAR T. LEEMAN,85,10.97,4,False
2009,municipal primary,Council,1,Holladay City Council District 1,PAUL C. STANWORTH,15,1.94,5,False
2011,municipal general,Council,2,Holladay City Council District 2,LYNN H. PACE,486,93.46,1,True
2011,municipal general,Council,2,Holladay City Council District 2,Write-in,34,6.54,2,False
2011,municipal general,Council,4,Holladay City Council District 4,STEVEN H. GUNN,470,53.11,1,True
2011,municipal general,Council,4,Holladay City Council District 4,ROBERT (BOB) NESLEN,411,46.44,2,False
2011,municipal general,Council,4,Holladay City Council District 4,Write-in,4,0.45,3,False
2011,municipal general,Council,5,Holladay City Council District 5,J. JAMES PALMER,428,52.2,1,True
2011,municipal general,Council,5,Holladay City Council District 5,ANNETTE MALEN,391,47.68,2,False
2011,municipal general,Council,5,Holladay City Council District 5,Write-in,1,0.12,3,False
2011,municipal primary,Council,4,Holladay City Council District 4,ROBERT (BOB) NESLEN,233,38.51,1,True
2011,municipal primary,Council,4,Holladay City Council District 4,STEVEN H. GUNN,175,28.93,2,False
2011,municipal primary,Council,4,Holladay City Council District 4,DAVID K. BROADBENT,143,23.64,3,False
2011,municipal primary,Council,4,Holladay City Council District 4,J. DANIEL SCHOENFELD,54,8.93,4,False
2013,municipal general,Council,1,Holladay City Council District 1,SABRINA R. PETERSEN,700,93.83,1,True
2013,municipal general,Council,1,Holladay City Council District 1,Write-in,46,6.17,2,False
2013,municipal general,Council,3,Holladay City Council District 3,PATRICIA ANN PIGNANELLI,709,94.79,1,True
2013,municipal general,Council,3,Holladay City Council District 3,Write-in,39,5.21,2,False
2013,municipal general,Mayor,,Holladay City Mayor,ROBERT M. DAHLE,2476,50.73,1,True
2013,municipal general,Mayor,,Holladay City Mayor,D. BLAINE ANDERSON,2388,48.92,2,False
2013,municipal general,Mayor,,Holladay City Mayor,Write-in,17,0.35,3,False
2013,municipal primary,Mayor,,Holladay City Mayor,D. BLAINE ANDERSON,1212,37.97,1,True
2013,municipal primary,Mayor,,Holladay City Mayor,ROBERT M. DAHLE,1110,34.77,2,False
2013,municipal primary,Mayor,,Holladay City Mayor,HELEN H. REDD,678,21.24,3,False
2013,municipal primary,Mayor,,Holladay City Mayor,HOLLI DUNN,192,6.02,4,False
2015,municipal general,Council,2,Holladay City Council District 2,LYNN H. PACE,1143,100.0,1,True
2015,municipal general,Council,4,Holladay City Council District 4,STEVEN H. GUNN,1252,75.92,1,True
2015,municipal general,Council,4,Holladay City Council District 4,MITCHELL C. SMOOT,397,24.08,2,False
2015,municipal general,Council,5,Holladay City Council District 5,MARK HOLMES STEWART,772,53.99,1,True
2015,municipal general,Council,5,Holladay City Council District 5,J. JAMES JIM PALMER,658,46.01,2,False
2015,municipal primary,Council,4,Holladay City Council District 4,STEVEN H. GUNN,915,76.63,1,True
2015,municipal primary,Council,4,Holladay City Council District 4,MITCHELL C. SMOOT,152,12.73,2,False
2015,municipal primary,Council,4,Holladay City Council District 4,MARK CHRISTIAN OLSEN,127,10.64,3,False
2017,municipal general,Council,1,Holladay City Council District 1,SABRINA R PETERSEN,1230,100.0,1,True
2017,municipal general,Council,3,Holladay City Council District 3,PAUL S FOTHERINGHAM,1116,67.27,1,True
2017,municipal general,Council,3,Holladay City Council District 3,DENNIS ROACH,543,32.73,2,False
2017,municipal general,Mayor,,Holladay City Mayor,ROBERT M. DAHLE,7465,100.0,1,True
2019,municipal general,Council,2,Holladay City Council District 2,MATT DURHAM,962,100.0,1,True
2019,municipal general,Council,4,Holladay City Council District 4,DREW B. QUINN,1450,78.0,1,True
2019,municipal general,Council,4,Holladay City Council District 4,B. PETER MONSON,409,22.0,2,False
2019,municipal general,Council,5,Holladay City Council District 5,DANIEL BAY GIBBONS,971,55.11,1,True
2019,municipal general,Council,5,Holladay City Council District 5,LORI A. KHODADAD,791,44.89,2,False
2021,municipal general,Council,1,Holladay City Council District 1,D. TY BREWER,671,52.46,1,True
2021,municipal general,Council,1,Holladay City Council District 1,MELISSA BLACKHAM HILTON,608,47.54,2,False
2021,municipal general,Council,3,Holladay City Council District 3,PAUL S. FOTHERINGHAM,867,100.0,1,True
2021,municipal general,Mayor,,Holladay City Mayor,ROBERT M. DAHLE,4533,100.0,1,True
2023,municipal general,Council,4,Holladay City Council District 4,DREW B. QUINN,1073,72.26,1,True
2023,municipal general,Council,4,Holladay City Council District 4,MATTHEW COLLIN TRACY,412,27.74,2,False
2025,municipal general,Council,1,Holladay City Council District 1,DAVID HAMMON SUNDWALL,1159,67.42,1,True
2025,municipal general,Council,1,Holladay City Council District 1,GRANT JACOB BILSTAD,560,32.58,2,False
2025,municipal general,Council,1,Holladay City Council District 1,Write-in (unresolved),0,0.0,3,False
2025,municipal general,Council,3,Holladay City Council District 3,NATALIE BELLAMY BRADLEY,1068,60.54,1,True
2025,municipal general,Council,3,Holladay City Council District 3,BAILEE JONES,696,39.46,2,False
2025,municipal general,Council,3,Holladay City Council District 3,Write-in (unresolved),0,0.0,3,False
2025,municipal general,Mayor,,Holladay City Mayor,PAUL S FOTHERINGHAM,5601,57.04,1,True
2025,municipal general,Mayor,,Holladay City Mayor,DAREN A. WATTS,4219,42.96,2,False
2025,municipal general,Mayor,,Holladay City Mayor,Write-in (unresolved),0,0.0,3,False
2025,municipal primary,Mayor,,Holladay City Mayor,PAUL S FOTHERINGHAM,3553,45.11,1,True
2025,municipal primary,Mayor,,Holladay City Mayor,DAREN A. WATTS,2242,28.47,2,False
2025,municipal primary,Mayor,,Holladay City Mayor,ZAC WILSON,2081,26.42,3,False
2025,municipal primary,Mayor,,Holladay City Mayor,Write-in (unresolved),0,0.0,4,False
