date,title,doc_type,source_url,retrieved_date,format,extraction_method,path,pages,repository,notes
2025-11,"Holladay General Plan 2025 (""Holladay Horizons"") — ADOPTED",general_plan,https://holladayut.gov/Document%20Center/GP%2024/Holladay%20General%20Plan%202025_APPROVED.pdf,2026-07-13,text,pdftotext -layout,raw/holladay-general-plan-2025.pdf,120,Holladay (holladayut.gov / cms3.revize.com Document Center),"Current adopted General Plan (""Holladay Horizons""). Adopted November 2025 per Holladay Journal (2026-02-02); final APPROVED PDF re-posted Feb 2026 (cache-buster t=202602271544170). Acknowledgments list the 2025 pre-Jan-2026 council (Mayor Dahle). The current Moderate-Income Housing element is Appendix F (see the Appendices row). Exact adoption day not printed in the plan text."
2025-11,Holladay General Plan 2025 Appendices (incl. Appendix F: Moderate-Income Housing Plan),general_plan,https://holladayut.gov/Document%20Center/GP%2024/Holladay%20General%20Plan%202025%20Appendices_APPROVED.pdf,2026-07-13,text,pdftotext -layout,raw/holladay-general-plan-2025-appendices.pdf,73,Holladay (holladayut.gov / cms3.revize.com Document Center),"Appendices A-F to the 2025 General Plan. Appendix F IS the current Moderate-Income Housing element (Utah Code 10-9a-403); Appendix F is the final/latter section of this bundle. Also contains A: Required GP Element Matrix, B: Glossary, C: Engagement Summary, D: Implementation Summary Table, E: Small Area Plans."
2016-07-14,City of Holladay General Plan 2016-2031 (prior plan),general_plan,https://www.utah.gov/pmn/files/1329487.pdf,2026-07-13,text,pdftotext -layout,raw/holladay-general-plan-2016-2031.pdf,90,Utah Public Notice (utah.gov/pmn file 1329487),Prior General Plan adopted July 14 2016; superseded by the 2025 plan. Land-use/MIH context for the RY2023 state filing. PDF internal title 'General Plan_currentFeb2023' (the Feb-2023 refresh of the 2016 plan). The city's own page linked General-Plan_currentFeb2023.pdf which now 404s on the migrated CMS; PMN copy used instead.
2019,Chapter 5: Moderate Income Housing — 2019 Update Summary (prior-plan MIH element),mih_element,https://www.utah.gov/pmn/files/532759.pdf,2026-07-13,text,pdftotext -layout,raw/holladay-mih-2019-update.pdf,18,Utah Public Notice (utah.gov/pmn file 532759),MIH element / SB 34 update to the 2016 General Plan. References the 2010 MIH Plan (reviewed 2013 & 2016) and an Oct-2017 MIH Review Report accepted by the State. Historical - superseded by the Chapter 5 plan (amended through 2024) and by 2025 GP Appendix F.
2024-03,Chapter 5: Moderate Income Housing Plan (amended through March 2024) — current standalone MIH element,mih_element,https://holladayut.gov/Document%20Center/Departments/Economic%20Development%20and%20Housing/Housing%20resources/Chapter%205%20Moderate%20Income%20Housing%20Plan.pdf,2026-07-13,text,pdftotext -layout,raw/holladay-chapter5-mih-plan.pdf,14,Holladay (holladayut.gov / cms3.revize.com Document Center),"City-posted standalone MIH element on the Moderate Income Housing page. Header states *Amended September 2022, *Amended February 2023, *Amended March 2024. This is the operative MIH Plan the city links; its latest amendment was adopted by Resolution 2025-02 (2025-03-20, see next row)."
2025-03-20,Resolution No. 2025-02 — Amending the Moderate Income Housing Plan (Exhibit A = Amended MIH Plan),mih_element,https://holladayut.gov/Document%20Center/Departments/Economic%20Development%20and%20Housing/Housing%20resources/2025-02%20-Resolution%20MIHP%202025.pdf,2026-07-13,scanned,"ocr (tesseract 5.5.0, 200dpi)",raw/holladay-resolution-2025-02-mihp.pdf,14,Holladay (holladayut.gov / cms3.revize.com Document Center),Signed resolution PASSED AND APPROVED 20 March 2025 amending the MIH Plan (minor numerical amendments per HB 462); Exhibit A is the amended MIH Plan itself. Image-only scan (no text layer) -> OCR sidecar; expect OCR artifacts. Surfaces the adopting instrument the city's plan-page did not otherwise name.
2024-08-01,2024 Moderate Income Housing Report — city-filed copy (submitted Aug 1 2024),mih_annual_report,https://holladayut.gov/Document%20Center/Departments/Economic%20Development%20and%20Housing/Housing%20resources/080124_2024%20MIH%20Annual%20Report_Submitted.pdf,2026-07-13,text,pdftotext -layout,raw/holladay-2024-mih-annual-report-city.pdf,23,Holladay (holladayut.gov / cms3.revize.com Document Center),City-published copy of Holladay's 10-9a-408 annual implementation report (reporting year Aug 1 2023-Jul 31 2024; submitted 2024-08-01; preparer Ann Frances Garcia). The state-published copy is the hcd-24reports.pdf excerpt (pp 230-250). Both retained (city vs state publication of one report).
2023,Holladay annual MIH report — 2023 statewide compilation (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/23reports.pdf,2026-07-13,text,pdftotext -layout,raw/hcd-23reports.pdf,256-263,Utah DWS HCD (jobs.utah.gov),"Holladay's 10-9a-408 annual report within the statewide 23reports.pdf (1109 pp). Holladay = physical pp 256-263 (printed 255-262; Hooper starts p264 => 2023 offset printed=physical-1). Sidecar text/holladay-2023.txt (bleed-verified, 0 neighbor-city headers). 'Link to Plan' fields cite General-Plan_currentFeb2023.pdf + Moderate-Income-Housing-Feb-2023.pdf (both now 404 on the migrated cityofholladay.com CMS). Copied sha256-verified from bluffdale raw/; original fetch 2026-07-13."
2024,Holladay annual MIH report — 2024 statewide compilation (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/24reports.pdf,2026-07-13,text,pdftotext -layout,raw/hcd-24reports.pdf,230-250,Utah DWS HCD (jobs.utah.gov),"Holladay's 10-9a-408 annual report within the statewide 24reports.pdf (1030 pp). Holladay = physical pp 230-250 (Hooper header starts p251). NOTE: the 2024 TOC printed page numbers are ~2x physical (Holladay printed 458 -> physical 230), so the range was CONTENT-SCANNED, not TOC-derived. Sidecar text/holladay-2024.txt (bleed-verified). State copy of the city-filed 080124 report. Copied sha256-verified from bluffdale raw/; original fetch 2026-07-13."
2025,Holladay annual MIH report — 2025 statewide compilation (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/25reports.pdf,2026-07-13,text,pdftotext -layout,raw/hcd-25reports.pdf,312-326,Utah DWS HCD (jobs.utah.gov),Holladay's 10-9a-408 annual report within the statewide 25reports.pdf (1303 pp). Holladay = physical pp 312-326 (printed 309; Hooper starts p327 => 2025 offset ~+3). Sidecar text/holladay-2025.txt (bleed-verified). Preparer contact annfgarcia@holladayUT.gov; links holladayut.gov housing pages + city ArcGIS hub. Copied sha256-verified from bluffdale raw/; original fetch 2026-07-13.
2021,Holladay SB 34 Municipal Progress Summary 2019-2021 (excerpt),mih_annual_report,https://jobs.utah.gov/housing/affordable/moderate/reporting/documents/sb34.pdf,2026-07-13,text,pdftotext -layout,raw/hcd-sb34.pdf,57,Utah DWS HCD (jobs.utah.gov),"Holladay's SB 34 progress summary within the statewide sb34.pdf (199 pp; covers 2019-2021). Holladay = summary #26, County: Salt Lake, 3 required items, single physical page 57 (Hooper starts p58). Sidecar text/holladay-sb34-2019-2021.txt (bleed-verified). Copied sha256-verified from bluffdale raw/; original fetch 2026-07-13."
