ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,subject,subject_source,minutes_source,linkage_note
2020-01,2020-02-06,2020-02-06,"adopt Ordinance 2020-01 with the following additional language: 1. 14 feet or less for an elevator only when the elevator provides access to rooftop amenities. Maximum 2,500-pound ",https://www.utah.gov/pmn/files/585435.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2020-01 was adopted by a unanimous vote.,2020-02-06,1,within_source,,motion,https://www.utah.gov/pmn/files/585435.pdf,
2020-02,2020-02-06,2020-02-06,adopt Ordinance 2020-02,https://www.utah.gov/pmn/files/585435.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2020-02 was adopted by a unanimous vote.,2020-02-06,2,within_source,,motion,https://www.utah.gov/pmn/files/585435.pdf,
2020-03,2020-02-20,2020-02-20,adopt Ordinance 2020-03,https://www.utah.gov/pmn/files/599387.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2020-03 was adopted by a unanimous vote.,2020-02-20,1,within_source,,motion,https://www.utah.gov/pmn/files/599387.pdf,
2020-04,2020-03-12,2020-03-12,adopt Ordinance 2020-04,https://www.utah.gov/pmn/files/607777.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2020-04 was adopted by a unanimous vote.,2020-03-12,2,within_source,,motion,https://www.utah.gov/pmn/files/607777.pdf,
2020-05,2020-04-16,2020-04-16,adopt Ordinance 2020-05,https://www.utah.gov/pmn/files/607779.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,,2020-04-16,1,within_source,,motion,https://www.utah.gov/pmn/files/607779.pdf,
2020-06,2020-04-16,2020-04-16,adopt Ordinance 2020-06,https://www.utah.gov/pmn/files/607779.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2020-06 was adopted by a unanimous vote.,2020-04-16,2,within_source,,motion,https://www.utah.gov/pmn/files/607779.pdf,
2020-07,2020-05-07,2020-05-07,adopt Ordinance 2020-07 amending Section 13.94.080 of the City Code regarding short-term rentals,https://www.utah.gov/pmn/files/616773.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2020-07 was adopted by a unanimous vote.,2020-05-07,2,within_source,,motion,https://www.utah.gov/pmn/files/616773.pdf,
2020-08,2020-05-28,2020-05-28,adopt Ordinance 2020-08 subject to the following condition: 1. The developer shall enter into an agreement with the City to restrict the location of two of the driveways onto Butte,https://www.utah.gov/pmn/files/626783.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2020-08 was adopted by a unanimous vote.,2020-05-28,1,within_source,,motion,https://www.utah.gov/pmn/files/626783.pdf,
2020-09,2020-06-18,2020-06-18,"adopt Ordinance 2020-09 with the change correcting the amended budget column to cross foot to $50,000",https://www.utah.gov/pmn/files/626787.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,,2020-06-18,1,within_source,,motion,https://www.utah.gov/pmn/files/626787.pdf,
2020-10,2020-06-18,2020-06-18,adopt Ordinance 2020-10,https://www.utah.gov/pmn/files/626787.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,,2020-06-18,2,within_source,,motion,https://www.utah.gov/pmn/files/626787.pdf,
