date,body,notice_title,reason,channels_checked
2020-04-07,PlanningCommission,Planning Commission Mtg,"source published the WRONG file: cityofholladay.com/file/2020/12/040720-PC-Mtg.pdf actually contains the 2020-06-16 minutes (city upload error, preserved in Wayback) - true 04-07 minutes not found on any channel",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
2020-10-06,PlanningCommission,Planning Commission Mtg,"PC minutes never published to any recoverable channel: absent from PMN body 389 (agenda/packet only), absent from Wayback of cityofholladay.com (packets only for this period), not in live Revize Document Center (2022/2023 folders 404; 2020/2021 folders exist but file not present under probed names), SuiteOne holds 2025+ only",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
2020-10-20,PlanningCommission,Planning Commission Mtg,"PC minutes never published to any recoverable channel: absent from PMN body 389 (agenda/packet only), absent from Wayback of cityofholladay.com (packets only for this period), not in live Revize Document Center (2022/2023 folders 404; 2020/2021 folders exist but file not present under probed names), SuiteOne holds 2025+ only",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
2020-11-10,PlanningCommission,Planning Commission Mtg,"PC minutes never published to any recoverable channel: absent from PMN body 389 (agenda/packet only), absent from Wayback of cityofholladay.com (packets only for this period), not in live Revize Document Center (2022/2023 folders 404; 2020/2021 folders exist but file not present under probed names), SuiteOne holds 2025+ only",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
2020-11-17,PlanningCommission,Planning Commission Mtg,"PC minutes never published to any recoverable channel: absent from PMN body 389 (agenda/packet only), absent from Wayback of cityofholladay.com (packets only for this period), not in live Revize Document Center (2022/2023 folders 404; 2020/2021 folders exist but file not present under probed names), SuiteOne holds 2025+ only",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
2020-12-01,PlanningCommission,Planning Commission Mtg,"PC minutes never published to any recoverable channel: absent from PMN body 389 (agenda/packet only), absent from Wayback of cityofholladay.com (packets only for this period), not in live Revize Document Center (2022/2023 folders 404; 2020/2021 folders exist but file not present under probed names), SuiteOne holds 2025+ only",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
2020-12-15,PlanningCommission,Planning Commission Mtg,"PC minutes never published to any recoverable channel: absent from PMN body 389 (agenda/packet only), absent from Wayback of cityofholladay.com (packets only for this period), not in live Revize Document Center (2022/2023 folders 404; 2020/2021 folders exist but file not present under probed names), SuiteOne holds 2025+ only",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
2021-07-13,PlanningCommission,Planning Commission Meeting,"PC minutes never published to any recoverable channel: absent from PMN body 389 (agenda/packet only), absent from Wayback of cityofholladay.com (packets only for this period), not in live Revize Document Center (2022/2023 folders 404; 2020/2021 folders exist but file not present under probed names), SuiteOne holds 2025+ only",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
2021-07-20,PlanningCommission,Planning Commission Meeting,"PC minutes never published to any recoverable channel: absent from PMN body 389 (agenda/packet only), absent from Wayback of cityofholladay.com (packets only for this period), not in live Revize Document Center (2022/2023 folders 404; 2020/2021 folders exist but file not present under probed names), SuiteOne holds 2025+ only",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
2021-08-03,PlanningCommission,Planning  Commission Meeting,"PC minutes never published to any recoverable channel: absent from PMN body 389 (agenda/packet only), absent from Wayback of cityofholladay.com (packets only for this period), not in live Revize Document Center (2022/2023 folders 404; 2020/2021 folders exist but file not present under probed names), SuiteOne holds 2025+ only",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
2021-09-07,PlanningCommission,Planning Commission Meeting,"PC minutes never published to any recoverable channel: absent from PMN body 389 (agenda/packet only), absent from Wayback of cityofholladay.com (packets only for this period), not in live Revize Document Center (2022/2023 folders 404; 2020/2021 folders exist but file not present under probed names), SuiteOne holds 2025+ only",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
2021-10-05,PlanningCommission,Planning Commission Mtg,"PC minutes never published to any recoverable channel: absent from PMN body 389 (agenda/packet only), absent from Wayback of cityofholladay.com (packets only for this period), not in live Revize Document Center (2022/2023 folders 404; 2020/2021 folders exist but file not present under probed names), SuiteOne holds 2025+ only",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
2021-10-19,PlanningCommission,Planning Commission Meeting,"PC minutes never published to any recoverable channel: absent from PMN body 389 (agenda/packet only), absent from Wayback of cityofholladay.com (packets only for this period), not in live Revize Document Center (2022/2023 folders 404; 2020/2021 folders exist but file not present under probed names), SuiteOne holds 2025+ only",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
2021-11-09,PlanningCommission,Planning Commission Meeting,"PC minutes never published to any recoverable channel: absent from PMN body 389 (agenda/packet only), absent from Wayback of cityofholladay.com (packets only for this period), not in live Revize Document Center (2022/2023 folders 404; 2020/2021 folders exist but file not present under probed names), SuiteOne holds 2025+ only",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
2021-11-16,PlanningCommission,Planning Commission Mtg,"PC minutes never published to any recoverable channel: absent from PMN body 389 (agenda/packet only), absent from Wayback of cityofholladay.com (packets only for this period), not in live Revize Document Center (2022/2023 folders 404; 2020/2021 folders exist but file not present under probed names), SuiteOne holds 2025+ only",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
2021-12-14,PlanningCommission,Planning Commission Meeting,"PC minutes never published to any recoverable channel: absent from PMN body 389 (agenda/packet only), absent from Wayback of cityofholladay.com (packets only for this period), not in live Revize Document Center (2022/2023 folders 404; 2020/2021 folders exist but file not present under probed names), SuiteOne holds 2025+ only",PMN-389; Wayback(cityofholladay.com+holladayut.gov); live Revize Document Center; SuiteOne
