city,body,seat_id,district,person_name,person_key,start_date,end_date,start_event,end_event,election_year,first_vote,last_vote,sources,confidence,note
holladay,Council,D1,District 1,Sabrina Petersen,sabrina_petersen,2018-01-01,2022-01-20,elected,did-not-run,2017,2020-01-09,2021-12-16,"election:2017 (District 1 winner, unopposed 1,230/100%; also 2009 & 2013); votes:2020-01-09..2021-12-16 (cities.db, Council/D1)",medium,Cycle-A HOLDOVER at the 2020 floor: Jan-2018 oath predates the 2020 minutes floor -> start 2018-01-01 inferred (medium); service vote-documented from 2020-01-09. NOT a candidate in 2021 (Brewer won D1) -> did not seek re-election; term ended at the 2022-01-20 seating.
holladay,Council,D1,District 1,Ty Brewer,ty_brewer,2022-01-20,2026-01-08,elected,did-not-run,2021,2022-01-20,2025-12-18,"election:2021 (District 1 winner, as 'D. Ty Brewer', def. Melissa Blackham Hilton 52.46%); minutes:2022-01-20 (first documented 2022 council meeting; 2021-cycle seating); votes:2022-01-20..2025-12-18 (cities.db, Council/D1)",high,"Elected D1 2021. NOT a candidate in 2025 (Sundwall won D1) -> served the full term, did not seek re-election; end date is the successor's 2026-01-08 seating (precise), mechanism unstated."
holladay,Council,D1,District 1,David Sundwall,david_sundwall,2026-01-08,,elected,serving,2025,2026-01-08,2026-04-16,"election:2025 (District 1 winner, as 'David Hammon Sundwall', def. Grant Jacob Bilstad 67.42%); minutes:2026-01-08 (first documented 2026 council meeting; present list names Sundwall); votes:2026-01-08.. (cities.db, Council/D1)",high,Elected D1 2025 (seated 2026-01-08). Serving.
holladay,Council,D2,District 2,Matt Durham,matt_durham,2020-01-09,2024-01-04,elected,reelected,2019,2020-01-09,2023-11-16,"election:2019 (District 2 winner, unopposed 962/100%); minutes:present 2020-01-09 (first documented 2020 council meeting); votes:2020-01-09.. (cities.db, Council/D2)",high,Elected D2 2019. Re-elected 2023 (uncontested) -> continuous.
holladay,Council,D2,District 2,Matt Durham,matt_durham,2024-01-04,,reelected,serving,2023,2024-01-04,2026-04-16,"election:2023 (District 2 UNCONTESTED — SLCo omits uncontested municipal seats from the SOVC, so there is NO by-candidate row; Durham drew a single candidate and was declared elected to a Jan-2028 term, corroborated by the 2026 roster — see election_results/CLAUDE.md); minutes:2024-01-04 (first documented 2024 council meeting); votes:continuous through 2026-04-16 (cities.db, Council/D2)",high,Re-elected D2 2023 UNCONTESTED (first D2 term on the plan_2022 lines; seated 2024-01-04). The win is documented but not in election_results (uncontested) -> no forward cross-check row; confidence high on the documented seating + roster corroboration. Serving.
holladay,Council,D3,District 3,Paul Fotheringham,paul_fotheringham,2018-01-01,2022-01-20,elected,reelected,2017,2020-01-09,2021-12-16,"election:2017 (District 3 winner, as 'Paul S Fotheringham', def. Dennis Roach 67.27%); votes:2020-01-09.. (cities.db, Council/D3)",medium,Cycle-A HOLDOVER at the 2020 floor: Jan-2018 oath predates the minutes floor -> start 2018-01-01 inferred (medium); service vote-documented from 2020-01-09. Re-elected 2021.
holladay,Council,D3,District 3,Paul Fotheringham,paul_fotheringham,2022-01-20,2026-01-08,reelected,became-mayor,2021,2022-01-20,2025-12-18,"election:2021 (District 3 winner, unopposed 867/100%); minutes:2022-01-20 (2021-cycle seating); election:2025 (won MAYOR — vacates D3); votes:2022-01-20..2026-01-08 (cities.db, Council/D3, clamped)",high,Re-elected D3 2021. ELECTED MAYOR in 2025 -> left D3 at the 2026-01-08 seating (became-mayor). Same person as the MAYOR tenure below; the vote-bound clamp confines this D3 row to its own window (his mayoral council votes fall on the MAYOR tenure).
holladay,Council,D3,District 3,Natalie Bradley,natalie_bradley,2026-01-08,,elected,serving,2025,2026-01-08,2026-04-16,"election:2025 (District 3 winner, as 'Natalie Bellamy Bradley', def. Bailee Jones 60.54% — the OPEN D3 seat Fotheringham vacated to run for Mayor); minutes:2026-01-08 (present list names Bradley); votes:2026-01-08.. (cities.db, Council/D3)",high,Elected D3 2025 (seated 2026-01-08). Serving.
holladay,Council,D4,District 4,Drew Quinn,drew_quinn,2020-01-09,2024-01-04,elected,reelected,2019,2020-01-09,2023-11-16,"election:2019 (District 4 winner, def. B. Peter Monson 78.00%); minutes:present 2020-01-09; votes:2020-01-09.. (cities.db, Council/D4)",high,Elected D4 2019. Re-elected 2023 -> continuous.
holladay,Council,D4,District 4,Drew Quinn,drew_quinn,2024-01-04,,reelected,serving,2023,2024-01-04,2026-04-16,"election:2023 (District 4 winner, def. Matthew Collin Tracy 72.26%); minutes:2024-01-04 (2023-cycle seating); votes:continuous through 2026-04-16 (cities.db, Council/D4)",high,Re-elected D4 2023 (first D4 term on the plan_2022 lines; seated 2024-01-04). Serving.
holladay,Council,D5,District 5,Daniel Gibbons,daniel_gibbons,2020-01-09,2024-01-04,elected,did-not-run,2019,2020-01-09,2023-11-16,"election:2019 (District 5 winner, as 'Daniel Bay Gibbons', def. Lori A. Khodadad 55.11%); minutes:present 2020-01-09; votes:2020-01-09..2023-11-16 (cities.db, Council/D5, clamped)",high,"Elected D5 2019. NOT a candidate in 2023 (Gray won D5 uncontested) -> did not seek re-election; term ended at the 2024-01-04 seating. NB: gov.db carries 4 'gibbons' Council votes AFTER 2024-01-04 (2024-02-15/-03-21/-04-25/-12-12) — re-diagnosed 2026-07-29 as a SOURCE (clerk) error, NOT an extraction artifact: all four are the boilerplate 'adjourn the Closed Session' roll, which the minutes VERBATIM print with the stale 2023 slate (Gibbons instead of Gray); the clerk did update the template on other 2024 dates. Rows RETAINED verbatim; NOT service; the clamp confines this row's last_vote to 2023-11-16. (See roster/CLAUDE.md + meeting_minutes/CLAUDE.md.)"
holladay,Council,D5,District 5,Emily Gray,emily_gray,2024-01-04,,elected,serving,2023,2024-01-04,2026-04-16,"election:2023 (District 5 UNCONTESTED — SLCo omits uncontested seats from the SOVC, so there is NO by-candidate row; Gray drew a single candidate, declared elected to a Jan-2028 term, corroborated by the 2026 roster — see election_results/CLAUDE.md); minutes:2024-01-04 (first documented 2024 council meeting; her first continuous vote); votes:2024-01-04.. (cities.db, Council/D5)",high,Elected D5 2023 UNCONTESTED (first D5 term on the plan_2022 lines; seated 2024-01-04). The win is documented but not in election_results (uncontested) -> no forward cross-check row; confidence high on the documented seating + continuous vote record + roster. Serving.
holladay,Mayor,MAYOR,Citywide,Rob Dahle,rob_dahle,2018-01-01,2022-01-20,elected,reelected,2017,2020-01-09,2021-12-02,"election:2017 (Mayor winner, as 'Robert M. Dahle', unopposed 7,465/100%; first won 2013 by +88); votes:2020-01-09.. (cities.db, Council — mayoral votes, roll of 6)",medium,Cycle-A HOLDOVER at the 2020 floor: Jan-2018 oath predates the minutes floor -> start 2018-01-01 inferred (medium). The Holladay Mayor is a FULL voting council member (non_voting_mayor=False). Re-elected 2021.
holladay,Mayor,MAYOR,Citywide,Rob Dahle,rob_dahle,2022-01-20,2026-01-08,reelected,did-not-run,2021,2022-01-20,2025-12-18,"election:2021 (Mayor winner, as 'Robert M. Dahle', unopposed 4,533/100%); minutes:2022-01-20 (2021-cycle seating); votes:2022-01-20..2025-12-18 (cities.db, Council — mayoral votes)",high,"Re-elected Mayor 2021. NOT a candidate in 2025 (Fotheringham won) -> served the full term, did not seek re-election; end date is the successor's 2026-01-08 seating (precise)."
holladay,Mayor,MAYOR,Citywide,Paul Fotheringham,paul_fotheringham,2026-01-08,,became-mayor,serving,2025,2026-01-08,2026-04-16,"election:2025 (Mayor winner, as 'Paul S Fotheringham', def. Daren A. Watts 57.04%); minutes:2026-01-08 ('Mayor Paul Fotheringham called the City Council Meeting to order'); votes:2026-01-08.. (cities.db, Council — mayoral votes, clamped)",high,COUNCILMEMBER -> MAYOR: won the 2025 mayoralty from the D3 seat (see the D3 became-mayor row). Same person_key; the vote-bound clamp splits his D3-era and mayor-era council votes. VOTING mayor. Serving.
