city,district_id,plan_id,effective_start,effective_end,geometry_ref,adopted_by,source_url,confidence,note
holladay,District 1,plan_2022,2022-05-05,,geo/council_districts.geojson,Ordinance 2022-09,"meeting_minutes/minutes/2022/2022-05-02/2022-05-05_city-council-meeting_861651.md (Ordinance 2022-09 Amending the Holladay City Municipal Council District Boundaries, adopted 2022-05-05 by a unanimous roll incl. Mayor Rob Dahle)",high,CURRENT post-2020-census boundaries. Ordinance 2022-09 ('Amending the Holladay City Municipal Council District Boundaries') adopted 2022-05-05 on a unanimous roll incl. Mayor Rob Dahle (a voting-mayor roll of 6). geometry_ref is Holladay's OFFICIAL 5-district layer in geo/council_districts.geojson; precinct->district in geo/precinct_to_district.csv. First used for the 2023 district elections.
holladay,District 1,plan_pre2022,2020-01-01,2022-05-05,,prior plan (pre-2022 boundaries),,low,"Prior-plan (pre-2022) district boundaries NOT acquired -> honest GAP (blank geometry_ref, confidence low). In force through the 2021 elections. effective_start = data floor."
holladay,District 2,plan_2022,2022-05-05,,geo/council_districts.geojson,Ordinance 2022-09,"meeting_minutes/minutes/2022/2022-05-02/2022-05-05_city-council-meeting_861651.md (Ordinance 2022-09 Amending the Holladay City Municipal Council District Boundaries, adopted 2022-05-05 by a unanimous roll incl. Mayor Rob Dahle)",high,CURRENT post-2020-census boundaries. Ordinance 2022-09 ('Amending the Holladay City Municipal Council District Boundaries') adopted 2022-05-05 on a unanimous roll incl. Mayor Rob Dahle (a voting-mayor roll of 6). geometry_ref is Holladay's OFFICIAL 5-district layer in geo/council_districts.geojson; precinct->district in geo/precinct_to_district.csv. First used for the 2023 district elections.
holladay,District 2,plan_pre2022,2020-01-01,2022-05-05,,prior plan (pre-2022 boundaries),,low,"Prior-plan (pre-2022) district boundaries NOT acquired -> honest GAP (blank geometry_ref, confidence low). In force through the 2021 elections. effective_start = data floor."
holladay,District 3,plan_2022,2022-05-05,,geo/council_districts.geojson,Ordinance 2022-09,"meeting_minutes/minutes/2022/2022-05-02/2022-05-05_city-council-meeting_861651.md (Ordinance 2022-09 Amending the Holladay City Municipal Council District Boundaries, adopted 2022-05-05 by a unanimous roll incl. Mayor Rob Dahle)",high,CURRENT post-2020-census boundaries. Ordinance 2022-09 ('Amending the Holladay City Municipal Council District Boundaries') adopted 2022-05-05 on a unanimous roll incl. Mayor Rob Dahle (a voting-mayor roll of 6). geometry_ref is Holladay's OFFICIAL 5-district layer in geo/council_districts.geojson; precinct->district in geo/precinct_to_district.csv. First used for the 2023 district elections.
holladay,District 3,plan_pre2022,2020-01-01,2022-05-05,,prior plan (pre-2022 boundaries),,low,"Prior-plan (pre-2022) district boundaries NOT acquired -> honest GAP (blank geometry_ref, confidence low). In force through the 2021 elections. effective_start = data floor."
holladay,District 4,plan_2022,2022-05-05,,geo/council_districts.geojson,Ordinance 2022-09,"meeting_minutes/minutes/2022/2022-05-02/2022-05-05_city-council-meeting_861651.md (Ordinance 2022-09 Amending the Holladay City Municipal Council District Boundaries, adopted 2022-05-05 by a unanimous roll incl. Mayor Rob Dahle)",high,CURRENT post-2020-census boundaries. Ordinance 2022-09 ('Amending the Holladay City Municipal Council District Boundaries') adopted 2022-05-05 on a unanimous roll incl. Mayor Rob Dahle (a voting-mayor roll of 6). geometry_ref is Holladay's OFFICIAL 5-district layer in geo/council_districts.geojson; precinct->district in geo/precinct_to_district.csv. First used for the 2023 district elections.
holladay,District 4,plan_pre2022,2020-01-01,2022-05-05,,prior plan (pre-2022 boundaries),,low,"Prior-plan (pre-2022) district boundaries NOT acquired -> honest GAP (blank geometry_ref, confidence low). In force through the 2021 elections. effective_start = data floor."
holladay,District 5,plan_2022,2022-05-05,,geo/council_districts.geojson,Ordinance 2022-09,"meeting_minutes/minutes/2022/2022-05-02/2022-05-05_city-council-meeting_861651.md (Ordinance 2022-09 Amending the Holladay City Municipal Council District Boundaries, adopted 2022-05-05 by a unanimous roll incl. Mayor Rob Dahle)",high,CURRENT post-2020-census boundaries. Ordinance 2022-09 ('Amending the Holladay City Municipal Council District Boundaries') adopted 2022-05-05 on a unanimous roll incl. Mayor Rob Dahle (a voting-mayor roll of 6). geometry_ref is Holladay's OFFICIAL 5-district layer in geo/council_districts.geojson; precinct->district in geo/precinct_to_district.csv. First used for the 2023 district elections.
holladay,District 5,plan_pre2022,2020-01-01,2022-05-05,,prior plan (pre-2022 boundaries),,low,"Prior-plan (pre-2022) district boundaries NOT acquired -> honest GAP (blank geometry_ref, confidence low). In force through the 2021 elections. effective_start = data floor."
holladay,MAYOR,citywide,2020-01-01,,geo/council_districts.geojson,Holladay City (citywide mayor),"meeting_minutes/minutes/2022/2022-05-02/2022-05-05_city-council-meeting_861651.md (Ordinance 2022-09 Amending the Holladay City Municipal Council District Boundaries, adopted 2022-05-05 by a unanimous roll incl. Mayor Rob Dahle)",high,"the separately-elected VOTING Mayor (Rob Dahle 2018-2026 -> Paul Fotheringham 2026+): represents the ENTIRE city on every date, unchanged by the 2022 redistricting. Holladay's Mayor is a FULL VOTING council member (roll of 6) — only the 5 numbered districts are geographic."
