dataset,record_key,title,date,local_path,source_url,source_host,retrieved_date,verified_date,extraction_method,processing_ref
meeting_minutes,2020-01-08_city-council-meeting,City Council Meeting,2020-01-08,meeting_minutes/minutes/2020/2020-01-06/2020-01-08_city-council-meeting_585443.md,https://www.utah.gov/pmn/files/585443.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-01-09_city-council-meeting,City Council Meeting,2020-01-09,meeting_minutes/minutes/2020/2020-01-06/2020-01-09_city-council-meeting_571111.md,https://www.utah.gov/pmn/files/571111.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-01-23_city-council-meeting,City Council Meeting,2020-01-23,meeting_minutes/minutes/2020/2020-01-20/2020-01-23_city-council-meeting_585441.md,https://www.utah.gov/pmn/files/585441.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-01-30_city-council-work-meeting,City Council Meeting,2020-01-30,meeting_minutes/minutes/2020/2020-01-27/2020-01-30_city-council-work-meeting_585437.md,https://www.utah.gov/pmn/files/585437.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-02-06_city-council-meeting,City Council Meeting,2020-02-06,meeting_minutes/minutes/2020/2020-02-03/2020-02-06_city-council-meeting_585435.md,https://www.utah.gov/pmn/files/585435.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-02-20_city-council-meeting,City Council Meeting,2020-02-20,meeting_minutes/minutes/2020/2020-02-17/2020-02-20_city-council-meeting_599387.md,https://www.utah.gov/pmn/files/599387.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-02-26_city-council-meeting,City Council Meeting,2020-02-26,meeting_minutes/minutes/2020/2020-02-24/2020-02-26_city-council-meeting_593959.md,https://www.utah.gov/pmn/files/593959.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-03-05_city-council-work-meeting,City Council Meeting,2020-03-05,meeting_minutes/minutes/2020/2020-03-02/2020-03-05_city-council-work-meeting_593961.md,https://www.utah.gov/pmn/files/593961.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-03-12_city-council-meeting,City Council Meeting,2020-03-12,meeting_minutes/minutes/2020/2020-03-09/2020-03-12_city-council-meeting_607777.md,https://www.utah.gov/pmn/files/607777.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-04-02_city-council-meeting,City Council Meeting,2020-04-02,meeting_minutes/minutes/2020/2020-03-30/2020-04-02_city-council-meeting_616769.md,https://www.utah.gov/pmn/files/616769.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-04-16_city-council-meeting,City Council Meeting,2020-04-16,meeting_minutes/minutes/2020/2020-04-13/2020-04-16_city-council-meeting_607779.md,https://www.utah.gov/pmn/files/607779.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-05-07_city-council-meeting,City Council Meeting,2020-05-07,meeting_minutes/minutes/2020/2020-05-04/2020-05-07_city-council-meeting_616773.md,https://www.utah.gov/pmn/files/616773.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-05-14_city-council-work-meeting,City Council Meeting,2020-05-14,meeting_minutes/minutes/2020/2020-05-11/2020-05-14_city-council-work-meeting_619407.md,https://www.utah.gov/pmn/files/619407.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-05-28_city-council-meeting,City Council Meeting,2020-05-28,meeting_minutes/minutes/2020/2020-05-25/2020-05-28_city-council-meeting_626783.md,https://www.utah.gov/pmn/files/626783.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-06-04_city-council-meeting,City Council Meeting,2020-06-04,meeting_minutes/minutes/2020/2020-06-01/2020-06-04_city-council-meeting_626785.md,https://www.utah.gov/pmn/files/626785.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-06-18_city-council-meeting,City Council Meeting,2020-06-18,meeting_minutes/minutes/2020/2020-06-15/2020-06-18_city-council-meeting_626787.md,https://www.utah.gov/pmn/files/626787.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-07-09_city-council-meeting,City Council Meeting,2020-07-09,meeting_minutes/minutes/2020/2020-07-06/2020-07-09_city-council-meeting_638705.md,https://www.utah.gov/pmn/files/638705.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-07-16_city-council-meeting,City Council Meeting,2020-07-16,meeting_minutes/minutes/2020/2020-07-13/2020-07-16_city-council-meeting_638707.md,https://www.utah.gov/pmn/files/638707.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-08-06_city-council-meeting,City Council Meeting,2020-08-06,meeting_minutes/minutes/2020/2020-08-03/2020-08-06_city-council-meeting_638709.md,https://www.utah.gov/pmn/files/638709.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-08-27_city-council-meeting,City Council Meeting,2020-08-27,meeting_minutes/minutes/2020/2020-08-24/2020-08-27_city-council-meeting_655817.md,https://www.utah.gov/pmn/files/655817.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-09-03_city-council-meeting,City Council Meeting,2020-09-03,meeting_minutes/minutes/2020/2020-08-31/2020-09-03_city-council-meeting_655819.md,https://www.utah.gov/pmn/files/655819.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
meeting_minutes,2020-09-17_city-council-meeting,City Council Meeting,2020-09-17,meeting_minutes/minutes/2020/2020-09-14/2020-09-17_city-council-meeting_665067.md,https://www.utah.gov/pmn/files/665067.pdf,www.utah.gov,,,pdf-text,meeting_minutes/CLAUDE.md §pipeline
