date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2024-12-12,2024,City Council Meeting,Council,1,ADOPT Ordinance 2024-22 - Amending the Zoning Map for Property Located at 2091 East Murray Holladay Road from R-M (Residential Multi-Family) to PO (Professional Office),Ordinance,Ordinance 2024- 22 was adopted by a unanimous vote.,Durham,Fotheringham,Gray,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,1,ADOPT Ordinance 2024-22 - Amending the Zoning Map for Property Located at 2091 East Murray Holladay Road from R-M (Residential Multi-Family) to PO (Professional Office),Ordinance,Ordinance 2024- 22 was adopted by a unanimous vote.,Durham,Fotheringham,Quinn,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,1,ADOPT Ordinance 2024-22 - Amending the Zoning Map for Property Located at 2091 East Murray Holladay Road from R-M (Residential Multi-Family) to PO (Professional Office),Ordinance,Ordinance 2024- 22 was adopted by a unanimous vote.,Durham,Fotheringham,Fotheringham,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,1,ADOPT Ordinance 2024-22 - Amending the Zoning Map for Property Located at 2091 East Murray Holladay Road from R-M (Residential Multi-Family) to PO (Professional Office),Ordinance,Ordinance 2024- 22 was adopted by a unanimous vote.,Durham,Fotheringham,Durham,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,1,ADOPT Ordinance 2024-22 - Amending the Zoning Map for Property Located at 2091 East Murray Holladay Road from R-M (Residential Multi-Family) to PO (Professional Office),Ordinance,Ordinance 2024- 22 was adopted by a unanimous vote.,Durham,Fotheringham,Brewer,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,1,ADOPT Ordinance 2024-22 - Amending the Zoning Map for Property Located at 2091 East Murray Holladay Road from R-M (Residential Multi-Family) to PO (Professional Office),Ordinance,Ordinance 2024- 22 was adopted by a unanimous vote.,Durham,Fotheringham,Dahle,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,2,"ADOPT Ordinance 2024-23 - Amending the 2024-2025 Fiscal Year Budget, as amended",Ordinance,Ordinance 2024- 23 was adopted by a unanimous vote.,Fotheringham,Quinn,Gray,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,2,"ADOPT Ordinance 2024-23 - Amending the 2024-2025 Fiscal Year Budget, as amended",Ordinance,Ordinance 2024- 23 was adopted by a unanimous vote.,Fotheringham,Quinn,Quinn,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,2,"ADOPT Ordinance 2024-23 - Amending the 2024-2025 Fiscal Year Budget, as amended",Ordinance,Ordinance 2024- 23 was adopted by a unanimous vote.,Fotheringham,Quinn,Fotheringham,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,2,"ADOPT Ordinance 2024-23 - Amending the 2024-2025 Fiscal Year Budget, as amended",Ordinance,Ordinance 2024- 23 was adopted by a unanimous vote.,Fotheringham,Quinn,Durham,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,2,"ADOPT Ordinance 2024-23 - Amending the 2024-2025 Fiscal Year Budget, as amended",Ordinance,Ordinance 2024- 23 was adopted by a unanimous vote.,Fotheringham,Quinn,Brewer,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,2,"ADOPT Ordinance 2024-23 - Amending the 2024-2025 Fiscal Year Budget, as amended",Ordinance,Ordinance 2024- 23 was adopted by a unanimous vote.,Fotheringham,Quinn,Dahle,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,3,APPROVE Resolution 2024-33 - Appointing Members of the Tree Committee,Resolution,Resolution 2024-33 was approved by a unanimous vote.,Gray,Quinn,Gray,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,3,APPROVE Resolution 2024-33 - Appointing Members of the Tree Committee,Resolution,Resolution 2024-33 was approved by a unanimous vote.,Gray,Quinn,Quinn,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,3,APPROVE Resolution 2024-33 - Appointing Members of the Tree Committee,Resolution,Resolution 2024-33 was approved by a unanimous vote.,Gray,Quinn,Fotheringham,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,3,APPROVE Resolution 2024-33 - Appointing Members of the Tree Committee,Resolution,Resolution 2024-33 was approved by a unanimous vote.,Gray,Quinn,Durham,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,3,APPROVE Resolution 2024-33 - Appointing Members of the Tree Committee,Resolution,Resolution 2024-33 was approved by a unanimous vote.,Gray,Quinn,Brewer,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
2024-12-12,2024,City Council Meeting,Council,3,APPROVE Resolution 2024-33 - Appointing Members of the Tree Committee,Resolution,Resolution 2024-33 was approved by a unanimous vote.,Gray,Quinn,Dahle,Aye,minutes/2024/2024-12-09/2024-12-12_city-council-meeting_1230883.md
