year,election_type,contest,jurisdiction_slug,office,district,seats,candidate,party,votes,rank_in_contest,n_precincts,suppressed,source_file
2023,municipal general,Levan Town Council,levan,Council,At-Large,,BRE AAGARD,,172,1,1,false,raw/ev/ev-juab-2023-Nov-General-item-4cbad459-5fd8-47b4-8297-f76b6ca57301.json
2023,municipal general,Levan Town Council,levan,Council,At-Large,,CHRISTOPHER J CHIPPING,,179,1,1,false,raw/ev/ev-juab-2023-Nov-General-item-94d62585-be3e-4036-baa5-df7d28803f45.json
2023,municipal general,Levan Town Council,levan,Council,At-Large,,ERICA JAN WANKIER,,167,2,1,false,raw/ev/ev-juab-2023-Nov-General-item-4cbad459-5fd8-47b4-8297-f76b6ca57301.json
2023,municipal general,Levan Town Council,levan,Council,At-Large,,RACHEL GOATES,,162,2,1,false,raw/ev/ev-juab-2023-Nov-General-item-94d62585-be3e-4036-baa5-df7d28803f45.json
2023,municipal general,Levan Town Council,levan,Council,At-Large,,ALAN M KENDALL,,148,3,1,false,raw/ev/ev-juab-2023-Nov-General-item-94d62585-be3e-4036-baa5-df7d28803f45.json
2023,municipal general,Levan Town Council,levan,Council,At-Large,,NATHAN JAMES WASHER,,142,4,1,false,raw/ev/ev-juab-2023-Nov-General-item-94d62585-be3e-4036-baa5-df7d28803f45.json
2023,municipal general,Mona City Council,mona,Council,At-Large,,AMY STANLEY,,318,1,2,false,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json
2023,municipal general,Mona City Council,mona,Council,At-Large,,KRIS KAY,,309,2,2,false,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json
2023,municipal general,Mona City Council,mona,Council,At-Large,,KEVIN L SQUIRE,,249,3,2,false,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json
2023,municipal general,Mona City Council,mona,Council,At-Large,,FRANK RIDING,,246,4,2,false,raw/ev/ev-juab-2023-Nov-General-item-6c47e167-4cbc-4b2f-9f14-993d2ef6f4ca.json
