referral_id,confidence,match_method,primary_body,related_body,gap_days,related_application_id,related_date,related_title,primary_application_id,primary_date,primary_title,shared_address,subject_score,note
8,medium,subject,Council,CRA,-126,22,2025-07-14,to approve the Community Reinvestment Agency Officers as discussed and listed above,19,2025-03-10,"to approve Ordinance 2025-0-06, Creating the City of Kearns Community Reinvestment Agency, as discussed tonight",,0.501,
5,medium,subject,Council,PlanningCommission,0,54,2022-02-14,To recommend approval application #PAM2022-000512 of the Montebello at Liberty Village Amended Subdivision plat which amends 20 building pad sites to account for a larger building footprint for the Type A unit to Kearns Metro Council as presented with staff recommendations. [OAM2022-000521],12,2022-02-14,to approve Application No. OAM2022-000521 and Ordinance No. 2202-02-03. The,,0.512,
6,medium,subject,Council,PlanningCommission,0,55,2022-02-14,"To recommend approval of file #OAM2022-000521 an Amendment to Kearns Code section 19.77, Water Efficient Landscape Design and Development Standards. The proposed amendment replaces the water efficiency standards with the Jordan Valley Water Conservation District water efficiency standards, establishes minimum plant quantity standards for residential and non-residential uses, and amends the buffering standards for non-residential uses when located next to residential uses to the Kearns Metro Township Council with language amendment.",12,2022-02-14,to approve Application No. OAM2022-000521 and Ordinance No. 2202-02-03. The,,0.512,
1,medium,subject,Council,PlanningCommission,0,38,2020-05-11,To recommend preliminary plat approval on application #31008 to the Kearns Metro Township Council as presented.,5,2020-05-11,"to approve Land Use Application #31008 preliminary plat approval. Roll was called, showed the vote to be: Council Member Schaeffer “Aye,” Council Member Butterfield “Aye,” Council Member Snow “Aye,” Council Member Peterson “Aye,” and Mayor Bush “Aye. The",,0.513,
10,medium,subject,Council,CRA,-126,25,2025-07-14,to approve the Community Reinvestment Agency’s proposed 2025 meeting calendar as discussed and published,19,2025-03-10,"to approve Ordinance 2025-0-06, Creating the City of Kearns Community Reinvestment Agency, as discussed tonight",,0.527,
9,medium,subject,Council,CRA,-126,23,2025-07-14,to approve the Community Reinvestment Agency Bylaws as presented and published for tonight’s meeting,19,2025-03-10,"to approve Ordinance 2025-0-06, Creating the City of Kearns Community Reinvestment Agency, as discussed tonight",,0.538,
2,medium,subject,Council,PlanningCommission,-35,49,2021-09-13,To recommend approval of application #CUP2021-000394 requesting a Conditional Use Permit for a revised site plan expanding the existing Carrington Square fitness center and pool area to the Kearns Council with staff recommendations as presented. [OAM2021-000271],9,2021-08-09,to approve Ordinance 2021-08-02 and application OAM2021-000391. The,,1.0,
3,medium,subject,Council,PlanningCommission,0,46,2021-08-09,"To approve application #CUP2020-000096 for St. Francis Xavier School is requesting an Extension for the Temporary Change to the original Conditional Use allowing for pick up and drop off along 4520 West, during the COVID-19 restriction period with staff recommendation noted exceptions. [OAM2021-000388]",10,2021-08-09,to approve Ordinance 2021-08-01 and application OAM2021-000388. The,,1.0,
4,medium,subject,Council,PlanningCommission,0,47,2021-08-09,To recommend approval of file #OAM2021-000388 proposing to proposal to amend the existing Floodplain Ordinance in Section 19.74 of the Kearns Municipal Code. This update will replace the existing Section 19.74 with new language that conforms with current State of Utah and FEMA requirements to the Kearns Metro Township Council.,10,2021-08-09,to approve Ordinance 2021-08-01 and application OAM2021-000388. The,,1.0,
7,medium,subject,Council,PlanningCommission,7,66,2024-12-02,"To recommend file #OAM2024-001300 Consideration of adoption of Chapter 19.60 Airport Overlay Zone, with accompanying map of the Airport Overlay Zone’s influence areas for the South Valley Regional Airport as set forth in Utah Code 72-10-403. The proposed code includes 5 influence areas: Runway Protection Sub Zone (RPSZ), Approach Sub Zone (AASZ), Noise Sub Zone (ANSZ), Horizontal Sub Zone (AHSZ), and Conical Sub Zone (ACZ) to the Kearns Council for approval with map edit zones, consistent with the code and legends revised adding the sub zone.",18,2024-12-09,to approve Ordinance 2024-12-01 adopting an airport overlay zone,,1.0,
11,medium,subject,Council,PlanningCommission,35,68,2025-05-05,To recommend file # OAM2025-00137 Consideration of a resolution amending Kearns’s land use fee schedule to the Kearns City Council for approval with staff recommendations with the removal of FCOZ on page 12 of the fee schedule.,21,2025-06-09,"to approve Ordinance 2025-O-09, Adopting the FY2026 City of Kearns Fee Schedule",,1.0,
