year,election_type,office,district,contest,candidate,votes,pct,rank,is_winner
2016,municipal general,Council,1,Kearns Metro Township Council Seat 1,PATRICK SCHAEFFER,653,52.07,1,True
2016,municipal general,Council,1,Kearns Metro Township Council Seat 1,H. BRETT HELSTEN,601,47.93,2,False
2016,municipal general,Council,2,Kearns Metro Township Council Seat 2,ALAN PETERSON,1311,100.0,1,True
2016,municipal general,Council,3,Kearns Metro Township Council Seat 3,STEVE PERRY,1145,73.82,1,True
2016,municipal general,Council,3,Kearns Metro Township Council Seat 3,CHRISTOPHER JAMES GEERTSEN,406,26.18,2,False
2016,municipal general,Council,4,Kearns Metro Township Council Seat 4,TINA SNOW,1343,100.0,1,True
2016,municipal general,Council,5,Kearns Metro Township Council Seat 5,KELLY F. BUSH,782,52.13,1,True
2016,municipal general,Council,5,Kearns Metro Township Council Seat 5,BRIAN RICHARDS,718,47.87,2,False
2017,municipal general,Council,2,Kearns Metro Township Council Seat 2,ALAN PETERSON,521,100.0,1,True
2017,municipal general,Council,4,Kearns Metro Township Council Seat 4,Write-in,43,74.14,1,False
2017,municipal general,Council,4,Kearns Metro Township Council Seat 4,TINA SNOW,15,25.86,2,True
2019,municipal general,Council,1,Kearns Metro Township Council District 1,PATRICK DANIEL SCHAEFFER,211,50.84,1,True
2019,municipal general,Council,1,Kearns Metro Township Council District 1,SAMUEL J HIGGINSON,204,49.16,2,False
2019,municipal general,Council,3,Kearns Metro Township Council District 3,CHRYSTAL BUTTERFIELD,273,68.25,1,True
2019,municipal general,Council,3,Kearns Metro Township Council District 3,RUBY BROWN,127,31.75,2,False
2019,municipal general,Council,5,Kearns Metro Township Council District 5,KELLY BUSH,377,69.3,1,True
2019,municipal general,Council,5,Kearns Metro Township Council District 5,BRIAN RICHARDS,167,30.7,2,False
2021,municipal general,Council,2,Kearns Metro Township Council District 2,ALAN PETERSON,56,51.85,1,True
2021,municipal general,Council,2,Kearns Metro Township Council District 2,ROYCE GIBSON,52,48.15,2,False
2021,municipal general,Council,4,Kearns Metro Township Council District 4,TINA SNOW,266,100.0,1,True
2023,municipal general,Council,1,Kearns Metro Township Council District 1,PATRICK DANIEL SCHAEFFER,212,50.36,1,True
2023,municipal general,Council,1,Kearns Metro Township Council District 1,JESSE VALDEZ,209,49.64,2,False
2023,municipal general,Council,3,Kearns Metro Township Council District 3,CHRYSTAL BUTTERFIELD,429,72.22,1,True
2023,municipal general,Council,3,Kearns Metro Township Council District 3,CHRISTOPHER JAMES GEERTSEN,165,27.78,2,False
2023,municipal general,Council,5,Kearns Metro Township Council District 5,KELLY BUSH,432,100.0,1,True
2025,municipal general,Mayor,,Kearns City Mayor,MICHAEL JESSE XON VALDEZ,1932,57.64,1,True
2025,municipal general,Mayor,,Kearns City Mayor,TINA MARIE SNOW,1420,42.36,2,False
2025,municipal general,Council,2,Kearns City Council District 2,LYNDSAY LONGTIN,420,58.01,1,True
2025,municipal general,Council,2,Kearns City Council District 2,T JORDAN HANSEN,304,41.99,2,False
2025,municipal general,Council,4,Kearns City Council District 4,LORRIN P. COLBY JR.,516,57.78,1,True
2025,municipal general,Council,4,Kearns City Council District 4,ROGER C SNOW,377,42.22,2,False
