date,year,title,body,motion_no,motion,motion_type,result,mover,seconder,member,vote,source,provenance
2018-07-09,2018,City Council Meeting,Council,1,to close the staff meeting. The,Other,unanimous in favor Pass,Ruby Brown,Tina Snow,,,minutes/2018/2018-07-09/2018-07-09_city-council-meeting.md,minutes
2018-07-09,2018,City Council Meeting,Council,2,to approve Application #30648 accepting a roadway dedication plat located at approximately 5025 West 4865 South. The,Land-Use/Zoning,unanimous in favor Pass,Ruby Brown,Tina Snow,,,minutes/2018/2018-07-09/2018-07-09_city-council-meeting.md,minutes
2018-07-09,2018,City Council Meeting,Council,3,to close the public hearings. The,Public Hearing Action,unanimous in favor Pass,Ruby Brown,Tina Snow,,,minutes/2018/2018-07-09/2018-07-09_city-council-meeting.md,minutes
2018-07-09,2018,City Council Meeting,Council,4,to approve Application #30665 vacating a portion of a public street located at approximately 5375 South Street between 4250 and 4280 West to accommodate the development of a new public library campus. The,Other,unanimous in favor Pass,Tina Snow,Ruby Brown,,,minutes/2018/2018-07-09/2018-07-09_city-council-meeting.md,minutes
2018-07-09,2018,City Council Meeting,Council,5,to approve Application #30647 rezoning property located at 5944 South Cougar Lane from R-1-43 to R-1-5. The,Land-Use/Zoning,unanimous in favor Pass,Tina Snow,Patrick Schaeffer,,,minutes/2018/2018-07-09/2018-07-09_city-council-meeting.md,minutes
2018-07-09,2018,City Council Meeting,Council,6,to approve the resolution. The,Resolution,unanimous in favor Pass,Tina Snow,Ruby Brown,,,minutes/2018/2018-07-09/2018-07-09_city-council-meeting.md,minutes
2018-07-09,2018,City Council Meeting,Council,7,"to approve the ordinance with the amendment changing the date from June 9, 2018, to July 9, 2018. The",Ordinance,unanimous in favor Pass,Tina Snow,Alan Peterson,,,minutes/2018/2018-07-09/2018-07-09_city-council-meeting.md,minutes
2018-07-09,2018,City Council Meeting,Council,8,"to approve the minutes for the Kearns Metro Township Council meeting held on June 11, 2018. The",Procedural/Administrative,unanimous in favor Pass,Tina Snow,Patrick Schaeffer,,,minutes/2018/2018-07-09/2018-07-09_city-council-meeting.md,minutes
2018-07-09,2018,City Council Meeting,Council,9,"to approve the minutes for the Kearns Metro Township Council meeting held on May 14, 2018. The",Procedural/Administrative,unanimous in favor Pass,Tina Snow,Ruby Brown,,,minutes/2018/2018-07-09/2018-07-09_city-council-meeting.md,minutes
2018-07-30,2018,City Council Meeting,Council,1,to approve Resolution No. 18-07-03. The motions,Resolution,unanimous in favor Pass,Tina Snow,Patrick Schaeffer,,,minutes/2018/2018-07-30/2018-07-30_city-council-meeting.md,minutes
2018-07-30,2018,City Council Meeting,Council,2,to approve Resolution No. 18-07-04. The motions,Resolution,unanimous in favor Pass,Tina Snow,Patrick Schaeffer,,,minutes/2018/2018-07-30/2018-07-30_city-council-meeting.md,minutes
2018-08-13,2018,City Council Meeting,Council,1,to close the staff meeting. The,Other,unanimous in favor Pass,Tina Snow,Alan Peterson,,,minutes/2018/2018-08-13/2018-08-13_city-council-meeting.md,minutes
2018-09-10,2018,City Council Meeting,Council,1,to close the staff meeting. The,Other,unanimous in favor Pass,Tina Snow,Alan Peterson,,,minutes/2018/2018-09-10/2018-09-10_city-council-meeting.md,minutes
2018-09-10,2018,City Council Meeting,Council,2,to indefinitely close a portion of 5375 South to vehicular traffic pursuant to Section 72-5-105.7 of the Utah Code to accommodate a safer pedestrian walking path within the public right- of-way. The,Other,unanimous in favor Pass,Tina Snow,Ruby Brown,,,minutes/2018/2018-09-10/2018-09-10_city-council-meeting.md,minutes
2018-09-10,2018,City Council Meeting,Council,3,"to approve the minutes from July 9, 2018, July 30, 2018, and August 13, 2018, meetings. The",Procedural/Administrative,unanimous in favor Pass,Tina Snow,Ruby Brown,,,minutes/2018/2018-09-10/2018-09-10_city-council-meeting.md,minutes
2018-09-10,2018,City Council Meeting,Council,4,to go forward with Municode to do its website. The,Other,unanimous in favor Pass,Ruby Brown,Alan Peterson,,,minutes/2018/2018-09-10/2018-09-10_city-council-meeting.md,minutes
2018-09-10,2018,City Council Meeting,Council,5,"to hold the budget hearing for December 17, 2018. The",Other,unanimous in favor Pass,Tina Snow,Patrick Schaeffer,,,minutes/2018/2018-09-10/2018-09-10_city-council-meeting.md,minutes
2018-10-22,2018,City Council Meeting,Council,1,"to approve the resolution not to exceed $5,500. The",Resolution,unanimous in favor Pass,Ruby Brown,Tina Snow,,,minutes/2018/2018-10-22/2018-10-22_city-council-meeting.md,minutes
2018-11-13,2018,City Council Meeting,Council,1,to suspend the rules and go back to hear from representatives of the Kearns Township Community Council. The,Appointment,unanimous in favor Pass,Alan Peterson,Tina Snow,,,minutes/2018/2018-11-12/2018-11-13_city-council-meeting.md,minutes
2018-11-13,2018,City Council Meeting,Council,2,to go back to regular business as outlined on the agenda. The,Other,unanimous in favor Pass,Alan Peterson,Tina Snow,,,minutes/2018/2018-11-12/2018-11-13_city-council-meeting.md,minutes
2018-11-13,2018,City Council Meeting,Council,3,"to approve the following resolution adopting the tentative budget for 2019 fiscal year and setting a public hearing for December 17, 2018, at 7 p.m. The",Budget Amendment,unanimous in favor Pass,Tina Snow,Patrick Schaeffer,,,minutes/2018/2018-11-12/2018-11-13_city-council-meeting.md,minutes
2018-11-13,2018,City Council Meeting,Council,4,"to approve the minutes of the Kearns Metro Township Council meetings held on Monday, October 8, 2018, and Monday, October 22, 2018. The",Procedural/Administrative,unanimous in favor Pass,Tina Snow,Patrick Schaeffer,,,minutes/2018/2018-11-12/2018-11-13_city-council-meeting.md,minutes
2018-12-17,2018,City Council Meeting,Council,1,"to allocate $51,500 to the Kearns Community Council in January 2019. The",Other,unanimous in favor Pass,Tina Snow,Ruby Brown,,,minutes/2018/2018-12-17/2018-12-17_city-council-meeting.md,minutes
2018-12-17,2018,City Council Meeting,Council,2,to adopt the fee schedule. The,Land-Use/Zoning,unanimous in favor Pass,Patrick Schaeffer,Tina Snow,,,minutes/2018/2018-12-17/2018-12-17_city-council-meeting.md,minutes
